timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1784019895068,2026-07-14T09:04:55.068216+00:00,0.0004,0.0003
1784019896068,2026-07-14T09:04:56.068452+00:00,6.6389,0.0596
1784019897068,2026-07-14T09:04:57.068686+00:00,8.7949,0.0746
1784019898068,2026-07-14T09:04:58.068765+00:00,8.597,0.074
1784019899068,2026-07-14T09:04:59.068931+00:00,8.4105,0.0776
1784019900069,2026-07-14T09:05:00.069191+00:00,9.0111,0.0742
1784019901069,2026-07-14T09:05:01.069418+00:00,8.4105,0.073
1784019902069,2026-07-14T09:05:02.069594+00:00,8.4104,0.0734
1784019903069,2026-07-14T09:05:03.069771+00:00,8.4105,0.078
1784019904070,2026-07-14T09:05:04.070030+00:00,9.0111,0.0745
1784019905070,2026-07-14T09:05:05.070104+00:00,8.4106,0.0725
1784019906070,2026-07-14T09:05:06.070261+00:00,8.4112,0.0779
1784019907070,2026-07-14T09:05:07.070427+00:00,8.848,0.0751
1784019908070,2026-07-14T09:05:08.070671+00:00,8.5734,0.0732
1784019909070,2026-07-14T09:05:09.070871+00:00,8.4103,0.0769
1784019910071,2026-07-14T09:05:10.071027+00:00,8.4107,0.0754
1784019911071,2026-07-14T09:05:11.071261+00:00,8.9664,0.0748
1784019912071,2026-07-14T09:05:12.071435+00:00,8.4551,0.0731
1784019913071,2026-07-14T09:05:13.071571+00:00,8.4104,0.0775
1784019914071,2026-07-14T09:05:14.071729+00:00,9.0111,0.076
1784019915071,2026-07-14T09:05:15.071909+00:00,8.4105,0.0753
1784019916071,2026-07-14T09:05:16.071998+00:00,8.4105,0.0753
1784019917072,2026-07-14T09:05:17.072171+00:00,8.4107,0.0782
1784019918072,2026-07-14T09:05:18.072409+00:00,9.0114,0.0746
1784019919072,2026-07-14T09:05:19.072618+00:00,8.4104,0.0738
1784019920072,2026-07-14T09:05:20.072708+00:00,8.413,0.0775
1784019921072,2026-07-14T09:05:21.072910+00:00,8.4105,0.0741
1784019922073,2026-07-14T09:05:22.073149+00:00,8.7959,0.0745
1784019923073,2026-07-14T09:05:23.073374+00:00,8.6257,0.0735
1784019924073,2026-07-14T09:05:24.073457+00:00,8.4104,0.0731
1784019925073,2026-07-14T09:05:25.073565+00:00,8.4102,0.0782
1784019926073,2026-07-14T09:05:26.073734+00:00,8.6,0.074
1784019927073,2026-07-14T09:05:27.073974+00:00,8.8218,0.075
1784019928074,2026-07-14T09:05:28.074177+00:00,8.4105,0.0733
1784019929074,2026-07-14T09:05:29.074382+00:00,8.4104,0.0775
1784019930074,2026-07-14T09:05:30.074610+00:00,9.0113,0.0761
1784019931074,2026-07-14T09:05:31.074803+00:00,8.4104,0.0733
1784019932074,2026-07-14T09:05:32.074898+00:00,8.4104,0.0737
1784019933074,2026-07-14T09:05:33.074984+00:00,8.4106,0.0777
1784019934075,2026-07-14T09:05:34.075209+00:00,9.0114,0.0743
1784019935075,2026-07-14T09:05:35.075292+00:00,8.4107,0.073
1784019936075,2026-07-14T09:05:36.075373+00:00,8.4105,0.0775
1784019937075,2026-07-14T09:05:37.075542+00:00,8.4103,0.0725
