timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1784014908618,2026-07-14T07:41:48.618797+00:00,0.0004,0.0004
1784014909619,2026-07-14T07:41:49.619071+00:00,4.8065,0.0407
1784014910619,2026-07-14T07:41:50.619276+00:00,5.4064,0.0488
1784014911619,2026-07-14T07:41:51.619441+00:00,6.0068,0.0537
1784014912619,2026-07-14T07:41:52.619663+00:00,5.407,0.0487
1784014913619,2026-07-14T07:41:53.619864+00:00,5.4062,0.0532
1784014914620,2026-07-14T07:41:54.620032+00:00,6.0069,0.0496
1784014915620,2026-07-14T07:41:55.620110+00:00,5.4062,0.0485
1784014916620,2026-07-14T07:41:56.620316+00:00,5.4064,0.052
1784014917620,2026-07-14T07:41:57.620481+00:00,6.0067,0.0494
1784014918620,2026-07-14T07:41:58.620690+00:00,5.4062,0.0481
1784014919620,2026-07-14T07:41:59.620934+00:00,6.0069,0.0538
1784014920621,2026-07-14T07:42:00.621112+00:00,5.4063,0.0517
1784014921621,2026-07-14T07:42:01.621310+00:00,6.0067,0.0489
1784014922621,2026-07-14T07:42:02.621454+00:00,6.0075,0.0535
1784014923621,2026-07-14T07:42:03.621610+00:00,5.6389,0.0526
1784014924621,2026-07-14T07:42:04.621789+00:00,5.7754,0.0488
1784014925621,2026-07-14T07:42:05.621972+00:00,6.0067,0.0532
1784014926622,2026-07-14T07:42:06.622153+00:00,6.0078,0.0533
1784014927622,2026-07-14T07:42:07.622340+00:00,5.4063,0.0525
1784014928622,2026-07-14T07:42:08.622547+00:00,6.007,0.0537
1784014929622,2026-07-14T07:42:09.622810+00:00,5.6692,0.0486
1784014930623,2026-07-14T07:42:10.623006+00:00,5.744,0.0492
1784014931623,2026-07-14T07:42:11.623222+00:00,6.0068,0.0539
1784014932623,2026-07-14T07:42:12.623495+00:00,6.0078,0.0531
1784014933623,2026-07-14T07:42:13.623670+00:00,5.4063,0.0521
1784014934623,2026-07-14T07:42:14.623845+00:00,6.0069,0.0529
1784014935623,2026-07-14T07:42:15.623929+00:00,6.0072,0.0494
1784014936624,2026-07-14T07:42:16.624088+00:00,6.0071,0.0544
1784014937624,2026-07-14T07:42:17.624172+00:00,6.0071,0.0531
1784014938624,2026-07-14T07:42:18.624249+00:00,6.0069,0.054
1784014939624,2026-07-14T07:42:19.624479+00:00,5.632,0.0527
1784014940624,2026-07-14T07:42:20.624673+00:00,5.7815,0.0499
1784014941624,2026-07-14T07:42:21.624860+00:00,5.4066,0.0519
1784014942624,2026-07-14T07:42:22.624938+00:00,6.0073,0.0495
1784014943625,2026-07-14T07:42:23.625108+00:00,5.4063,0.0478
1784014944625,2026-07-14T07:42:24.625335+00:00,5.4062,0.0492
1784014945625,2026-07-14T07:42:25.625592+00:00,6.0071,0.0537
1784014946625,2026-07-14T07:42:26.625777+00:00,5.4062,0.0475
1784014947625,2026-07-14T07:42:27.625929+00:00,6.0068,0.0527
1784014948626,2026-07-14T07:42:28.626102+00:00,6.0069,0.0532
1784014949626,2026-07-14T07:42:29.626261+00:00,6.0069,0.0531
1784014950626,2026-07-14T07:42:30.626440+00:00,5.4062,0.0476
1784014951626,2026-07-14T07:42:31.626614+00:00,6.007,0.0536
1784014952626,2026-07-14T07:42:32.626816+00:00,6.0076,0.0532
1784014953627,2026-07-14T07:42:33.627078+00:00,6.0067,0.0522
1784014954627,2026-07-14T07:42:34.627259+00:00,5.4063,0.0475
1784014955627,2026-07-14T07:42:35.627460+00:00,6.0072,0.0549
1784014956627,2026-07-14T07:42:36.627488+00:00,5.483,0.0525
1784014957627,2026-07-14T07:42:37.627679+00:00,1.7255,0.0159
1784014958627,2026-07-14T07:42:38.627910+00:00,0.0005,0.0003
1784014959628,2026-07-14T07:42:39.628115+00:00,2.13,0.018
1784014960628,2026-07-14T07:42:40.628343+00:00,5.0782,0.044
1784014961628,2026-07-14T07:42:41.628594+00:00,5.4066,0.0519
1784014962628,2026-07-14T07:42:42.628862+00:00,6.0072,0.0493
1784014963628,2026-07-14T07:42:43.628949+00:00,5.4065,0.0475
1784014964629,2026-07-14T07:42:44.629123+00:00,6.0071,0.0529
1784014965629,2026-07-14T07:42:45.629288+00:00,5.4064,0.0491
1784014966629,2026-07-14T07:42:46.629428+00:00,6.0069,0.0535
1784014967629,2026-07-14T07:42:47.629662+00:00,5.4061,0.0494
1784014968629,2026-07-14T07:42:48.629746+00:00,6.0072,0.0532
1784014969629,2026-07-14T07:42:49.629922+00:00,5.4065,0.0523
1784014970630,2026-07-14T07:42:50.630173+00:00,6.0067,0.05
1784014971630,2026-07-14T07:42:51.630259+00:00,5.7115,0.0549
1784014972630,2026-07-14T07:42:52.630334+00:00,5.7024,0.0526
1784014973630,2026-07-14T07:42:53.630417+00:00,6.0072,0.0543
1784014974630,2026-07-14T07:42:54.630507+00:00,6.007,0.0537
1784014975630,2026-07-14T07:42:55.630676+00:00,6.0067,0.0501
1784014976630,2026-07-14T07:42:56.630832+00:00,6.0071,0.0538
1784014977630,2026-07-14T07:42:57.630989+00:00,6.0069,0.0529
1784014978631,2026-07-14T07:42:58.631232+00:00,6.0069,0.0536
1784014979631,2026-07-14T07:42:59.631388+00:00,6.0069,0.0539
1784014980631,2026-07-14T07:43:00.631623+00:00,6.0069,0.0542
1784014981631,2026-07-14T07:43:01.631871+00:00,5.4065,0.0526
1784014982632,2026-07-14T07:43:02.632054+00:00,6.007,0.0501
1784014983632,2026-07-14T07:43:03.632287+00:00,6.0068,0.0539
1784014984632,2026-07-14T07:43:04.632548+00:00,6.0072,0.0529
1784014985632,2026-07-14T07:43:05.632634+00:00,5.4067,0.0497
