timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1784017465108,2026-07-14T08:24:25.108984+00:00,0.99,6.8,55.0
1784017466109,2026-07-14T08:24:26.109237+00:00,1.58,21.4,55.0
1784017467109,2026-07-14T08:24:27.109411+00:00,1.96,26.0,56.0
1784017468109,2026-07-14T08:24:28.109564+00:00,1.86,25.6,56.0
1784017469109,2026-07-14T08:24:29.109601+00:00,1.96,26.3,64.0
1784017470109,2026-07-14T08:24:30.109713+00:00,1.89,25.8,64.0
1784017471110,2026-07-14T08:24:31.110004+00:00,1.83,26.9,58.0
1784017472110,2026-07-14T08:24:32.110289+00:00,1.67,29.9,58.0
1784017473110,2026-07-14T08:24:33.110405+00:00,1.77,28.9,58.0
1784017474110,2026-07-14T08:24:34.110548+00:00,1.76,27.5,58.0
1784017475110,2026-07-14T08:24:35.110681+00:00,1.69,29.9,58.0
1784017476112,2026-07-14T08:24:36.112292+00:00,1.56,28.5,58.0
1784017477112,2026-07-14T08:24:37.112383+00:00,1.77,28.5,58.0
1784017478112,2026-07-14T08:24:38.112460+00:00,1.82,29.3,58.0
1784017479112,2026-07-14T08:24:39.112585+00:00,1.72,27.6,61.0
1784017480112,2026-07-14T08:24:40.112866+00:00,2.01,26.6,61.0
1784017481113,2026-07-14T08:24:41.113150+00:00,1.82,26.5,57.0
1784017482113,2026-07-14T08:24:42.113314+00:00,1.79,26.9,57.0
1784017483113,2026-07-14T08:24:43.113439+00:00,2.04,22.0,58.0
1784017484113,2026-07-14T08:24:44.113567+00:00,2.06,26.9,58.0
1784017485113,2026-07-14T08:24:45.113776+00:00,1.88,24.4,57.0
1784017486113,2026-07-14T08:24:46.113937+00:00,1.97,22.9,57.0
1784017487114,2026-07-14T08:24:47.114227+00:00,1.77,28.3,58.0
1784017488114,2026-07-14T08:24:48.114496+00:00,1.91,23.0,56.0
1784017489114,2026-07-14T08:24:49.114641+00:00,1.7,30.3,56.0
1784017490114,2026-07-14T08:24:50.114719+00:00,1.85,25.2,58.0
1784017491114,2026-07-14T08:24:51.114864+00:00,1.8,26.9,57.0
1784017492114,2026-07-14T08:24:52.114965+00:00,1.8,27.6,57.0
1784017493115,2026-07-14T08:24:53.115123+00:00,1.69,29.6,58.0
1784017494115,2026-07-14T08:24:54.115286+00:00,1.78,26.5,58.0
1784017495115,2026-07-14T08:24:55.115427+00:00,1.8,26.7,58.0
1784017496115,2026-07-14T08:24:56.115476+00:00,1.78,26.6,58.0
1784017497115,2026-07-14T08:24:57.115598+00:00,1.87,27.0,58.0
1784017498115,2026-07-14T08:24:58.115844+00:00,2.02,26.6,63.0
1784017499116,2026-07-14T08:24:59.116147+00:00,1.92,26.0,57.0
1784017500116,2026-07-14T08:25:00.116284+00:00,1.74,29.6,58.0
1784017501116,2026-07-14T08:25:01.116560+00:00,1.87,27.7,58.0
1784017502116,2026-07-14T08:25:02.116874+00:00,1.77,28.5,57.0
1784017503117,2026-07-14T08:25:03.117071+00:00,1.87,24.5,57.0
1784017504117,2026-07-14T08:25:04.117274+00:00,1.7,30.4,57.0
1784017505117,2026-07-14T08:25:05.117354+00:00,1.36,10.0,57.0
1784017506117,2026-07-14T08:25:06.117508+00:00,0.88,1.0,58.0
1784017507117,2026-07-14T08:25:07.117589+00:00,1.06,4.5,58.0
1784017508117,2026-07-14T08:25:08.117710+00:00,2.33,40.0,61.0
1784017509117,2026-07-14T08:25:09.117812+00:00,2.0,32.1,61.0
1784017510117,2026-07-14T08:25:10.117913+00:00,2.08,26.7,66.0
1784017511118,2026-07-14T08:25:11.118173+00:00,1.94,27.2,61.0
1784017512118,2026-07-14T08:25:12.118278+00:00,1.85,28.2,61.0
1784017513118,2026-07-14T08:25:13.118373+00:00,1.9,24.7,59.0
1784017514120,2026-07-14T08:25:14.120303+00:00,1.6,31.0,59.0
1784017515120,2026-07-14T08:25:15.120386+00:00,1.85,28.2,61.0
1784017516120,2026-07-14T08:25:16.120516+00:00,1.9,23.9,58.0
1784017517120,2026-07-14T08:25:17.120825+00:00,1.88,24.7,58.0
1784017518121,2026-07-14T08:25:18.121151+00:00,1.8,26.3,58.0
1784017519121,2026-07-14T08:25:19.121422+00:00,1.71,28.9,57.0
1784017520121,2026-07-14T08:25:20.121563+00:00,1.76,28.1,57.0
1784017521121,2026-07-14T08:25:21.121655+00:00,1.75,29.0,60.0
1784017522124,2026-07-14T08:25:22.124288+00:00,1.79,27.3,60.0
1784017523124,2026-07-14T08:25:23.124383+00:00,1.64,30.9,60.0
1784017524124,2026-07-14T08:25:24.124491+00:00,1.73,29.4,59.0
1784017525124,2026-07-14T08:25:25.124775+00:00,1.96,25.6,59.0
1784017526125,2026-07-14T08:25:26.125068+00:00,1.84,24.9,58.0
1784017527125,2026-07-14T08:25:27.125242+00:00,1.71,28.3,58.0
1784017528125,2026-07-14T08:25:28.125395+00:00,1.8,26.8,58.0
1784017529125,2026-07-14T08:25:29.125685+00:00,1.94,28.6,58.0
1784017530125,2026-07-14T08:25:30.125728+00:00,2.01,25.5,58.0
1784017531125,2026-07-14T08:25:31.125846+00:00,1.75,30.1,58.0
1784017532125,2026-07-14T08:25:32.125984+00:00,1.98,26.5,58.0
1784017533126,2026-07-14T08:25:33.126161+00:00,1.9,27.8,58.0
1784017534126,2026-07-14T08:25:34.126268+00:00,1.92,26.1,58.0
1784017535126,2026-07-14T08:25:35.126401+00:00,1.81,27.9,60.0
1784017536126,2026-07-14T08:25:36.126542+00:00,1.83,27.2,60.0
1784017537126,2026-07-14T08:25:37.126707+00:00,1.72,30.8,58.0
1784017538126,2026-07-14T08:25:38.126873+00:00,1.89,29.2,58.0
1784017539126,2026-07-14T08:25:39.126978+00:00,1.96,25.2,58.0
1784017540127,2026-07-14T08:25:40.127087+00:00,1.77,30.4,58.0
1784017541129,2026-07-14T08:25:41.129286+00:00,1.99,25.1,60.0
1784017542129,2026-07-14T08:25:42.129417+00:00,2.09,27.0,60.0
1784017543129,2026-07-14T08:25:43.129524+00:00,1.48,19.8,60.0
1784017544129,2026-07-14T08:25:44.129794+00:00,1.4,20.8,57.0
1784017545129,2026-07-14T08:25:45.129926+00:00,1.64,25.2,57.0
1784017546130,2026-07-14T08:25:46.130016+00:00,1.77,31.2,60.0
1784017547130,2026-07-14T08:25:47.130161+00:00,1.82,29.8,60.0
1784017548130,2026-07-14T08:25:48.130257+00:00,1.84,27.4,59.0
1784017549130,2026-07-14T08:25:49.130324+00:00,2.16,25.4,59.0
1784017550130,2026-07-14T08:25:50.130473+00:00,1.95,26.7,61.0
1784017551130,2026-07-14T08:25:51.130753+00:00,1.9,24.4,58.0
1784017552131,2026-07-14T08:25:52.131046+00:00,1.75,29.8,58.0
1784017553131,2026-07-14T08:25:53.131161+00:00,1.98,26.1,58.0
1784017554131,2026-07-14T08:25:54.131285+00:00,1.79,31.5,58.0
1784017555131,2026-07-14T08:25:55.131431+00:00,1.79,27.3,58.0
1784017556131,2026-07-14T08:25:56.131529+00:00,1.92,25.8,60.0
1784017557131,2026-07-14T08:25:57.131743+00:00,1.95,30.8,60.0
1784017558131,2026-07-14T08:25:58.131827+00:00,1.9,28.6,70.0
1784017559131,2026-07-14T08:25:59.131927+00:00,1.97,28.8,70.0
1784017560132,2026-07-14T08:26:00.132009+00:00,1.94,26.2,68.0
1784017561132,2026-07-14T08:26:01.132132+00:00,2.07,23.7,58.0
1784017562132,2026-07-14T08:26:02.132211+00:00,1.86,30.8,58.0
1784017563132,2026-07-14T08:26:03.132365+00:00,2.0,22.8,61.0
1784017564132,2026-07-14T08:26:04.132611+00:00,2.06,22.9,58.0
1784017565132,2026-07-14T08:26:05.132697+00:00,2.05,24.0,58.0
1784017566132,2026-07-14T08:26:06.132858+00:00,1.99,26.8,59.0
1784017567132,2026-07-14T08:26:07.132937+00:00,1.89,26.0,59.0
1784017568134,2026-07-14T08:26:08.134299+00:00,2.08,26.7,61.0
1784017569134,2026-07-14T08:26:09.134420+00:00,2.06,27.9,61.0
1784017570134,2026-07-14T08:26:10.134501+00:00,1.86,29.5,62.0
1784017571134,2026-07-14T08:26:11.134588+00:00,1.91,29.2,61.0
1784017572134,2026-07-14T08:26:12.134674+00:00,1.96,26.5,60.0
1784017573134,2026-07-14T08:26:13.134775+00:00,2.08,23.6,60.0
1784017574134,2026-07-14T08:26:14.134888+00:00,1.9,28.6,60.0
1784017575135,2026-07-14T08:26:15.135173+00:00,1.89,28.8,60.0
1784017576135,2026-07-14T08:26:16.135304+00:00,1.95,26.9,58.0
1784017577135,2026-07-14T08:26:17.135386+00:00,1.99,28.4,58.0
1784017578135,2026-07-14T08:26:18.135703+00:00,1.89,27.1,58.0
1784017579135,2026-07-14T08:26:19.135821+00:00,1.97,23.7,58.0
1784017580135,2026-07-14T08:26:20.135984+00:00,1.89,27.7,59.0
1784017581136,2026-07-14T08:26:21.136062+00:00,2.08,24.0,59.0
1784017582136,2026-07-14T08:26:22.136155+00:00,2.09,27.6,63.0
1784017583136,2026-07-14T08:26:23.136279+00:00,1.9,29.2,63.0
1784017584136,2026-07-14T08:26:24.136367+00:00,1.92,31.2,63.0
1784017585136,2026-07-14T08:26:25.136453+00:00,1.9,28.4,62.0
1784017586136,2026-07-14T08:26:26.136557+00:00,1.88,28.9,62.0
1784017587136,2026-07-14T08:26:27.136693+00:00,1.34,13.6,62.0
1784017588136,2026-07-14T08:26:28.136809+00:00,0.89,1.0,57.0
1784017589136,2026-07-14T08:26:29.136879+00:00,0.89,1.0,57.0
1784017590136,2026-07-14T08:26:30.136942+00:00,2.31,35.3,62.0
1784017591137,2026-07-14T08:26:31.137237+00:00,2.35,32.8,60.0
1784017592137,2026-07-14T08:26:32.137341+00:00,1.98,22.8,60.0
1784017593137,2026-07-14T08:26:33.137449+00:00,2.04,27.4,60.0
1784017594138,2026-07-14T08:26:34.138294+00:00,1.88,28.6,61.0
1784017595138,2026-07-14T08:26:35.138410+00:00,1.77,31.6,61.0
1784017596138,2026-07-14T08:26:36.138511+00:00,1.66,31.5,61.0
1784017597138,2026-07-14T08:26:37.138599+00:00,1.82,27.6,61.0
1784017598138,2026-07-14T08:26:38.138780+00:00,1.98,24.6,60.0
1784017599139,2026-07-14T08:26:39.139077+00:00,1.72,28.5,60.0
1784017600139,2026-07-14T08:26:40.139223+00:00,1.89,25.6,60.0
1784017601139,2026-07-14T08:26:41.139290+00:00,1.77,30.1,60.0
1784017602140,2026-07-14T08:26:42.140329+00:00,1.92,26.7,61.0
1784017603140,2026-07-14T08:26:43.140470+00:00,1.76,29.9,62.0
1784017604140,2026-07-14T08:26:44.140565+00:00,1.98,28.2,62.0
1784017605140,2026-07-14T08:26:45.140843+00:00,2.1,22.9,61.0
1784017606141,2026-07-14T08:26:46.141129+00:00,1.89,24.7,59.0
1784017607141,2026-07-14T08:26:47.141143+00:00,2.03,27.2,59.0
1784017608142,2026-07-14T08:26:48.142303+00:00,2.1,27.1,69.0
1784017609142,2026-07-14T08:26:49.142465+00:00,1.88,27.8,69.0
1784017610142,2026-07-14T08:26:50.142588+00:00,1.96,23.7,58.0
1784017611142,2026-07-14T08:26:51.142892+00:00,1.93,25.8,60.0
1784017612142,2026-07-14T08:26:52.142965+00:00,1.85,27.8,60.0
1784017613143,2026-07-14T08:26:53.143064+00:00,1.9,28.7,61.0
1784017614143,2026-07-14T08:26:54.143170+00:00,1.79,30.5,60.0
1784017615143,2026-07-14T08:26:55.143319+00:00,2.08,25.5,60.0
1784017616143,2026-07-14T08:26:56.143597+00:00,1.82,26.7,59.0
1784017617143,2026-07-14T08:26:57.143721+00:00,1.84,27.9,58.0
1784017618143,2026-07-14T08:26:58.143895+00:00,2.0,27.0,58.0
1784017619144,2026-07-14T08:26:59.144033+00:00,2.03,24.6,61.0
1784017620144,2026-07-14T08:27:00.144136+00:00,1.79,30.6,61.0
1784017621146,2026-07-14T08:27:01.146298+00:00,1.89,29.3,62.0
1784017622146,2026-07-14T08:27:02.146492+00:00,1.76,29.6,62.0
1784017623146,2026-07-14T08:27:03.146579+00:00,2.08,26.3,61.0
1784017624146,2026-07-14T08:27:04.146682+00:00,1.89,28.2,62.0
1784017625149,2026-07-14T08:27:05.149289+00:00,2.04,26.2,66.0
1784017626149,2026-07-14T08:27:06.149379+00:00,2.06,26.9,66.0
1784017627149,2026-07-14T08:27:07.149504+00:00,1.9,28.9,61.0
1784017628149,2026-07-14T08:27:08.149649+00:00,1.73,29.0,58.0
1784017629152,2026-07-14T08:27:09.152271+00:00,1.92,26.3,63.0
1784017630152,2026-07-14T08:27:10.152361+00:00,1.95,27.6,62.0
1784017631152,2026-07-14T08:27:11.152648+00:00,1.92,26.0,60.0
1784017632152,2026-07-14T08:27:12.152943+00:00,1.84,27.1,60.0
1784017633153,2026-07-14T08:27:13.153067+00:00,1.89,24.6,58.0
1784017634153,2026-07-14T08:27:14.153128+00:00,2.09,22.4,58.0
1784017635153,2026-07-14T08:27:15.153203+00:00,1.97,28.6,65.0
1784017636153,2026-07-14T08:27:16.153439+00:00,1.89,26.9,60.0
1784017637155,2026-07-14T08:27:17.155294+00:00,1.59,30.8,63.0
1784017638155,2026-07-14T08:27:18.155402+00:00,1.82,26.7,63.0
1784017639155,2026-07-14T08:27:19.155698+00:00,1.86,24.6,61.0
1784017640155,2026-07-14T08:27:20.155985+00:00,1.98,25.6,60.0
1784017641158,2026-07-14T08:27:21.158313+00:00,1.76,30.0,63.0
1784017642158,2026-07-14T08:27:22.158396+00:00,1.83,27.0,63.0
1784017643158,2026-07-14T08:27:23.158517+00:00,1.78,31.5,60.0
1784017644158,2026-07-14T08:27:24.158647+00:00,2.08,23.4,60.0
1784017645158,2026-07-14T08:27:25.158853+00:00,1.93,27.2,58.0
