timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1784027121235,2026-07-14T11:05:21.235363+00:00,0.67,0.8,48.0
1784027122235,2026-07-14T11:05:22.235507+00:00,0.76,1.0,48.0
1784027123235,2026-07-14T11:05:23.235599+00:00,2.52,43.1,55.0
1784027124235,2026-07-14T11:05:24.235692+00:00,2.88,54.4,55.0
1784027125237,2026-07-14T11:05:25.237289+00:00,2.23,50.4,53.0
1784027126238,2026-07-14T11:05:26.238298+00:00,2.25,49.7,53.0
1784027127241,2026-07-14T11:05:27.241297+00:00,2.17,49.6,53.0
1784027128241,2026-07-14T11:05:28.241427+00:00,2.26,49.6,52.0
1784027129243,2026-07-14T11:05:29.243302+00:00,2.21,49.2,52.0
1784027130243,2026-07-14T11:05:30.243396+00:00,2.17,47.2,53.0
1784027131243,2026-07-14T11:05:31.243486+00:00,2.28,51.8,53.0
1784027132243,2026-07-14T11:05:32.243597+00:00,2.21,49.0,53.0
1784027133243,2026-07-14T11:05:33.243686+00:00,2.26,47.9,53.0
1784027134243,2026-07-14T11:05:34.243789+00:00,2.27,51.4,55.0
1784027135243,2026-07-14T11:05:35.243890+00:00,2.31,48.1,53.0
1784027136243,2026-07-14T11:05:36.243991+00:00,2.23,50.0,53.0
1784027137244,2026-07-14T11:05:37.244139+00:00,2.18,47.3,53.0
1784027138244,2026-07-14T11:05:38.244273+00:00,2.29,50.6,53.0
1784027139247,2026-07-14T11:05:39.247294+00:00,2.19,49.2,52.0
1784027140247,2026-07-14T11:05:40.247385+00:00,2.22,51.4,52.0
1784027141247,2026-07-14T11:05:41.247469+00:00,2.24,47.0,53.0
1784027142247,2026-07-14T11:05:42.247627+00:00,2.21,46.7,55.0
1784027143247,2026-07-14T11:05:43.247662+00:00,2.3,50.8,55.0
1784027144249,2026-07-14T11:05:44.249316+00:00,2.36,48.6,55.0
1784027145249,2026-07-14T11:05:45.249411+00:00,2.27,48.8,55.0
1784027146249,2026-07-14T11:05:46.249471+00:00,2.31,51.3,56.0
1784027147249,2026-07-14T11:05:47.249721+00:00,2.2,47.7,56.0
1784027148249,2026-07-14T11:05:48.249823+00:00,2.22,48.8,53.0
1784027149249,2026-07-14T11:05:49.249945+00:00,2.26,50.6,53.0
1784027150250,2026-07-14T11:05:50.250186+00:00,2.25,48.1,53.0
1784027151250,2026-07-14T11:05:51.250312+00:00,2.38,50.6,53.0
1784027152250,2026-07-14T11:05:52.250438+00:00,2.37,49.9,56.0
1784027153250,2026-07-14T11:05:53.250557+00:00,2.25,48.5,55.0
1784027154253,2026-07-14T11:05:54.253297+00:00,2.26,50.8,55.0
1784027155253,2026-07-14T11:05:55.253378+00:00,2.28,49.6,55.0
1784027156253,2026-07-14T11:05:56.253487+00:00,2.26,50.4,56.0
1784027157253,2026-07-14T11:05:57.253603+00:00,2.23,48.7,56.0
1784027158253,2026-07-14T11:05:58.253739+00:00,2.36,49.4,54.0
1784027159253,2026-07-14T11:05:59.253878+00:00,2.35,50.1,56.0
1784027160253,2026-07-14T11:06:00.253973+00:00,2.28,50.1,56.0
1784027161254,2026-07-14T11:06:01.254103+00:00,2.19,50.3,56.0
1784027162254,2026-07-14T11:06:02.254181+00:00,2.32,49.7,56.0
1784027163254,2026-07-14T11:06:03.254265+00:00,2.2,48.6,56.0
1784027164254,2026-07-14T11:06:04.254387+00:00,2.24,50.8,56.0
1784027165254,2026-07-14T11:06:05.254505+00:00,2.23,48.6,54.0
1784027166254,2026-07-14T11:06:06.254987+00:00,2.35,48.6,56.0
1784027167255,2026-07-14T11:06:07.255192+00:00,2.38,49.6,56.0
1784027168255,2026-07-14T11:06:08.255328+00:00,2.26,49.0,56.0
1784027169255,2026-07-14T11:06:09.255832+00:00,2.26,49.9,57.0
1784027170257,2026-07-14T11:06:10.257306+00:00,2.26,46.9,57.0
1784027171257,2026-07-14T11:06:11.257394+00:00,2.38,48.6,57.0
1784027172257,2026-07-14T11:06:12.257495+00:00,2.24,48.2,56.0
1784027173257,2026-07-14T11:06:13.257568+00:00,2.28,49.7,56.0
1784027174257,2026-07-14T11:06:14.257671+00:00,2.33,46.1,56.0
1784027175257,2026-07-14T11:06:15.257797+00:00,2.33,51.3,56.0
1784027176257,2026-07-14T11:06:16.257902+00:00,2.26,47.8,56.0
1784027177258,2026-07-14T11:06:17.258052+00:00,2.23,51.8,56.0
1784027178258,2026-07-14T11:06:18.258511+00:00,2.42,46.4,57.0
1784027179258,2026-07-14T11:06:19.258618+00:00,2.4,49.7,57.0
1784027180258,2026-07-14T11:06:20.258760+00:00,2.2,48.1,56.0
1784027181258,2026-07-14T11:06:21.258866+00:00,2.17,47.3,56.0
1784027182258,2026-07-14T11:06:22.258977+00:00,2.31,49.5,57.0
1784027183259,2026-07-14T11:06:23.259143+00:00,2.24,50.0,57.0
1784027184260,2026-07-14T11:06:24.260301+00:00,2.29,48.2,58.0
1784027185260,2026-07-14T11:06:25.260382+00:00,2.3,47.2,58.0
1784027186260,2026-07-14T11:06:26.260464+00:00,2.37,49.7,60.0
