timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1780215163417,2026-05-31T08:12:43.417739+00:00,1.09,6.3,63.0
1780215164417,2026-05-31T08:12:44.417841+00:00,8.97,78.9,96.0
1780215165417,2026-05-31T08:12:45.417937+00:00,11.27,99.0,96.0
1780215166418,2026-05-31T08:12:46.418038+00:00,11.0,97.0,94.0
1780215167418,2026-05-31T08:12:47.418087+00:00,10.98,97.5,96.0
1780215168418,2026-05-31T08:12:48.418176+00:00,10.99,99.0,96.0
1780215169418,2026-05-31T08:12:49.418268+00:00,11.05,98.8,94.0
1780215170418,2026-05-31T08:12:50.418370+00:00,10.99,99.0,94.0
1780215171418,2026-05-31T08:12:51.418424+00:00,10.87,98.8,94.0
1780215172418,2026-05-31T08:12:52.418513+00:00,10.89,99.2,96.0
1780215173418,2026-05-31T08:12:53.418603+00:00,10.94,99.0,96.0
1780215174418,2026-05-31T08:12:54.418702+00:00,10.89,99.2,95.0
1780215175418,2026-05-31T08:12:55.418797+00:00,10.91,99.0,95.0
1780215176418,2026-05-31T08:12:56.418893+00:00,10.97,100.0,96.0
1780215177418,2026-05-31T08:12:57.418994+00:00,10.89,99.5,96.0
1780215178419,2026-05-31T08:12:58.419095+00:00,10.84,99.2,94.0
1780215179419,2026-05-31T08:12:59.419187+00:00,10.86,99.3,94.0
1780215180419,2026-05-31T08:13:00.419282+00:00,10.8,97.7,94.0
1780215181419,2026-05-31T08:13:01.419377+00:00,10.8,99.3,94.0
1780215182419,2026-05-31T08:13:02.419465+00:00,10.78,98.7,96.0
1780215183419,2026-05-31T08:13:03.419538+00:00,10.8,98.8,96.0
1780215184419,2026-05-31T08:13:04.419623+00:00,10.83,99.2,96.0
1780215185419,2026-05-31T08:13:05.419721+00:00,10.82,98.5,96.0
1780215186419,2026-05-31T08:13:06.419811+00:00,10.78,98.5,96.0
1780215187419,2026-05-31T08:13:07.419893+00:00,10.93,99.0,96.0
1780215188419,2026-05-31T08:13:08.419978+00:00,10.8,99.0,96.0
1780215189420,2026-05-31T08:13:09.420068+00:00,10.77,99.3,96.0
1780215190420,2026-05-31T08:13:10.420157+00:00,10.75,99.0,94.0
1780215191420,2026-05-31T08:13:11.420238+00:00,10.7,99.2,94.0
1780215192420,2026-05-31T08:13:12.420335+00:00,10.71,100.0,96.0
1780215193420,2026-05-31T08:13:13.420433+00:00,10.71,99.5,96.0
1780215194420,2026-05-31T08:13:14.420525+00:00,10.65,99.3,96.0
1780215195420,2026-05-31T08:13:15.420600+00:00,10.73,99.5,96.0
1780215196420,2026-05-31T08:13:16.420682+00:00,10.64,97.7,96.0
1780215197420,2026-05-31T08:13:17.420771+00:00,10.64,99.3,96.0
1780215198420,2026-05-31T08:13:18.420871+00:00,10.64,98.7,96.0
1780215199420,2026-05-31T08:13:19.420942+00:00,10.71,98.7,96.0
1780215200421,2026-05-31T08:13:20.421034+00:00,10.76,99.2,93.0
1780215201421,2026-05-31T08:13:21.421117+00:00,10.71,98.5,91.0
