timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c,gpu_energy_j_cumulative
1784823190079,2026-07-23T16:13:10.079433+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,18.38,80.0,0,0,1240.12,42,16.74
1784823191079,2026-07-23T16:13:11.079637+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.5,80.0,0,0,1240.12,44,42.387
1784823192079,2026-07-23T16:13:12.079798+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.28,80.0,14,2,1240.12,44,71.577
1784823193079,2026-07-23T16:13:13.079984+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.36,80.0,7,1,1240.12,43,100.175
1784823194080,2026-07-23T16:13:14.080171+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.8,80.0,7,1,1240.12,43,129.047
1784823195080,2026-07-23T16:13:15.080348+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.29,80.0,12,2,1240.12,45,158.152
1784823196080,2026-07-23T16:13:16.080502+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.6,80.0,13,2,1240.12,44,188.073
1784823197080,2026-07-23T16:13:17.080722+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.91,80.0,7,1,1240.12,43,216.911
1784823198080,2026-07-23T16:13:18.080958+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.84,80.0,7,1,1240.12,45,245.913
1784823199081,2026-07-23T16:13:19.081133+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.38,80.0,14,2,1240.12,44,274.787
1784823200081,2026-07-23T16:13:20.081338+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.45,80.0,7,1,1240.12,44,303.369
1784823201081,2026-07-23T16:13:21.081569+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.93,80.0,7,1,1240.12,43,332.516
1784823202081,2026-07-23T16:13:22.081745+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.65,80.0,14,2,1240.12,45,362.091
1784823203081,2026-07-23T16:13:23.081897+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.95,80.0,14,2,1240.12,44,390.833
1784823204082,2026-07-23T16:13:24.082129+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.68,80.0,13,2,1240.12,44,420.045
1784823205082,2026-07-23T16:13:25.082369+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.32,80.0,7,1,1240.12,44,448.599
1784823206082,2026-07-23T16:13:26.082578+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.45,80.0,7,1,1240.12,43,477.485
1784823207082,2026-07-23T16:13:27.082737+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.96,80.0,14,2,1240.12,44,506.148
1784823208082,2026-07-23T16:13:28.082928+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.29,80.0,10,2,1240.12,44,535.651
1784823209083,2026-07-23T16:13:29.083155+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.37,80.0,7,1,1240.12,44,564.796
1784823210083,2026-07-23T16:13:30.083399+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.0,80.0,10,2,1240.12,44,594.28
1784823211083,2026-07-23T16:13:31.083594+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.73,80.0,13,2,1240.12,45,622.533
1784823212083,2026-07-23T16:13:32.083739+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.45,80.0,14,2,1240.12,44,651.691
1784823213083,2026-07-23T16:13:33.083967+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.64,80.0,7,1,1240.12,44,678.921
1784823214084,2026-07-23T16:13:34.084175+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.79,80.0,7,1,1240.12,44,708.317
1784823215084,2026-07-23T16:13:35.084320+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.55,80.0,14,2,1240.12,45,737.658
1784823216084,2026-07-23T16:13:36.084393+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.41,80.0,7,1,1240.12,44,765.686
1784823217084,2026-07-23T16:13:37.084619+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.51,80.0,7,1,1240.12,44,793.864
1784823218084,2026-07-23T16:13:38.084820+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.64,80.0,7,1,1240.12,44,822.532
1784823219084,2026-07-23T16:13:39.084886+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.72,80.0,14,2,1240.12,44,852.062
1784823220085,2026-07-23T16:13:40.085091+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.08,80.0,9,2,1240.12,44,880.212
1784823221085,2026-07-23T16:13:41.085287+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.85,80.0,7,1,1240.12,44,908.886
1784823222085,2026-07-23T16:13:42.085454+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.77,80.0,14,2,1240.12,45,938.43
1784823223085,2026-07-23T16:13:43.085600+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,30.05,80.0,11,2,1240.12,44,967.565
1784823224085,2026-07-23T16:13:44.085794+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.88,80.0,8,2,1240.12,44,995.894
1784823225086,2026-07-23T16:13:45.086023+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.54,80.0,8,1,1240.12,44,1024.677
1784823226086,2026-07-23T16:13:46.086206+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.46,80.0,14,2,1240.12,45,1053.731
1784823227086,2026-07-23T16:13:47.086405+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.76,80.0,8,1,1240.12,44,1080.878
1784823228086,2026-07-23T16:13:48.086619+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.32,80.0,7,1,1240.12,44,1109.167
1784823229086,2026-07-23T16:13:49.086833+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.18,80.0,8,1,1240.12,45,1138.435
1784823230087,2026-07-23T16:13:50.087060+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.96,80.0,13,2,1240.12,45,1167.863
1784823231087,2026-07-23T16:13:51.087269+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.76,80.0,9,2,1240.12,44,1195.901
1784823232087,2026-07-23T16:13:52.087460+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,28.68,80.0,7,1,1240.12,44,1225.937
1784823233087,2026-07-23T16:13:53.087632+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,30.13,80.0,13,2,1240.12,45,1254.495
1784823234087,2026-07-23T16:13:54.087845+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.02,80.0,14,2,1240.12,44,1283.686
1784823235088,2026-07-23T16:13:55.088069+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,29.09,80.0,7,1,1240.12,44,1312.601
1784823236088,2026-07-23T16:13:56.088289+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,26.09,80.0,14,2,1240.12,44,1335.267
1784823237088,2026-07-23T16:13:57.088490+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.67,80.0,0,0,1240.12,43,1351.712
