timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c,cpu_energy_j_cumulative
1785056391546,2026-07-26T08:59:51.546933+00:00,4.79,0.0,41.0,4.791
1785056392547,2026-07-26T08:59:52.547108+00:00,28.29,11.4,44.0,33.087
1785056393547,2026-07-26T08:59:53.547293+00:00,39.96,16.3,45.0,73.055
1785056394547,2026-07-26T08:59:54.547447+00:00,39.25,16.8,45.0,112.312
1785056395547,2026-07-26T08:59:55.547619+00:00,39.34,16.8,52.0,151.664
1785056396547,2026-07-26T08:59:56.547803+00:00,35.87,16.0,52.0,187.539
1785056397547,2026-07-26T08:59:57.547994+00:00,36.3,16.6,46.0,223.841
1785056398548,2026-07-26T08:59:58.548070+00:00,38.82,17.7,46.0,262.668
1785056399548,2026-07-26T08:59:59.548231+00:00,37.44,16.9,64.0,300.118
1785056400548,2026-07-26T09:00:00.548410+00:00,35.02,15.9,52.0,335.139
1785056401548,2026-07-26T09:00:01.548582+00:00,38.6,16.8,52.0,373.75
1785056402548,2026-07-26T09:00:02.548732+00:00,35.33,15.9,57.0,409.083
1785056403548,2026-07-26T09:00:03.548879+00:00,38.51,16.7,57.0,447.598
1785056404549,2026-07-26T09:00:04.549016+00:00,38.4,16.5,48.0,486.003
1785056405549,2026-07-26T09:00:05.549151+00:00,39.47,17.1,48.0,525.482
1785056406549,2026-07-26T09:00:06.549237+00:00,39.32,17.5,55.0,564.805
1785056407549,2026-07-26T09:00:07.549426+00:00,38.37,17.6,51.0,603.186
1785056408549,2026-07-26T09:00:08.549580+00:00,37.52,16.2,51.0,640.714
1785056409549,2026-07-26T09:00:09.549837+00:00,37.56,15.9,47.0,678.282
1785056410550,2026-07-26T09:00:10.550063+00:00,39.5,17.2,47.0,717.791
1785056411550,2026-07-26T09:00:11.550218+00:00,39.58,17.4,52.0,757.375
1785056412550,2026-07-26T09:00:12.550446+00:00,38.85,17.5,55.0,796.238
1785056413550,2026-07-26T09:00:13.550641+00:00,36.12,16.2,55.0,832.362
1785056414550,2026-07-26T09:00:14.550862+00:00,37.3,17.0,48.0,869.671
1785056415551,2026-07-26T09:00:15.551129+00:00,38.85,18.0,49.0,908.535
1785056416551,2026-07-26T09:00:16.551216+00:00,39.01,18.4,49.0,947.546
1785056417551,2026-07-26T09:00:17.551361+00:00,36.41,17.4,66.0,983.958
1785056418551,2026-07-26T09:00:18.551568+00:00,34.67,15.9,48.0,1018.633
1785056419551,2026-07-26T09:00:19.551786+00:00,38.33,17.3,50.0,1056.974
1785056420551,2026-07-26T09:00:20.551867+00:00,38.94,17.8,50.0,1095.922
1785056421552,2026-07-26T09:00:21.552086+00:00,33.77,14.9,48.0,1129.704
1785056422552,2026-07-26T09:00:22.552339+00:00,39.41,18.0,48.0,1169.126
1785056423552,2026-07-26T09:00:23.552532+00:00,33.77,14.8,47.0,1202.902
1785056424552,2026-07-26T09:00:24.552731+00:00,4.74,0.0,47.0,1207.642
1785056425552,2026-07-26T09:00:25.552927+00:00,4.56,0.0,46.0,1212.207
1785056426553,2026-07-26T09:00:26.553066+00:00,22.1,8.7,46.0,1234.306
1785056427553,2026-07-26T09:00:27.553145+00:00,33.69,14.7,57.0,1267.998
1785056428553,2026-07-26T09:00:28.553376+00:00,39.41,17.6,48.0,1307.422
1785056429553,2026-07-26T09:00:29.553514+00:00,39.33,17.4,48.0,1346.761
1785056430553,2026-07-26T09:00:30.553673+00:00,39.89,16.5,51.0,1386.661
1785056431553,2026-07-26T09:00:31.553829+00:00,40.32,17.0,51.0,1426.989
1785056432553,2026-07-26T09:00:32.553913+00:00,37.38,16.1,60.0,1464.374
1785056433554,2026-07-26T09:00:33.554115+00:00,38.08,16.1,60.0,1502.462
1785056434554,2026-07-26T09:00:34.554305+00:00,38.69,15.6,50.0,1541.155
1785056435554,2026-07-26T09:00:35.554448+00:00,39.84,17.1,50.0,1581.004
1785056436554,2026-07-26T09:00:36.554552+00:00,39.73,16.7,55.0,1620.734
1785056437554,2026-07-26T09:00:37.554749+00:00,39.04,16.3,55.0,1659.777
1785056438554,2026-07-26T09:00:38.554927+00:00,38.15,16.8,60.0,1697.937
1785056439555,2026-07-26T09:00:39.555134+00:00,36.79,16.9,63.0,1734.736
1785056440555,2026-07-26T09:00:40.555294+00:00,39.17,17.8,63.0,1773.913
1785056441555,2026-07-26T09:00:41.555431+00:00,39.03,17.4,63.0,1812.946
1785056442555,2026-07-26T09:00:42.555604+00:00,39.73,17.5,53.0,1852.684
1785056443555,2026-07-26T09:00:43.555760+00:00,39.82,17.7,53.0,1892.508
1785056444555,2026-07-26T09:00:44.555926+00:00,36.58,16.4,63.0,1929.098
1785056445556,2026-07-26T09:00:45.556161+00:00,37.95,16.9,66.0,1967.061
1785056446556,2026-07-26T09:00:46.556363+00:00,39.13,17.2,51.0,2006.201
1785056447556,2026-07-26T09:00:47.556537+00:00,39.64,17.9,51.0,2045.852
1785056448556,2026-07-26T09:00:48.556739+00:00,39.26,17.3,61.0,2085.117
1785056449556,2026-07-26T09:00:49.556889+00:00,39.45,16.9,65.0,2124.577
1785056450557,2026-07-26T09:00:50.557039+00:00,35.9,15.7,65.0,2160.48
1785056451557,2026-07-26T09:00:51.557228+00:00,39.15,17.6,60.0,2199.633
1785056452557,2026-07-26T09:00:52.557452+00:00,39.95,17.4,60.0,2239.593
1785056453557,2026-07-26T09:00:53.557637+00:00,39.4,17.8,52.0,2278.999
1785056454557,2026-07-26T09:00:54.557716+00:00,39.78,17.6,52.0,2318.778
1785056455557,2026-07-26T09:00:55.557926+00:00,34.09,15.0,64.0,2352.876
1785056456558,2026-07-26T09:00:56.558143+00:00,39.73,17.5,52.0,2392.613
1785056457558,2026-07-26T09:00:57.558302+00:00,39.92,17.8,52.0,2432.542
1785056458558,2026-07-26T09:00:58.558477+00:00,38.13,16.5,69.0,2470.684
1785056459558,2026-07-26T09:00:59.558654+00:00,36.66,16.4,69.0,2507.346
1785056460558,2026-07-26T09:01:00.558865+00:00,38.46,17.0,53.0,2545.818
1785056461559,2026-07-26T09:01:01.559093+00:00,40.01,17.3,54.0,2585.84
1785056462559,2026-07-26T09:01:02.559290+00:00,39.55,16.6,57.0,2625.393
1785056463559,2026-07-26T09:01:03.559482+00:00,36.39,15.6,57.0,2661.792
1785056464559,2026-07-26T09:01:04.559673+00:00,39.04,15.8,52.0,2700.836
1785056465559,2026-07-26T09:01:05.559880+00:00,40.6,17.0,53.0,2741.448
1785056466559,2026-07-26T09:01:06.559957+00:00,34.47,14.5,53.0,2775.925
1785056467560,2026-07-26T09:01:07.560033+00:00,34.41,14.0,53.0,2810.335
1785056468560,2026-07-26T09:01:08.560239+00:00,34.64,13.8,53.0,2844.983
1785056469560,2026-07-26T09:01:09.560381+00:00,35.09,14.0,58.0,2880.074
1785056470560,2026-07-26T09:01:10.560548+00:00,34.29,13.8,58.0,2914.372
1785056471560,2026-07-26T09:01:11.560620+00:00,29.5,11.3,52.0,2943.874
1785056472560,2026-07-26T09:01:12.560822+00:00,35.0,14.0,53.0,2978.881
1785056473560,2026-07-26T09:01:13.560958+00:00,34.97,13.6,53.0,3013.86
1785056474561,2026-07-26T09:01:14.561169+00:00,35.17,13.7,52.0,3049.042
1785056475561,2026-07-26T09:01:15.561312+00:00,34.94,13.7,53.0,3083.989
1785056476561,2026-07-26T09:01:16.561390+00:00,34.66,14.4,53.0,3118.653
1785056477561,2026-07-26T09:01:17.561556+00:00,37.02,14.9,68.0,3155.675
1785056478561,2026-07-26T09:01:18.561643+00:00,38.87,16.0,68.0,3194.552
1785056479561,2026-07-26T09:01:19.561821+00:00,40.36,16.9,59.0,3234.919
1785056480562,2026-07-26T09:01:20.562069+00:00,38.89,16.4,61.0,3273.821
1785056481562,2026-07-26T09:01:21.562271+00:00,38.17,16.0,61.0,3312.001
1785056482562,2026-07-26T09:01:22.562416+00:00,37.91,16.2,62.0,3349.921
1785056483562,2026-07-26T09:01:23.562556+00:00,39.61,17.1,62.0,3389.534
1785056484562,2026-07-26T09:01:24.562668+00:00,38.31,16.6,70.0,3427.848
1785056485562,2026-07-26T09:01:25.562869+00:00,35.76,15.2,62.0,3463.616
1785056486563,2026-07-26T09:01:26.563055+00:00,39.46,17.2,53.0,3503.086
1785056487563,2026-07-26T09:01:27.563212+00:00,39.82,17.5,53.0,3542.909
1785056488563,2026-07-26T09:01:28.563373+00:00,36.91,16.0,74.0,3579.823
1785056489563,2026-07-26T09:01:29.563588+00:00,36.46,16.3,74.0,3616.287
1785056490563,2026-07-26T09:01:30.563735+00:00,39.6,18.2,57.0,3655.897
1785056491563,2026-07-26T09:01:31.563943+00:00,38.19,17.1,57.0,3694.091
1785056492564,2026-07-26T09:01:32.564145+00:00,34.69,15.2,66.0,3728.791
1785056493564,2026-07-26T09:01:33.564371+00:00,39.71,17.4,66.0,3768.514
1785056494564,2026-07-26T09:01:34.564538+00:00,39.49,17.6,59.0,3808.01
1785056495564,2026-07-26T09:01:35.564678+00:00,36.55,16.1,59.0,3844.562
1785056496564,2026-07-26T09:01:36.564752+00:00,37.13,16.3,65.0,3881.695
1785056497564,2026-07-26T09:01:37.564986+00:00,39.7,17.7,54.0,3921.402
1785056498565,2026-07-26T09:01:38.565211+00:00,39.41,17.9,54.0,3960.818
1785056499565,2026-07-26T09:01:39.565339+00:00,40.08,17.4,63.0,4000.899
1785056500565,2026-07-26T09:01:40.565538+00:00,39.45,18.7,63.0,4040.358
1785056501565,2026-07-26T09:01:41.565710+00:00,40.19,18.0,62.0,4080.56
1785056502565,2026-07-26T09:01:42.565785+00:00,33.98,15.2,62.0,4114.545
1785056503565,2026-07-26T09:01:43.565931+00:00,39.31,18.2,55.0,4153.863
1785056504566,2026-07-26T09:01:44.566158+00:00,39.7,18.0,55.0,4193.568
1785056505566,2026-07-26T09:01:45.566288+00:00,39.69,18.0,58.0,4233.262
1785056506566,2026-07-26T09:01:46.566484+00:00,4.95,0.0,51.0,4238.215
1785056507566,2026-07-26T09:01:47.566633+00:00,4.71,0.0,51.0,4242.923
1785056508566,2026-07-26T09:01:48.566789+00:00,16.36,6.3,57.0,4259.283
1785056509566,2026-07-26T09:01:49.566972+00:00,34.23,15.5,53.0,4293.515
1785056510567,2026-07-26T09:01:50.567059+00:00,40.04,18.3,53.0,4333.554
1785056511567,2026-07-26T09:01:51.567233+00:00,34.51,15.4,65.0,4368.065
1785056512567,2026-07-26T09:01:52.567319+00:00,40.28,18.4,70.0,4408.349
1785056513567,2026-07-26T09:01:53.567542+00:00,39.9,17.0,54.0,4448.256
1785056514567,2026-07-26T09:01:54.567723+00:00,40.32,18.0,54.0,4488.582
1785056515567,2026-07-26T09:01:55.567914+00:00,35.89,15.6,69.0,4524.476
1785056516568,2026-07-26T09:01:56.568065+00:00,38.99,16.7,69.0,4563.469
1785056517568,2026-07-26T09:01:57.568263+00:00,39.65,17.7,59.0,4603.13
1785056518568,2026-07-26T09:01:58.568437+00:00,36.39,15.6,59.0,4639.524
1785056519568,2026-07-26T09:01:59.568621+00:00,38.91,16.8,54.0,4678.444
1785056520568,2026-07-26T09:02:00.568877+00:00,40.63,17.5,54.0,4719.084
1785056521569,2026-07-26T09:02:01.569034+00:00,39.42,17.8,66.0,4758.513
1785056522569,2026-07-26T09:02:02.569112+00:00,36.43,15.9,66.0,4794.944
1785056523569,2026-07-26T09:02:03.569314+00:00,38.26,16.5,54.0,4833.21
1785056524569,2026-07-26T09:02:04.569616+00:00,39.51,18.0,55.0,4872.728
1785056525569,2026-07-26T09:02:05.569705+00:00,39.66,17.5,55.0,4912.395
1785056526569,2026-07-26T09:02:06.569873+00:00,39.7,17.5,60.0,4952.101
1785056527569,2026-07-26T09:02:07.569956+00:00,36.9,16.1,71.0,4989.008
1785056528570,2026-07-26T09:02:08.570132+00:00,37.69,16.4,65.0,5026.707
1785056529570,2026-07-26T09:02:09.570358+00:00,39.87,17.5,65.0,5066.583
1785056530570,2026-07-26T09:02:10.570532+00:00,40.67,16.8,60.0,5107.257
1785056531570,2026-07-26T09:02:11.570616+00:00,35.12,14.1,54.0,5142.375
1785056532570,2026-07-26T09:02:12.570758+00:00,40.43,17.1,57.0,5182.814
1785056533570,2026-07-26T09:02:13.570838+00:00,41.39,17.0,57.0,5224.206
1785056534571,2026-07-26T09:02:14.571052+00:00,38.13,15.4,71.0,5262.342
1785056535571,2026-07-26T09:02:15.571251+00:00,37.53,15.8,54.0,5299.877
1785056536571,2026-07-26T09:02:16.571436+00:00,40.1,17.1,54.0,5339.987
1785056537571,2026-07-26T09:02:17.571497+00:00,40.94,17.2,62.0,5380.934
1785056538571,2026-07-26T09:02:18.571659+00:00,37.46,15.5,72.0,5418.398
1785056539571,2026-07-26T09:02:19.571884+00:00,37.77,15.8,55.0,5456.181
1785056540572,2026-07-26T09:02:20.572136+00:00,40.42,17.1,55.0,5496.615
1785056541572,2026-07-26T09:02:21.572338+00:00,39.91,17.7,55.0,5536.536
