timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1784842741906,2026-07-23T21:39:01.906501+00:00,0.0008,0.0011
1784842742906,2026-07-23T21:39:02.906670+00:00,24.9933,4.7158
1784842743906,2026-07-23T21:39:03.906775+00:00,37.4861,6.1876
1784842744907,2026-07-23T21:39:04.907667+00:00,37.4843,5.5844
1784842745907,2026-07-23T21:39:05.907762+00:00,37.0288,6.1682
1784842746907,2026-07-23T21:39:06.907857+00:00,34.9216,6.1371
1784842747908,2026-07-23T21:39:07.908103+00:00,36.4361,6.1484
1784842748908,2026-07-23T21:39:08.908167+00:00,37.5449,6.1965
1784842749910,2026-07-23T21:39:09.910788+00:00,37.3354,5.5902
1784842750910,2026-07-23T21:39:10.910875+00:00,37.4846,6.1803
1784842751911,2026-07-23T21:39:11.911000+00:00,37.4852,6.1866
1784842752911,2026-07-23T21:39:12.911132+00:00,36.6735,6.1758
1784842753911,2026-07-23T21:39:13.911217+00:00,36.5596,6.1553
1784842754911,2026-07-23T21:39:14.911388+00:00,36.8075,6.1536
1784842755911,2026-07-23T21:39:15.911484+00:00,35.7371,6.1417
1784842756913,2026-07-23T21:39:16.913650+00:00,37.4843,5.5829
1784842757913,2026-07-23T21:39:17.913743+00:00,37.4845,6.1733
1784842758913,2026-07-23T21:39:18.913840+00:00,36.8557,6.1495
1784842759913,2026-07-23T21:39:19.913933+00:00,36.731,6.1672
1784842760914,2026-07-23T21:39:20.914101+00:00,36.7955,6.1745
1784842761914,2026-07-23T21:39:21.914184+00:00,35.8956,6.1372
1784842762914,2026-07-23T21:39:22.914364+00:00,37.2905,6.1963
1784842763914,2026-07-23T21:39:23.914461+00:00,37.1778,6.18
1784842764914,2026-07-23T21:39:24.914567+00:00,37.484,5.7527
1784842765914,2026-07-23T21:39:25.914663+00:00,37.4852,6.0169
1784842766914,2026-07-23T21:39:26.914766+00:00,37.4844,6.1769
1784842767915,2026-07-23T21:39:27.915011+00:00,33.3211,6.1066
1784842768915,2026-07-23T21:39:28.915485+00:00,37.484,5.5829
1784842769915,2026-07-23T21:39:29.915571+00:00,37.4855,6.1693
1784842770916,2026-07-23T21:39:30.916649+00:00,37.4851,6.1718
1784842771916,2026-07-23T21:39:31.916754+00:00,36.3084,6.1596
1784842772916,2026-07-23T21:39:32.916859+00:00,37.7879,6.1781
1784842773916,2026-07-23T21:39:33.916986+00:00,35.6153,6.1266
1784842774917,2026-07-23T21:39:34.917084+00:00,36.0671,5.5397
1784842775917,2026-07-23T21:39:35.917207+00:00,36.357,6.1613
1784842776917,2026-07-23T21:39:36.917318+00:00,36.7793,6.1552
1784842777917,2026-07-23T21:39:37.917492+00:00,35.1578,6.112
1784842778918,2026-07-23T21:39:38.918648+00:00,37.4839,5.5593
1784842779918,2026-07-23T21:39:39.918732+00:00,37.383,6.1724
1784842780918,2026-07-23T21:39:40.918841+00:00,34.6804,6.1075
1784842781919,2026-07-23T21:39:41.919011+00:00,37.2686,6.1808
1784842782920,2026-07-23T21:39:42.920634+00:00,36.4414,5.5759
1784842783921,2026-07-23T21:39:43.921038+00:00,37.4849,6.1739
1784842784921,2026-07-23T21:39:44.921243+00:00,35.5183,6.1318
1784842785921,2026-07-23T21:39:45.921289+00:00,35.2877,6.1438
1784842786921,2026-07-23T21:39:46.921580+00:00,37.4843,5.5695
1784842787921,2026-07-23T21:39:47.921695+00:00,36.1893,6.1271
1784842788921,2026-07-23T21:39:48.921962+00:00,36.4838,6.1622
1784842789922,2026-07-23T21:39:49.922131+00:00,35.6194,6.1419
1784842790922,2026-07-23T21:39:50.922214+00:00,37.4873,6.1859
1784842791922,2026-07-23T21:39:51.922340+00:00,37.4846,6.1783
1784842792922,2026-07-23T21:39:52.922423+00:00,37.484,5.558
1784842793922,2026-07-23T21:39:53.922523+00:00,36.1435,6.1525
1784842794922,2026-07-23T21:39:54.922690+00:00,26.3328,4.1607
1784842795922,2026-07-23T21:39:55.922843+00:00,0.0003,0.0001
