timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c,cpu_energy_j_cumulative
1784814919690,2026-07-23T13:55:19.690327+00:00,0.99,6.8,53.0,0.988
1784814920690,2026-07-23T13:55:20.690427+00:00,1.72,24.2,53.0,2.706
1784814921690,2026-07-23T13:55:21.690713+00:00,2.16,28.9,56.0,4.87
1784814922690,2026-07-23T13:55:22.690860+00:00,1.84,30.8,54.0,6.713
1784814923691,2026-07-23T13:55:23.691020+00:00,1.86,31.8,56.0,8.572
1784814924691,2026-07-23T13:55:24.691184+00:00,1.98,31.6,58.0,10.553
1784814925691,2026-07-23T13:55:25.691467+00:00,2.02,29.6,58.0,12.575
1784814926691,2026-07-23T13:55:26.691655+00:00,1.81,33.2,54.0,14.382
1784814927693,2026-07-23T13:55:27.693645+00:00,2.23,26.2,54.0,16.62
1784814928693,2026-07-23T13:55:28.693813+00:00,2.16,26.6,55.0,18.779
1784814929693,2026-07-23T13:55:29.693968+00:00,1.88,31.6,55.0,20.662
1784814930694,2026-07-23T13:55:30.694075+00:00,1.91,32.2,54.0,22.572
1784814931694,2026-07-23T13:55:31.694211+00:00,1.82,34.6,56.0,24.391
1784814932695,2026-07-23T13:55:32.695657+00:00,1.93,34.9,58.0,26.325
1784814933695,2026-07-23T13:55:33.695822+00:00,2.08,30.8,58.0,28.406
1784814934695,2026-07-23T13:55:34.695927+00:00,1.89,27.9,54.0,30.292
1784814935696,2026-07-23T13:55:35.696093+00:00,0.94,3.3,54.0,31.233
1784814936696,2026-07-23T13:55:36.696227+00:00,0.85,0.5,54.0,32.086
1784814937696,2026-07-23T13:55:37.696355+00:00,1.3,11.4,54.0,33.39
1784814938697,2026-07-23T13:55:38.697654+00:00,2.29,41.5,58.0,35.687
1784814939697,2026-07-23T13:55:39.697810+00:00,1.99,34.5,58.0,37.68
1784814940697,2026-07-23T13:55:40.697915+00:00,1.7,36.6,55.0,39.378
1784814941698,2026-07-23T13:55:41.698086+00:00,2.0,33.9,55.0,41.378
1784814942698,2026-07-23T13:55:42.698372+00:00,1.96,29.5,55.0,43.337
1784814943698,2026-07-23T13:55:43.698478+00:00,1.9,30.1,55.0,45.233
1784814944698,2026-07-23T13:55:44.698573+00:00,2.01,29.5,57.0,47.242
1784814945698,2026-07-23T13:55:45.698645+00:00,1.91,33.1,57.0,49.153
1784814946698,2026-07-23T13:55:46.698803+00:00,1.82,33.3,57.0,50.971
1784814947698,2026-07-23T13:55:47.698924+00:00,2.04,28.8,56.0,53.009
1784814948699,2026-07-23T13:55:48.699116+00:00,1.97,29.8,56.0,54.98
1784814949699,2026-07-23T13:55:49.699222+00:00,1.97,31.9,58.0,56.95
1784814950699,2026-07-23T13:55:50.699401+00:00,2.05,29.7,58.0,58.997
1784814951699,2026-07-23T13:55:51.699537+00:00,1.79,33.4,55.0,60.791
1784814952699,2026-07-23T13:55:52.699676+00:00,1.85,32.2,55.0,62.639
1784814953699,2026-07-23T13:55:53.699836+00:00,2.14,29.6,58.0,64.775
1784814954699,2026-07-23T13:55:54.699957+00:00,2.0,27.2,58.0,66.776
1784814955700,2026-07-23T13:55:55.700046+00:00,1.85,31.7,58.0,68.622
1784814956700,2026-07-23T13:55:56.700360+00:00,1.84,22.8,55.0,70.462
1784814957700,2026-07-23T13:55:57.700518+00:00,1.48,20.1,55.0,71.94
1784814958700,2026-07-23T13:55:58.700689+00:00,1.37,20.3,55.0,73.309
1784814959700,2026-07-23T13:55:59.700819+00:00,1.37,21.7,56.0,74.679
1784814960700,2026-07-23T13:56:00.700958+00:00,1.81,32.1,56.0,76.493
1784814961703,2026-07-23T13:56:01.703637+00:00,2.1,28.8,63.0,78.598
1784814962703,2026-07-23T13:56:02.703911+00:00,2.05,30.1,57.0,80.651
1784814963703,2026-07-23T13:56:03.703991+00:00,2.19,24.7,57.0,82.843
1784814964704,2026-07-23T13:56:04.704162+00:00,2.21,28.8,56.0,85.049
1784814965704,2026-07-23T13:56:05.704284+00:00,2.03,31.1,56.0,87.078
1784814966704,2026-07-23T13:56:06.704398+00:00,2.14,29.7,60.0,89.213
1784814967704,2026-07-23T13:56:07.704578+00:00,2.08,29.0,60.0,91.289
1784814968704,2026-07-23T13:56:08.704642+00:00,2.01,28.6,56.0,93.299
1784814969704,2026-07-23T13:56:09.704754+00:00,1.98,30.8,56.0,95.283
1784814970704,2026-07-23T13:56:10.704835+00:00,2.04,33.8,65.0,97.323
