timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c,cpu_energy_j_cumulative
1784843852686,2026-07-23T21:57:32.686130+00:00,0.97,6.1,51.0,0.968
1784843853686,2026-07-23T21:57:33.686205+00:00,1.92,35.0,51.0,2.891
1784843854686,2026-07-23T21:57:34.686266+00:00,2.15,49.1,55.0,5.043
1784843855688,2026-07-23T21:57:35.688635+00:00,2.2,48.3,55.0,7.252
1784843856689,2026-07-23T21:57:36.689655+00:00,2.15,47.0,55.0,9.404
1784843857692,2026-07-23T21:57:37.692709+00:00,2.15,48.3,56.0,11.559
1784843858694,2026-07-23T21:57:38.694644+00:00,2.15,49.9,56.0,13.715
1784843859694,2026-07-23T21:57:39.694902+00:00,2.18,49.6,56.0,15.892
1784843860695,2026-07-23T21:57:40.695150+00:00,2.22,46.5,53.0,18.11
1784843861696,2026-07-23T21:57:41.696651+00:00,2.17,48.3,56.0,20.283
1784843862696,2026-07-23T21:57:42.696789+00:00,2.11,46.5,56.0,22.389
1784843863696,2026-07-23T21:57:43.696991+00:00,1.37,22.5,51.0,23.759
1784843864697,2026-07-23T21:57:44.697140+00:00,0.82,1.3,51.0,24.574
1784843865697,2026-07-23T21:57:45.697260+00:00,0.82,1.0,51.0,25.394
1784843866697,2026-07-23T21:57:46.697369+00:00,2.47,44.4,56.0,27.866
1784843867699,2026-07-23T21:57:47.699640+00:00,2.78,55.7,56.0,30.657
1784843868699,2026-07-23T21:57:48.699740+00:00,2.17,48.5,56.0,32.826
1784843869699,2026-07-23T21:57:49.699833+00:00,2.24,47.3,56.0,35.071
1784843870700,2026-07-23T21:57:50.700007+00:00,2.2,47.8,56.0,37.273
1784843871700,2026-07-23T21:57:51.700126+00:00,2.06,44.6,53.0,39.338
1784843872700,2026-07-23T21:57:52.700255+00:00,1.9,40.3,53.0,41.236
1784843873700,2026-07-23T21:57:53.700400+00:00,1.98,29.5,53.0,43.219
1784843874700,2026-07-23T21:57:54.700511+00:00,1.7,29.7,53.0,44.92
1784843875700,2026-07-23T21:57:55.700672+00:00,1.61,30.2,53.0,46.526
1784843876700,2026-07-23T21:57:56.700839+00:00,1.85,30.8,53.0,48.375
1784843877700,2026-07-23T21:57:57.700961+00:00,2.14,42.1,53.0,50.514
1784843878702,2026-07-23T21:57:58.702279+00:00,2.2,46.2,56.0,52.713
1784843879702,2026-07-23T21:57:59.702558+00:00,2.21,49.6,56.0,54.924
1784843880702,2026-07-23T21:58:00.702655+00:00,2.15,48.6,58.0,57.077
1784843881702,2026-07-23T21:58:01.702754+00:00,2.14,48.3,56.0,59.213
1784843882702,2026-07-23T21:58:02.702856+00:00,2.2,48.3,56.0,61.411
1784843883702,2026-07-23T21:58:03.702953+00:00,2.21,49.2,56.0,63.617
1784843884703,2026-07-23T21:58:04.703059+00:00,2.16,49.2,58.0,65.778
1784843885703,2026-07-23T21:58:05.703716+00:00,2.15,48.2,56.0,67.928
1784843886703,2026-07-23T21:58:06.703815+00:00,2.21,47.3,56.0,70.139
1784843887703,2026-07-23T21:58:07.703901+00:00,2.23,49.5,56.0,72.373
1784843888704,2026-07-23T21:58:08.704161+00:00,2.18,49.0,55.0,74.553
1784843889704,2026-07-23T21:58:09.704274+00:00,2.17,48.3,55.0,76.72
1784843890704,2026-07-23T21:58:10.704435+00:00,2.25,49.4,56.0,78.973
1784843891704,2026-07-23T21:58:11.704585+00:00,2.19,49.0,55.0,81.165
1784843892704,2026-07-23T21:58:12.704647+00:00,2.16,48.5,55.0,83.32
1784843893704,2026-07-23T21:58:13.704746+00:00,2.2,47.9,56.0,85.52
1784843894706,2026-07-23T21:58:14.706649+00:00,2.36,46.8,57.0,87.887
1784843895708,2026-07-23T21:58:15.708645+00:00,2.2,47.1,57.0,90.089
1784843896708,2026-07-23T21:58:16.708719+00:00,2.17,49.2,57.0,92.26
1784843897708,2026-07-23T21:58:17.708817+00:00,2.22,51.4,57.0,94.485
1784843898708,2026-07-23T21:58:18.708950+00:00,2.21,49.6,60.0,96.698
1784843899709,2026-07-23T21:58:19.709118+00:00,2.22,48.7,58.0,98.915
1784843900709,2026-07-23T21:58:20.709239+00:00,2.2,47.2,58.0,101.113
1784843901709,2026-07-23T21:58:21.709337+00:00,2.18,48.8,58.0,103.292
1784843902709,2026-07-23T21:58:22.709435+00:00,2.24,49.5,58.0,105.535
1784843903709,2026-07-23T21:58:23.709770+00:00,2.19,48.5,58.0,107.721
1784843904709,2026-07-23T21:58:24.709779+00:00,2.25,50.9,62.0,109.967
1784843905712,2026-07-23T21:58:25.712651+00:00,2.21,48.3,58.0,112.184
1784843906712,2026-07-23T21:58:26.712746+00:00,2.16,47.7,57.0,114.346
1784843907712,2026-07-23T21:58:27.712890+00:00,2.16,46.5,57.0,116.511
1784843908714,2026-07-23T21:58:28.714648+00:00,2.31,47.9,58.0,118.828
1784843909714,2026-07-23T21:58:29.714833+00:00,2.19,47.9,58.0,121.021
1784843910714,2026-07-23T21:58:30.714948+00:00,2.27,47.0,57.0,123.288
1784843911715,2026-07-23T21:58:31.715097+00:00,2.17,49.9,57.0,125.455
1784843912715,2026-07-23T21:58:32.715233+00:00,2.27,47.7,58.0,127.722
1784843913715,2026-07-23T21:58:33.715327+00:00,2.23,48.7,58.0,129.952
1784843914715,2026-07-23T21:58:34.715497+00:00,2.11,49.5,57.0,132.059
1784843915716,2026-07-23T21:58:35.716640+00:00,2.16,48.8,57.0,134.22
1784843916719,2026-07-23T21:58:36.719669+00:00,2.2,48.6,58.0,136.43
1784843917720,2026-07-23T21:58:37.720646+00:00,2.18,48.8,58.0,138.615
1784843918721,2026-07-23T21:58:38.721646+00:00,2.27,48.1,60.0,140.886
1784843919721,2026-07-23T21:58:39.721804+00:00,2.21,47.9,58.0,143.097
1784843920721,2026-07-23T21:58:40.721969+00:00,2.2,48.7,58.0,145.293
1784843921722,2026-07-23T21:58:41.722126+00:00,2.2,48.7,57.0,147.491
1784843922722,2026-07-23T21:58:42.722229+00:00,2.24,48.3,57.0,149.73
1784843923722,2026-07-23T21:58:43.722566+00:00,2.24,46.7,58.0,151.967
1784843924722,2026-07-23T21:58:44.722649+00:00,2.28,47.3,58.0,154.244
1784843925722,2026-07-23T21:58:45.722763+00:00,2.29,48.1,58.0,156.53
1784843926722,2026-07-23T21:58:46.722852+00:00,2.19,48.5,58.0,158.717
1784843927722,2026-07-23T21:58:47.722942+00:00,2.18,49.0,58.0,160.898
1784843928723,2026-07-23T21:58:48.723022+00:00,2.29,47.8,58.0,163.186
1784843929723,2026-07-23T21:58:49.723080+00:00,2.23,49.5,58.0,165.419
1784843930723,2026-07-23T21:58:50.723215+00:00,2.22,48.3,58.0,167.642
1784843931723,2026-07-23T21:58:51.723303+00:00,2.21,48.7,60.0,169.857
1784843932723,2026-07-23T21:58:52.723435+00:00,2.43,49.4,60.0,172.291
1784843933723,2026-07-23T21:58:53.723532+00:00,2.18,48.2,60.0,174.467
1784843934724,2026-07-23T21:58:54.724647+00:00,2.27,48.1,60.0,176.736
1784843935726,2026-07-23T21:58:55.726174+00:00,2.28,46.5,60.0,179.02
1784843936727,2026-07-23T21:58:56.727643+00:00,2.21,47.7,60.0,181.233
1784843937727,2026-07-23T21:58:57.727742+00:00,2.16,49.1,60.0,183.39
1784843938727,2026-07-23T21:58:58.727864+00:00,2.25,48.3,58.0,185.64
1784843939727,2026-07-23T21:58:59.727975+00:00,2.25,49.1,58.0,187.889
1784843940728,2026-07-23T21:59:00.728110+00:00,2.21,47.2,60.0,190.099
1784843941728,2026-07-23T21:59:01.728258+00:00,2.14,43.7,58.0,192.241
1784843942728,2026-07-23T21:59:02.728378+00:00,2.44,45.6,58.0,194.685
1784843943728,2026-07-23T21:59:03.728493+00:00,2.21,49.6,58.0,196.894
1784843944728,2026-07-23T21:59:04.728627+00:00,2.19,47.6,58.0,199.084
1784843945728,2026-07-23T21:59:05.728746+00:00,1.72,27.4,55.0,200.809
1784843946728,2026-07-23T21:59:06.728942+00:00,0.87,1.5,55.0,201.683
1784843947729,2026-07-23T21:59:07.729172+00:00,0.88,1.5,55.0,202.565
1784843948729,2026-07-23T21:59:08.729266+00:00,2.3,37.1,55.0,204.861
1784843949731,2026-07-23T21:59:09.731646+00:00,2.89,53.6,61.0,207.758
1784843950731,2026-07-23T21:59:10.731728+00:00,2.38,50.6,61.0,210.137
1784843951732,2026-07-23T21:59:11.732840+00:00,2.2,47.0,61.0,212.341
1784843952734,2026-07-23T21:59:12.734645+00:00,2.17,47.7,60.0,214.516
1784843953737,2026-07-23T21:59:13.737637+00:00,2.21,47.9,59.0,216.736
1784843954739,2026-07-23T21:59:14.739664+00:00,2.24,50.6,61.0,218.98
1784843955741,2026-07-23T21:59:15.741656+00:00,2.29,46.9,61.0,221.272
1784843956741,2026-07-23T21:59:16.741752+00:00,2.28,48.8,60.0,223.552
1784843957741,2026-07-23T21:59:17.741820+00:00,2.3,49.5,60.0,225.855
1784843958741,2026-07-23T21:59:18.741931+00:00,2.23,47.8,61.0,228.09
1784843959742,2026-07-23T21:59:19.742299+00:00,2.23,47.7,60.0,230.319
1784843960744,2026-07-23T21:59:20.744645+00:00,2.22,46.1,59.0,232.545
1784843961744,2026-07-23T21:59:21.744755+00:00,2.2,48.3,60.0,234.749
1784843962744,2026-07-23T21:59:22.744849+00:00,2.2,49.4,60.0,236.952
1784843963744,2026-07-23T21:59:23.744956+00:00,2.21,49.0,58.0,239.16
1784843964746,2026-07-23T21:59:24.746645+00:00,2.23,49.7,60.0,241.393
1784843965746,2026-07-23T21:59:25.746752+00:00,2.2,50.0,60.0,243.589
1784843966746,2026-07-23T21:59:26.746872+00:00,2.23,48.7,60.0,245.822
1784843967747,2026-07-23T21:59:27.747042+00:00,2.23,49.4,60.0,248.052
1784843968747,2026-07-23T21:59:28.747250+00:00,2.22,47.6,61.0,250.27
1784843969748,2026-07-23T21:59:29.748644+00:00,2.19,46.6,60.0,252.463
1784843970748,2026-07-23T21:59:30.748745+00:00,2.23,48.7,61.0,254.688
1784843971748,2026-07-23T21:59:31.748904+00:00,2.12,48.3,61.0,256.804
1784843972748,2026-07-23T21:59:32.748997+00:00,2.27,47.5,60.0,259.075
1784843973749,2026-07-23T21:59:33.749413+00:00,2.21,49.0,58.0,261.282
1784843974749,2026-07-23T21:59:34.749526+00:00,2.22,47.9,58.0,263.498
1784843975749,2026-07-23T21:59:35.749599+00:00,2.46,47.4,58.0,265.959
1784843976749,2026-07-23T21:59:36.749832+00:00,2.32,49.4,60.0,268.28
1784843977749,2026-07-23T21:59:37.749980+00:00,2.2,49.2,60.0,270.48
1784843978750,2026-07-23T21:59:38.750072+00:00,2.23,47.4,61.0,272.706
1784843979750,2026-07-23T21:59:39.750196+00:00,2.22,47.7,60.0,274.923
1784843980750,2026-07-23T21:59:40.750300+00:00,2.22,50.3,60.0,277.145
1784843981750,2026-07-23T21:59:41.750417+00:00,2.24,49.0,60.0,279.38
1784843982750,2026-07-23T21:59:42.750548+00:00,2.25,49.6,60.0,281.633
1784843983750,2026-07-23T21:59:43.750629+00:00,2.22,48.6,61.0,283.853
1784843984750,2026-07-23T21:59:44.750720+00:00,2.24,48.5,61.0,286.089
1784843985750,2026-07-23T21:59:45.750879+00:00,2.32,48.6,61.0,288.409
1784843986750,2026-07-23T21:59:46.750992+00:00,2.47,45.3,60.0,290.878
1784843987751,2026-07-23T21:59:47.751103+00:00,2.27,49.5,61.0,293.145
1784843988751,2026-07-23T21:59:48.751219+00:00,2.2,48.7,61.0,295.346
1784843989751,2026-07-23T21:59:49.751335+00:00,2.24,49.1,60.0,297.588
1784843990751,2026-07-23T21:59:50.751545+00:00,2.31,48.5,62.0,299.903
1784843991751,2026-07-23T21:59:51.751787+00:00,2.24,50.1,62.0,302.14
1784843992751,2026-07-23T21:59:52.751876+00:00,2.26,48.7,61.0,304.398
1784843993751,2026-07-23T21:59:53.751983+00:00,2.26,48.2,62.0,306.654
1784843994752,2026-07-23T21:59:54.752242+00:00,2.2,49.1,60.0,308.856
1784843995752,2026-07-23T21:59:55.752664+00:00,2.23,49.0,60.0,311.086
1784843996752,2026-07-23T21:59:56.752794+00:00,2.17,47.5,59.0,313.258
1784843997752,2026-07-23T21:59:57.752949+00:00,2.32,50.4,59.0,315.578
1784843998753,2026-07-23T21:59:58.753004+00:00,2.27,49.1,61.0,317.844
1784843999753,2026-07-23T21:59:59.753071+00:00,2.25,48.5,61.0,320.099
1784844000753,2026-07-23T22:00:00.753212+00:00,2.22,48.5,62.0,322.323
1784844001753,2026-07-23T22:00:01.753309+00:00,2.21,50.0,62.0,324.534
1784844002753,2026-07-23T22:00:02.753410+00:00,2.3,47.8,60.0,326.83
1784844003753,2026-07-23T22:00:03.753488+00:00,2.22,49.2,62.0,329.053
1784844004753,2026-07-23T22:00:04.753576+00:00,2.22,48.6,62.0,331.277
1784844005753,2026-07-23T22:00:05.753638+00:00,2.39,48.3,61.0,333.663
1784844006753,2026-07-23T22:00:06.753688+00:00,2.31,49.7,61.0,335.977
1784844007756,2026-07-23T22:00:07.756041+00:00,2.83,52.6,61.0,338.814
1784844008756,2026-07-23T22:00:08.756133+00:00,2.25,48.7,61.0,341.068
1784844009756,2026-07-23T22:00:09.756271+00:00,2.34,48.5,61.0,343.404
1784844010756,2026-07-23T22:00:10.756432+00:00,2.34,47.7,61.0,345.741
1784844011756,2026-07-23T22:00:11.756518+00:00,2.19,47.6,61.0,347.928
1784844012756,2026-07-23T22:00:12.756648+00:00,2.26,49.2,61.0,350.187
1784844013757,2026-07-23T22:00:13.757736+00:00,2.37,47.2,61.0,352.557
1784844014757,2026-07-23T22:00:14.757838+00:00,2.19,48.1,61.0,354.743
1784844015757,2026-07-23T22:00:15.757938+00:00,2.27,49.4,61.0,357.014
1784844016758,2026-07-23T22:00:16.758050+00:00,2.21,49.5,61.0,359.229
1784844017758,2026-07-23T22:00:17.758142+00:00,2.21,49.5,61.0,361.438
1784844018758,2026-07-23T22:00:18.758282+00:00,2.42,46.7,61.0,363.861
1784844019758,2026-07-23T22:00:19.758533+00:00,2.3,49.4,61.0,366.16
1784844020758,2026-07-23T22:00:20.758626+00:00,2.32,48.5,61.0,368.485
