timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c,cpu_energy_j_cumulative
1785022875298,2026-07-25T23:41:15.298483+00:00,1.12,6.5,63.0,1.118
1785022876298,2026-07-25T23:41:16.298532+00:00,9.17,77.4,63.0,10.29
1785022877298,2026-07-25T23:41:17.298630+00:00,11.03,99.7,94.0,21.323
1785022878298,2026-07-25T23:41:18.298718+00:00,10.95,100.0,94.0,32.276
1785022879298,2026-07-25T23:41:19.298772+00:00,10.85,99.7,93.0,43.125
1785022880298,2026-07-25T23:41:20.298815+00:00,10.91,100.0,93.0,54.04
1785022881298,2026-07-25T23:41:21.298906+00:00,10.91,100.0,96.0,64.947
1785022882299,2026-07-25T23:41:22.299007+00:00,10.88,99.5,96.0,75.823
1785022883299,2026-07-25T23:41:23.299070+00:00,10.91,98.5,94.0,86.733
1785022884299,2026-07-25T23:41:24.299161+00:00,10.99,100.0,94.0,97.719
1785022885299,2026-07-25T23:41:25.299263+00:00,10.84,99.7,94.0,108.558
1785022886299,2026-07-25T23:41:26.299352+00:00,10.94,100.0,94.0,119.503
1785022887299,2026-07-25T23:41:27.299438+00:00,10.87,99.7,93.0,130.379
1785022888299,2026-07-25T23:41:28.299525+00:00,10.78,99.8,94.0,141.156
1785022889299,2026-07-25T23:41:29.299627+00:00,10.83,99.7,94.0,151.991
1785022890299,2026-07-25T23:41:30.299717+00:00,10.89,100.0,93.0,162.88
1785022891299,2026-07-25T23:41:31.299776+00:00,10.74,99.7,93.0,173.618
1785022892299,2026-07-25T23:41:32.299855+00:00,10.86,99.5,93.0,184.482
1785022893299,2026-07-25T23:41:33.299943+00:00,10.8,99.7,93.0,195.284
1785022894300,2026-07-25T23:41:34.300040+00:00,10.75,99.8,94.0,206.033
1785022895300,2026-07-25T23:41:35.300095+00:00,10.74,100.0,94.0,216.774
1785022896300,2026-07-25T23:41:36.300179+00:00,10.83,100.0,94.0,227.6
1785022897300,2026-07-25T23:41:37.300272+00:00,10.84,100.0,96.0,238.442
1785022898300,2026-07-25T23:41:38.300363+00:00,10.75,99.7,96.0,249.192
1785022899300,2026-07-25T23:41:39.300453+00:00,10.87,100.0,96.0,260.067
1785022900300,2026-07-25T23:41:40.300540+00:00,10.75,100.0,96.0,270.817
1785022901300,2026-07-25T23:41:41.300632+00:00,10.78,99.8,96.0,281.599
1785022902300,2026-07-25T23:41:42.300723+00:00,10.76,100.0,93.0,292.363
1785022903300,2026-07-25T23:41:43.300788+00:00,10.69,100.0,93.0,303.057
1785022904300,2026-07-25T23:41:44.300878+00:00,10.72,99.7,92.0,313.773
1785022905300,2026-07-25T23:41:45.300970+00:00,10.81,100.0,92.0,324.58
1785022906301,2026-07-25T23:41:46.301065+00:00,10.78,99.8,96.0,335.361
1785022907301,2026-07-25T23:41:47.301110+00:00,10.73,100.0,96.0,346.094
1785022908301,2026-07-25T23:41:48.301198+00:00,10.78,100.0,95.0,356.875
1785022909301,2026-07-25T23:41:49.301289+00:00,10.84,99.7,96.0,367.715
1785022910301,2026-07-25T23:41:50.301380+00:00,10.77,99.8,96.0,378.486
1785022911301,2026-07-25T23:41:51.301470+00:00,10.86,100.0,94.0,389.345
1785022912301,2026-07-25T23:41:52.301566+00:00,10.84,99.7,94.0,400.19
1785022913301,2026-07-25T23:41:53.301647+00:00,10.41,99.5,94.0,410.598
1785022914301,2026-07-25T23:41:54.301734+00:00,10.11,99.5,90.0,420.707
1785022915301,2026-07-25T23:41:55.301821+00:00,10.21,99.8,90.0,430.919
1785022916301,2026-07-25T23:41:56.301910+00:00,10.16,99.7,94.0,441.078
1785022917302,2026-07-25T23:41:57.302013+00:00,10.16,99.8,88.0,451.239
1785022918302,2026-07-25T23:41:58.302078+00:00,10.22,100.0,88.0,461.458
1785022919302,2026-07-25T23:41:59.302170+00:00,10.25,100.0,94.0,471.708
1785022920302,2026-07-25T23:42:00.302270+00:00,10.21,99.5,94.0,481.921
1785022921302,2026-07-25T23:42:01.302361+00:00,10.24,99.8,92.0,492.165
1785022922302,2026-07-25T23:42:02.302462+00:00,10.38,100.0,92.0,502.549
1785022923302,2026-07-25T23:42:03.302649+00:00,4.17,36.1,64.0,506.724
1785022924302,2026-07-25T23:42:04.302805+00:00,0.98,0.8,64.0,507.704
1785022925302,2026-07-25T23:42:05.302867+00:00,5.9,46.1,93.0,513.605
1785022926302,2026-07-25T23:42:06.302926+00:00,11.19,99.8,94.0,524.8
1785022927303,2026-07-25T23:42:07.303013+00:00,10.99,99.5,94.0,535.787
1785022928303,2026-07-25T23:42:08.303096+00:00,10.87,100.0,94.0,546.655
1785022929303,2026-07-25T23:42:09.303188+00:00,10.8,99.7,94.0,557.454
1785022930303,2026-07-25T23:42:10.303280+00:00,10.82,99.8,96.0,568.277
1785022931303,2026-07-25T23:42:11.303365+00:00,10.85,100.0,96.0,579.131
1785022932303,2026-07-25T23:42:12.303447+00:00,10.88,100.0,96.0,590.011
1785022933303,2026-07-25T23:42:13.303546+00:00,10.68,99.7,94.0,600.694
1785022934303,2026-07-25T23:42:14.303629+00:00,10.81,100.0,94.0,611.5
1785022935303,2026-07-25T23:42:15.303690+00:00,10.78,100.0,94.0,622.276
1785022936303,2026-07-25T23:42:16.303774+00:00,10.8,99.8,96.0,633.075
