timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780234396033,2026-05-31T13:33:16.033943+00:00,0.04,1818.0,31441.34,5.78,500.016,419.445,2418.944,19.212
1780234397036,2026-05-31T13:33:17.036719+00:00,7.5,1817.79,31441.34,5.78,500.016,419.445,2425.279,19.266
1780234398039,2026-05-31T13:33:18.039921+00:00,10.33,1817.87,31441.34,5.78,500.016,419.445,2433.34,19.342
1780234399043,2026-05-31T13:33:19.043092+00:00,9.82,1817.79,31441.34,5.78,500.016,419.445,2441.401,19.414
1780234400045,2026-05-31T13:33:20.045659+00:00,9.17,1818.44,31441.34,5.78,500.016,419.445,2449.897,19.488
1780234401047,2026-05-31T13:33:21.047345+00:00,11.85,1818.38,31441.34,5.78,500.016,419.445,2458.098,19.567
1780234402050,2026-05-31T13:33:22.050443+00:00,9.87,1817.91,31441.34,5.78,500.016,419.445,2466.159,19.64
1780234403054,2026-05-31T13:33:23.054726+00:00,11.72,1818.08,31441.34,5.78,500.016,419.445,2474.796,19.717
1780234404059,2026-05-31T13:33:24.059104+00:00,10.12,1818.04,31441.34,5.78,500.016,419.445,2482.858,19.791
1780234405064,2026-05-31T13:33:25.064459+00:00,9.7,1818.27,31441.34,5.78,500.016,419.445,2490.919,19.864
1780234406066,2026-05-31T13:33:26.066266+00:00,9.75,1818.38,31441.34,5.78,500.016,419.445,2498.981,19.937
1780234407068,2026-05-31T13:33:27.068884+00:00,10.67,1817.92,31441.34,5.78,500.016,419.445,2507.618,20.016
1780234408071,2026-05-31T13:33:28.071552+00:00,9.67,1818.34,31441.34,5.78,500.016,419.445,2515.679,20.089
1780234409073,2026-05-31T13:33:29.073829+00:00,10.21,1818.64,31441.34,5.78,500.016,419.445,2523.741,20.163
1780234410076,2026-05-31T13:33:30.076664+00:00,9.52,1818.56,31441.34,5.78,500.016,419.445,2532.238,20.237
1780234411079,2026-05-31T13:33:31.079557+00:00,9.44,1818.55,31441.34,5.78,500.016,419.445,2540.439,20.315
1780234412081,2026-05-31T13:33:32.081781+00:00,10.81,1818.16,31441.34,5.78,500.016,419.445,2548.501,20.389
1780234413084,2026-05-31T13:33:33.084362+00:00,10.18,1818.23,31441.34,5.78,500.016,419.445,2556.811,20.462
