timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780351756292,2026-06-01T22:09:16.292748+00:00,0.04,799.33,31441.34,2.54,14.629,0.113,128.14,0.443
1780351757296,2026-06-01T22:09:17.296262+00:00,6.03,799.64,31441.34,2.54,14.629,0.113,134.696,0.502
1780351758299,2026-06-01T22:09:18.299487+00:00,7.39,799.62,31441.34,2.54,14.629,0.113,143.112,0.58
1780351759302,2026-06-01T22:09:19.302422+00:00,7.06,799.83,31441.34,2.54,14.629,0.113,151.174,0.652
1780351760305,2026-06-01T22:09:20.305537+00:00,6.81,799.5,31441.34,2.54,14.629,0.113,159.235,0.725
1780351761307,2026-06-01T22:09:21.307584+00:00,6.62,800.09,31441.34,2.54,14.629,0.113,167.872,0.803
1780351762309,2026-06-01T22:09:22.309411+00:00,8.08,799.94,31441.34,2.54,14.629,0.113,175.933,0.875
1780351763311,2026-06-01T22:09:23.311948+00:00,7.92,799.8,31441.34,2.54,14.629,0.113,183.994,0.948
1780351764315,2026-06-01T22:09:24.315522+00:00,8.66,799.88,31441.34,2.54,14.629,0.113,192.631,1.025
1780351765318,2026-06-01T22:09:25.318192+00:00,7.43,799.91,31441.34,2.54,14.629,0.113,200.694,1.099
1780351766320,2026-06-01T22:09:26.320547+00:00,6.44,800.09,31441.34,2.54,14.629,0.113,207.028,1.156
1780351767323,2026-06-01T22:09:27.323121+00:00,1.37,799.62,31441.34,2.54,14.629,0.113,207.028,1.156
1780351768324,2026-06-01T22:09:28.324875+00:00,1.65,799.61,31441.34,2.54,14.629,0.113,207.028,1.156
1780351769327,2026-06-01T22:09:29.327955+00:00,9.82,799.68,31441.34,2.54,14.629,0.113,217.969,1.256
1780351770330,2026-06-01T22:09:30.330146+00:00,14.85,799.86,31441.34,2.54,14.629,0.113,236.973,1.427
1780351771333,2026-06-01T22:09:31.333834+00:00,6.59,800.07,31441.34,2.54,14.629,0.113,245.037,1.502
1780351772336,2026-06-01T22:09:32.336473+00:00,6.52,799.99,31441.34,2.54,14.629,0.113,253.097,1.575
1780351773339,2026-06-01T22:09:33.339710+00:00,7.7,800.46,31441.34,2.55,14.629,0.121,261.735,1.654
1780351774342,2026-06-01T22:09:34.342253+00:00,7.44,800.76,31441.34,2.55,14.629,0.121,269.796,1.727
1780351775345,2026-06-01T22:09:35.345978+00:00,7.28,800.57,31441.34,2.55,14.629,0.121,277.858,1.8
1780351776349,2026-06-01T22:09:36.349246+00:00,8.23,800.57,31441.34,2.55,14.629,0.121,286.355,1.873
1780351777352,2026-06-01T22:09:37.352300+00:00,7.54,800.45,31441.34,2.55,14.629,0.121,294.556,1.95
1780351778355,2026-06-01T22:09:38.355222+00:00,7.8,800.73,31441.34,2.55,14.629,0.121,302.617,2.023
1780351779358,2026-06-01T22:09:39.358205+00:00,6.77,800.9,31441.34,2.55,14.629,0.121,311.164,2.096
1780351780361,2026-06-01T22:09:40.361128+00:00,7.81,800.95,31441.34,2.55,14.629,0.121,319.315,2.173
1780351781363,2026-06-01T22:09:41.363187+00:00,7.44,800.91,31441.34,2.55,14.629,0.121,327.376,2.246
1780351782365,2026-06-01T22:09:42.365910+00:00,7.62,800.81,31441.34,2.55,14.629,0.121,335.948,2.32
1780351783368,2026-06-01T22:09:43.368503+00:00,8.31,800.78,31441.34,2.55,14.629,0.121,344.074,2.396
1780351784370,2026-06-01T22:09:44.370812+00:00,7.79,800.9,31441.34,2.55,14.629,0.121,352.135,2.469
1780351785373,2026-06-01T22:09:45.373361+00:00,7.7,801.07,31441.34,2.55,14.629,0.121,360.195,2.541
1780351786376,2026-06-01T22:09:46.376346+00:00,7.5,801.03,31441.34,2.55,14.629,0.121,368.833,2.619
1780351787379,2026-06-01T22:09:47.379668+00:00,7.73,800.82,31441.34,2.55,14.629,0.121,376.893,2.693
1780351788381,2026-06-01T22:09:48.381692+00:00,6.65,801.33,31441.34,2.55,14.629,0.121,384.955,2.767
1780351789384,2026-06-01T22:09:49.384424+00:00,7.83,801.18,31441.34,2.55,14.629,221.34,393.591,2.844
1780351790387,2026-06-01T22:09:50.387138+00:00,7.36,801.26,31441.34,2.55,14.629,221.34,401.655,2.918
1780351791390,2026-06-01T22:09:51.390130+00:00,6.82,801.59,31441.34,2.55,14.629,221.34,409.716,2.991
1780351792393,2026-06-01T22:09:52.393074+00:00,7.7,801.38,31441.34,2.55,14.629,221.34,418.352,3.068
1780351793395,2026-06-01T22:09:53.395355+00:00,7.21,801.45,31441.34,2.55,14.629,221.34,426.413,3.141
1780351794397,2026-06-01T22:09:54.397863+00:00,6.93,801.63,31441.34,2.55,14.629,221.34,434.474,3.214
1780351795400,2026-06-01T22:09:55.400994+00:00,7.62,801.22,31441.34,2.55,14.629,221.34,443.111,3.292
1780351796404,2026-06-01T22:09:56.404537+00:00,7.4,801.18,31441.34,2.55,14.629,221.34,451.171,3.365
1780351797407,2026-06-01T22:09:57.407193+00:00,8.01,801.5,31441.34,2.55,14.629,221.34,459.233,3.438
1780351798409,2026-06-01T22:09:58.409234+00:00,7.65,802.02,31441.34,2.55,14.629,221.34,467.779,3.511
1780351799411,2026-06-01T22:09:59.411260+00:00,7.7,801.7,31441.34,2.55,14.629,221.34,475.929,3.588
1780351800414,2026-06-01T22:10:00.414149+00:00,6.93,801.32,31441.34,2.55,14.629,221.34,483.991,3.661
1780351801416,2026-06-01T22:10:01.416851+00:00,7.58,802.23,31441.34,2.55,14.629,221.34,492.051,3.734
1780351802419,2026-06-01T22:10:02.419091+00:00,9.53,802.63,31441.34,2.55,14.629,221.34,500.689,3.812
1780351803421,2026-06-01T22:10:03.421835+00:00,7.0,802.61,31441.34,2.55,14.629,221.34,508.75,3.885
1780351804423,2026-06-01T22:10:04.423840+00:00,6.29,802.05,31441.34,2.55,14.629,221.34,516.811,3.958
1780351805427,2026-06-01T22:10:05.427018+00:00,7.66,802.38,31441.34,2.55,14.629,221.34,525.004,4.032
1780351806430,2026-06-01T22:10:06.430144+00:00,7.39,802.84,31441.34,2.55,14.629,221.34,533.509,4.11
1780351807433,2026-06-01T22:10:07.433009+00:00,7.53,802.41,31441.34,2.55,14.629,221.34,541.571,4.184
1780351808435,2026-06-01T22:10:08.435683+00:00,7.48,802.21,31441.34,2.55,14.629,221.34,549.632,4.257
1780351809438,2026-06-01T22:10:09.438344+00:00,7.71,802.57,31441.34,2.55,14.629,221.34,558.269,4.335
1780351810441,2026-06-01T22:10:10.441396+00:00,7.87,802.82,31441.34,2.55,14.629,221.34,566.331,4.408
1780351811443,2026-06-01T22:10:11.443619+00:00,7.43,802.66,31441.34,2.55,14.629,221.34,574.392,4.48
1780351812445,2026-06-01T22:10:12.445927+00:00,8.28,802.88,31441.34,2.55,14.629,221.34,583.028,4.558
1780351813448,2026-06-01T22:10:13.448430+00:00,7.08,802.98,31441.34,2.55,14.629,221.34,591.09,4.632
1780351814451,2026-06-01T22:10:14.451496+00:00,6.89,803.22,31441.34,2.55,14.629,221.34,599.149,4.703
1780351815453,2026-06-01T22:10:15.453546+00:00,7.46,803.18,31441.34,2.55,14.629,221.34,607.718,4.777
1780351816456,2026-06-01T22:10:16.456431+00:00,7.73,803.05,31441.34,2.55,14.629,221.34,615.849,4.855
1780351817459,2026-06-01T22:10:17.459432+00:00,6.66,803.07,31441.34,2.55,14.629,221.34,623.911,4.929
1780351818461,2026-06-01T22:10:18.461779+00:00,7.11,802.73,31441.34,2.55,14.629,221.34,631.972,5.001
1780351819463,2026-06-01T22:10:19.463113+00:00,7.99,802.99,31441.34,2.55,14.629,221.34,640.609,5.079
1780351820465,2026-06-01T22:10:20.465705+00:00,8.33,802.93,31441.34,2.55,14.629,221.34,648.67,5.152
1780351821469,2026-06-01T22:10:21.469362+00:00,6.74,803.34,31441.34,2.56,14.629,221.34,656.732,5.226
1780351822473,2026-06-01T22:10:22.473079+00:00,7.44,803.07,31441.34,2.55,14.629,221.34,664.794,5.298
1780351823475,2026-06-01T22:10:23.475449+00:00,7.83,802.91,31441.34,2.55,14.629,221.34,673.431,5.373
