timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1772143732934,2026-02-26T22:08:52.934000+00:00,0.0,701.91,31441.34,2.23,0.0,0.051,220.591,241.892
1772143733935,2026-02-26T22:08:53.935694+00:00,176.05,705.44,31441.34,2.24,0.0,0.051,222.767,266.042
1772143734937,2026-02-26T22:08:54.937622+00:00,245.26,704.15,31441.34,2.24,0.0,0.051,225.785,298.239
1772143735939,2026-02-26T22:08:55.939809+00:00,244.52,706.2,31441.34,2.25,0.0,0.051,228.712,329.535
1772143736941,2026-02-26T22:08:56.941499+00:00,243.33,705.6,31441.34,2.24,0.0,0.051,231.684,360.056
1772143737944,2026-02-26T22:08:57.944048+00:00,245.69,705.59,31441.34,2.24,0.0,0.051,234.652,390.759
1772143738946,2026-02-26T22:08:58.946077+00:00,226.6,702.0,31441.34,2.23,0.0,0.051,237.646,418.974
1772143739947,2026-02-26T22:08:59.947439+00:00,241.59,702.37,31441.34,2.23,0.0,0.051,240.649,451.17
1772143740949,2026-02-26T22:09:00.949512+00:00,216.05,702.29,31441.34,2.23,0.0,0.051,243.657,483.367
1772143741951,2026-02-26T22:09:01.951938+00:00,246.85,702.06,31441.34,2.23,0.0,0.051,246.084,515.56
1772143742954,2026-02-26T22:09:02.954299+00:00,241.98,705.51,31441.34,2.24,0.0,0.051,249.018,547.756
1772143743956,2026-02-26T22:09:03.956423+00:00,254.22,706.38,31441.34,2.25,0.0,0.051,251.963,579.255
1772143744959,2026-02-26T22:09:04.959424+00:00,244.86,704.85,31441.34,2.24,0.0,0.051,254.954,611.105
1772143745963,2026-02-26T22:09:05.963442+00:00,252.73,705.1,31441.34,2.24,0.0,0.051,257.911,641.645
1772143746965,2026-02-26T22:09:06.965844+00:00,246.88,706.04,31441.34,2.25,0.0,0.051,260.921,675.583
1772143747967,2026-02-26T22:09:07.967981+00:00,249.91,706.05,31441.34,2.25,0.0,0.051,263.894,706.328
1772143748969,2026-02-26T22:09:08.969722+00:00,251.22,705.31,31441.34,2.24,0.0,0.051,266.925,740.034
1772143749971,2026-02-26T22:09:09.971642+00:00,243.29,705.14,31441.34,2.24,0.0,0.051,269.897,770.738
1772143750973,2026-02-26T22:09:10.973853+00:00,245.2,706.24,31441.34,2.25,0.0,0.051,272.87,802.739
1772143751975,2026-02-26T22:09:11.975159+00:00,121.89,702.08,31441.34,2.23,0.0,0.051,274.521,821.42
1772143752977,2026-02-26T22:09:12.977360+00:00,1.69,701.79,31441.34,2.23,0.0,0.051,274.521,821.42
1772143753978,2026-02-26T22:09:13.978954+00:00,120.22,705.84,31441.34,2.24,0.0,0.051,275.848,833.022
1772143754980,2026-02-26T22:09:14.980779+00:00,205.75,702.0,31441.34,2.23,0.0,0.051,278.833,861.672
1772143755982,2026-02-26T22:09:15.982231+00:00,222.51,702.21,31441.34,2.23,0.0,0.051,281.83,893.869
1772143756984,2026-02-26T22:09:16.984993+00:00,243.9,702.11,31441.34,2.23,0.0,0.051,284.249,926.063
1772143757986,2026-02-26T22:09:17.986624+00:00,242.97,702.26,31441.34,2.23,0.0,197.766,287.244,958.258
1772143758988,2026-02-26T22:09:18.988651+00:00,244.98,705.79,31441.34,2.24,0.0,197.766,290.178,990.454
1772143759990,2026-02-26T22:09:19.990618+00:00,244.65,705.59,31441.34,2.24,0.0,197.766,293.137,1021.749
1772143760992,2026-02-26T22:09:20.992452+00:00,252.97,706.29,31441.34,2.25,0.0,197.766,296.14,1054.004
1772143761994,2026-02-26T22:09:21.994773+00:00,240.42,705.98,31441.34,2.25,0.0,197.766,299.137,1086.005
