timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1772207901024,2026-02-27T15:58:21.024152+00:00,0.03,1072.2,31441.34,3.41,0.0,0.113,180.834,121.104
1772207902027,2026-02-27T15:58:22.027602+00:00,9.97,1096.86,31441.34,3.49,0.0,0.113,184.811,145.259
1772207903032,2026-02-27T15:58:23.032499+00:00,11.51,1129.42,31441.34,3.59,0.0,0.113,190.127,177.46
1772207904035,2026-02-27T15:58:24.035179+00:00,11.42,1153.5,31441.34,3.67,0.0,0.113,195.421,209.661
1772207905038,2026-02-27T15:58:25.038208+00:00,11.21,1193.52,31441.34,3.8,0.0,0.113,200.722,241.86
1772207906040,2026-02-27T15:58:26.040399+00:00,11.13,1209.68,31441.34,3.85,0.0,0.113,206.035,274.061
1772207907042,2026-02-27T15:58:27.042660+00:00,11.61,1258.04,31441.34,4.0,0.0,0.113,211.333,306.267
1772207908045,2026-02-27T15:58:28.045730+00:00,10.8,1290.47,31441.34,4.1,0.0,0.113,216.632,338.474
1772207909047,2026-02-27T15:58:29.047986+00:00,11.41,1318.62,31441.34,4.19,0.0,0.113,222.516,370.68
1772207910050,2026-02-27T15:58:30.050868+00:00,12.18,1362.95,31441.34,4.33,0.0,0.121,227.818,406.219
1772207911053,2026-02-27T15:58:31.053878+00:00,11.17,1391.45,31441.34,4.43,0.0,0.121,233.211,439.116
1772207912056,2026-02-27T15:58:32.056932+00:00,11.0,1423.09,31441.34,4.53,0.0,0.121,238.518,471.322
1772207913059,2026-02-27T15:58:33.059285+00:00,10.87,1447.95,31441.34,4.61,0.0,0.121,243.818,503.527
1772207914061,2026-02-27T15:58:34.061869+00:00,12.46,1496.3,31441.34,4.76,0.0,0.121,249.708,539.226
1772207915064,2026-02-27T15:58:35.064243+00:00,11.21,1522.79,31441.34,4.84,0.0,0.121,255.04,571.928
1772207916067,2026-02-27T15:58:36.067948+00:00,11.75,1558.71,31441.34,4.96,0.0,0.121,260.349,604.167
