timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1772142460878,2026-02-26T21:47:40.878093+00:00,0.0,461.84,31441.34,1.47,0.059,0.051,168.56,0.48
1772142461880,2026-02-26T21:47:41.880625+00:00,196.62,462.71,31441.34,1.47,0.059,0.051,174.899,0.537
1772142462882,2026-02-26T21:47:42.882291+00:00,279.19,463.41,31441.34,1.47,0.059,0.051,182.966,0.617
1772142463885,2026-02-26T21:47:43.885081+00:00,257.38,463.46,31441.34,1.47,0.059,0.051,191.493,0.694
1772142464887,2026-02-26T21:47:44.887318+00:00,253.65,463.74,31441.34,1.47,0.059,0.051,199.674,0.77
1772142465889,2026-02-26T21:47:45.889560+00:00,253.8,463.34,31441.34,1.47,0.059,0.051,207.741,0.849
1772142466892,2026-02-26T21:47:46.892444+00:00,246.95,463.98,31441.34,1.48,0.059,0.051,215.807,0.925
1772142467893,2026-02-26T21:47:47.893857+00:00,261.24,463.43,31441.34,1.47,0.059,0.051,224.449,1.002
1772142468895,2026-02-26T21:47:48.895356+00:00,251.12,464.16,31441.34,1.48,0.059,0.051,232.516,1.082
1772142469896,2026-02-26T21:47:49.896810+00:00,239.52,464.16,31441.34,1.48,0.059,0.051,240.583,1.159
1772142470898,2026-02-26T21:47:50.898795+00:00,243.07,463.23,31441.34,1.47,0.059,0.051,248.65,1.235
1772142471900,2026-02-26T21:47:51.900263+00:00,270.63,462.82,31441.34,1.47,0.059,0.051,257.291,1.312
1772142472902,2026-02-26T21:47:52.902062+00:00,257.25,463.91,31441.34,1.48,0.059,0.051,265.358,1.392
1772142473904,2026-02-26T21:47:53.904382+00:00,265.27,463.46,31441.34,1.47,0.059,0.051,273.425,1.468
1772142474906,2026-02-26T21:47:54.906386+00:00,268.7,464.02,31441.34,1.48,0.059,0.051,282.067,1.546
1772142475908,2026-02-26T21:47:55.908471+00:00,266.72,464.65,31441.34,1.48,0.059,0.051,290.134,1.626
