timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1772210653935,2026-02-27T16:44:13.935658+00:00,0.04,1331.04,31441.34,4.23,0.004,0.113,288.435,0.652
1772210654938,2026-02-27T16:44:14.938564+00:00,13.86,1331.58,31441.34,4.24,0.004,0.113,299.949,0.686
1772210655941,2026-02-27T16:44:15.941290+00:00,15.0,1331.51,31441.34,4.23,0.004,0.113,313.764,0.726
1772210656941,2026-02-27T16:44:16.941855+00:00,18.07,1331.46,31441.34,4.23,0.004,0.113,329.881,0.773
1772210657944,2026-02-27T16:44:17.944536+00:00,14.95,1331.32,31441.34,4.23,0.004,0.113,343.696,0.812
1772210658947,2026-02-27T16:44:18.947229+00:00,17.52,1331.89,31441.34,4.24,0.004,0.113,359.813,0.859
1772210659950,2026-02-27T16:44:19.950254+00:00,15.67,1331.7,31441.34,4.24,0.004,0.113,374.749,0.901
1772210660952,2026-02-27T16:44:20.952524+00:00,17.6,1331.48,31441.34,4.23,0.004,0.113,389.745,0.945
1772210661955,2026-02-27T16:44:21.955279+00:00,18.07,1331.67,31441.34,4.24,0.004,0.121,405.862,0.991
1772210662958,2026-02-27T16:44:22.958043+00:00,15.45,1331.6,31441.34,4.24,0.004,0.121,419.677,1.03
1772210663960,2026-02-27T16:44:23.960543+00:00,17.69,1331.56,31441.34,4.24,0.004,0.121,435.794,1.076
1772210664962,2026-02-27T16:44:24.962014+00:00,14.78,1331.38,31441.34,4.23,0.004,0.121,449.609,1.116
1772210665963,2026-02-27T16:44:25.963990+00:00,17.35,1331.85,31441.34,4.24,0.004,0.121,465.975,1.164
1772210666966,2026-02-27T16:44:26.966683+00:00,17.43,1331.95,31441.34,4.24,0.004,0.121,481.842,1.21
1772210667968,2026-02-27T16:44:27.968692+00:00,17.54,1331.69,31441.34,4.24,0.004,0.121,497.96,1.256
1772210668970,2026-02-27T16:44:28.970999+00:00,17.94,1331.8,31441.34,4.24,0.004,0.121,514.076,1.302
1772210669973,2026-02-27T16:44:29.973101+00:00,15.07,1331.45,31441.34,4.23,0.004,0.121,527.891,1.342
1772210670975,2026-02-27T16:44:30.975721+00:00,17.22,1331.45,31441.34,4.23,0.004,0.121,544.007,1.39
1772210671978,2026-02-27T16:44:31.978317+00:00,15.6,1332.1,31441.34,4.24,0.004,0.121,559.832,1.435
1772210672980,2026-02-27T16:44:32.980503+00:00,16.88,1331.43,31441.34,4.23,0.004,0.121,573.939,1.477
1772210673982,2026-02-27T16:44:33.982395+00:00,17.57,1331.99,31441.34,4.24,0.004,0.121,590.055,1.522
1772210674985,2026-02-27T16:44:34.985040+00:00,15.28,1331.82,31441.34,4.24,0.004,0.121,603.869,1.562
1772210675986,2026-02-27T16:44:35.986682+00:00,17.82,1331.91,31441.34,4.24,0.004,0.121,619.987,1.609
1772210676989,2026-02-27T16:44:36.989129+00:00,14.88,1332.5,31441.34,4.24,0.004,0.121,633.801,1.648
1772210677992,2026-02-27T16:44:37.992254+00:00,17.84,1331.88,31441.34,4.24,0.004,218.988,649.917,1.693
1772210678994,2026-02-27T16:44:38.994893+00:00,16.92,1331.29,31441.34,4.23,0.004,218.988,666.033,1.741
1772210679997,2026-02-27T16:44:39.997458+00:00,15.04,1332.06,31441.34,4.24,0.004,218.988,680.484,1.782
1772210680999,2026-02-27T16:44:40.999313+00:00,17.46,1332.25,31441.34,4.24,0.004,218.988,695.964,1.828
1772210682002,2026-02-27T16:44:42.002690+00:00,15.74,1332.06,31441.34,4.24,0.004,218.988,709.78,1.868
1772210683005,2026-02-27T16:44:43.005176+00:00,17.3,1332.07,31441.34,4.24,0.004,219.0,725.896,1.914
1772210684008,2026-02-27T16:44:44.008392+00:00,16.6,1331.92,31441.34,4.24,0.004,219.0,742.012,1.961
1772210685010,2026-02-27T16:44:45.010831+00:00,15.58,1332.61,31441.34,4.24,0.004,219.0,757.956,2.004
1772210686013,2026-02-27T16:44:46.013279+00:00,17.2,1332.19,31441.34,4.24,0.004,219.0,771.943,2.047
1772210687015,2026-02-27T16:44:47.015497+00:00,17.21,1332.66,31441.34,4.24,0.004,219.0,788.059,2.094
1772210688017,2026-02-27T16:44:48.017772+00:00,15.52,1332.88,31441.34,4.24,0.004,219.0,801.873,2.133
1772210689019,2026-02-27T16:44:49.019641+00:00,16.69,1332.31,31441.34,4.24,0.004,219.0,817.99,2.179
1772210690021,2026-02-27T16:44:50.021876+00:00,14.68,1332.24,31441.34,4.24,0.004,219.0,833.299,2.222
1772210691022,2026-02-27T16:44:51.022731+00:00,17.88,1332.14,31441.34,4.24,0.004,219.0,847.921,2.265
1772210692025,2026-02-27T16:44:52.025330+00:00,14.49,1332.61,31441.34,4.24,0.004,219.0,862.156,2.307
1772210693027,2026-02-27T16:44:53.027340+00:00,17.32,1332.11,31441.34,4.24,0.004,219.0,877.852,2.35
1772210694030,2026-02-27T16:44:54.030805+00:00,15.7,1331.98,31441.34,4.24,0.004,219.0,891.667,2.392
1772210695033,2026-02-27T16:44:55.033381+00:00,18.55,1332.37,31441.34,4.24,0.004,219.0,907.784,2.437
1772210696034,2026-02-27T16:44:56.034798+00:00,16.93,1332.4,31441.34,4.24,0.004,219.0,923.901,2.481
