timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779119821636,2026-05-18T15:57:01.636379+00:00,0.04,3084.42,31441.34,9.81,163.246,3481.531,13573.218,183.774
1779119822638,2026-05-18T15:57:02.638815+00:00,8.56,3132.62,31441.34,9.96,163.246,3481.531,13576.412,202.539
1779119823641,2026-05-18T15:57:03.641367+00:00,9.11,3140.18,31441.34,9.99,163.246,3481.531,13581.068,232.169
1779119824643,2026-05-18T15:57:04.643947+00:00,9.43,3193.22,31441.34,10.16,163.246,3481.531,13585.677,259.261
1779119825645,2026-05-18T15:57:05.645907+00:00,7.48,3209.17,31441.34,10.21,163.246,3481.531,13589.71,284.581
1779119826648,2026-05-18T15:57:06.648113+00:00,8.09,3249.52,31441.34,10.34,163.246,3481.531,13594.323,312.985
1779119827650,2026-05-18T15:57:07.650671+00:00,8.93,3282.39,31441.34,10.44,163.246,3481.531,13599.589,345.033
1779119828652,2026-05-18T15:57:08.652664+00:00,8.7,3314.86,31441.34,10.54,163.246,3481.531,13604.911,377.646
1779119829655,2026-05-18T15:57:09.655196+00:00,8.65,3346.29,31441.34,10.64,163.246,3481.531,13610.222,409.856
1779119830656,2026-05-18T15:57:10.656723+00:00,8.94,3386.59,31441.34,10.77,163.246,3481.531,13616.106,442.862
1779119831659,2026-05-18T15:57:11.659018+00:00,9.03,3415.6,31441.34,10.86,163.246,3481.531,13621.466,477.782
1779119832661,2026-05-18T15:57:12.661645+00:00,8.35,3447.05,31441.34,10.96,163.246,3481.531,13626.798,510.512
1779119833664,2026-05-18T15:57:13.664001+00:00,8.78,3479.04,31441.34,11.07,163.246,3481.531,13632.092,542.725
1779119834665,2026-05-18T15:57:14.665930+00:00,10.21,3507.24,31441.34,11.15,163.246,3481.531,13637.977,575.845
1779119835667,2026-05-18T15:57:15.667779+00:00,9.48,3546.57,31441.34,11.28,163.246,3481.531,13643.298,609.08
1779119836670,2026-05-18T15:57:16.670065+00:00,8.64,3581.8,31441.34,11.39,163.246,3481.531,13648.626,642.681
1779119837671,2026-05-18T15:57:17.671891+00:00,8.79,3611.37,31441.34,11.49,163.246,3481.531,13654.247,675.589
1779119838675,2026-05-18T15:57:18.675786+00:00,9.11,3652.88,31441.34,11.62,163.246,3481.531,13659.852,709.06
1779119839679,2026-05-18T15:57:19.679127+00:00,9.2,3680.73,31441.34,11.71,163.246,3481.531,13665.229,744.032
1779119840682,2026-05-18T15:57:20.682951+00:00,8.74,3712.56,31441.34,11.81,163.246,3481.531,13670.54,776.24
1779119841685,2026-05-18T15:57:21.685169+00:00,8.9,3750.92,31441.34,11.93,163.246,3481.531,13676.462,811.711
1779119842687,2026-05-18T15:57:22.687549+00:00,8.91,3781.25,31441.34,12.03,163.246,3481.531,13681.802,844.685
1779119843689,2026-05-18T15:57:23.689995+00:00,8.48,3801.64,31441.34,12.09,163.246,3481.531,13687.194,876.894
1779119844692,2026-05-18T15:57:24.692894+00:00,9.76,3841.61,31441.34,12.22,163.246,3481.531,13692.402,909.105
1779119845695,2026-05-18T15:57:25.695193+00:00,8.95,3878.0,31441.34,12.33,163.246,3481.531,13697.704,941.317
1779119846698,2026-05-18T15:57:26.698034+00:00,8.72,3910.17,31441.34,12.44,163.246,3481.531,13703.407,973.526
1779119847700,2026-05-18T15:57:27.700374+00:00,9.21,3949.84,31441.34,12.56,163.246,3481.531,13708.903,1007.629
1779119848702,2026-05-18T15:57:28.702422+00:00,8.61,3979.06,31441.34,12.66,163.246,3481.531,13714.281,1041.968
1779119849704,2026-05-18T15:57:29.704300+00:00,8.96,4010.78,31441.34,12.76,163.246,3481.531,13719.566,1074.179
1779119850707,2026-05-18T15:57:30.707175+00:00,8.58,4043.35,31441.34,12.86,163.246,3481.531,13725.456,1106.39
1779119851709,2026-05-18T15:57:31.709012+00:00,10.13,4081.93,31441.34,12.98,163.246,3481.531,13730.791,1141.504
1779119852711,2026-05-18T15:57:32.711434+00:00,8.9,4099.3,31441.34,13.04,163.246,3481.531,13736.145,1174.833
1779119853712,2026-05-18T15:57:33.712947+00:00,10.02,4139.79,31441.34,13.17,163.246,3481.531,13741.449,1207.042
1779119854715,2026-05-18T15:57:34.715764+00:00,8.71,4175.89,31441.34,13.28,163.246,3481.531,13746.748,1239.251
1779119855717,2026-05-18T15:57:35.717949+00:00,9.24,4214.38,31441.34,13.4,163.246,3481.531,13752.668,1274.75
1779119856720,2026-05-18T15:57:36.720272+00:00,9.02,4245.81,31441.34,13.5,163.246,3481.531,13757.993,1307.695
1779119857723,2026-05-18T15:57:37.723654+00:00,3.54,4251.82,31441.34,13.52,163.246,3481.531,13759.346,1315.748
1779119858727,2026-05-18T15:57:38.727089+00:00,1.61,4251.66,31441.34,13.52,163.246,3481.531,13759.346,1315.748
1779119859730,2026-05-18T15:57:39.730028+00:00,2.87,4256.21,31441.34,13.54,163.246,3481.531,13760.003,1319.777
1779119860734,2026-05-18T15:57:40.734656+00:00,9.99,4288.51,31441.34,13.64,163.246,3481.531,13765.294,1351.984
1779119861736,2026-05-18T15:57:41.736639+00:00,8.38,4320.59,31441.34,13.74,163.246,3481.531,13770.603,1384.192
1779119862738,2026-05-18T15:57:42.738672+00:00,9.11,4360.73,31441.34,13.87,163.246,3481.531,13776.493,1418.088
1779119863741,2026-05-18T15:57:43.741371+00:00,9.26,4396.42,31441.34,13.98,163.246,3481.531,13781.833,1451.681
1779119864744,2026-05-18T15:57:44.744369+00:00,8.51,4413.11,31441.34,14.04,163.246,3481.531,13787.184,1484.844
