timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779125157283,2026-05-18T17:25:57.283924+00:00,0.04,819.54,31441.34,2.61,0.0,0.043,234.29,250.246
1779125158286,2026-05-18T17:25:58.286916+00:00,11.33,819.79,31441.34,2.61,0.0,0.043,237.282,282.45
1779125159289,2026-05-18T17:25:59.289661+00:00,14.82,844.18,31441.34,2.68,0.0,0.043,241.61,326.109
1779125160291,2026-05-18T17:26:00.291379+00:00,12.61,822.18,31441.34,2.61,0.0,0.043,245.463,371.001
1779125161293,2026-05-18T17:26:01.293219+00:00,12.64,842.87,31441.34,2.68,0.0,0.043,249.129,408.662
1779125162295,2026-05-18T17:26:02.295180+00:00,12.72,843.77,31441.34,2.68,0.0,0.043,252.849,448.768
1779125163297,2026-05-18T17:26:03.297298+00:00,13.05,843.1,31441.34,2.68,0.0,0.043,256.557,487.653
1779125164299,2026-05-18T17:26:04.299736+00:00,13.25,844.0,31441.34,2.68,0.0,0.043,260.308,529.09
1779125165302,2026-05-18T17:26:05.302043+00:00,13.23,843.21,31441.34,2.68,0.0,0.051,264.057,569.599
1779125166304,2026-05-18T17:26:06.304208+00:00,13.21,843.31,31441.34,2.68,0.0,0.051,267.828,611.418
1779125167306,2026-05-18T17:26:07.306941+00:00,12.69,843.33,31441.34,2.68,0.0,0.051,271.536,650.173
1779125168309,2026-05-18T17:26:08.309220+00:00,13.4,844.27,31441.34,2.69,0.0,0.051,275.23,688.894
1779125169312,2026-05-18T17:26:09.312096+00:00,10.77,819.91,31441.34,2.61,0.0,0.051,278.396,725.192
1779125170314,2026-05-18T17:26:10.314678+00:00,12.9,822.5,31441.34,2.62,0.0,0.051,282.083,765.444
1779125171316,2026-05-18T17:26:11.316426+00:00,12.82,847.09,31441.34,2.69,0.0,0.051,285.774,804.546
1779125172317,2026-05-18T17:26:12.317805+00:00,12.68,848.2,31441.34,2.7,0.0,0.051,289.486,843.742
1779125173321,2026-05-18T17:26:13.321172+00:00,12.42,847.81,31441.34,2.7,0.0,0.051,293.204,882.885
1779125174323,2026-05-18T17:26:14.323601+00:00,12.56,847.82,31441.34,2.7,0.0,0.051,296.915,922.119
1779125175326,2026-05-18T17:26:15.326003+00:00,11.51,823.74,31441.34,2.62,0.0,0.051,300.635,958.66
