timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770899345443,2026-02-12T12:29:05.443596+00:00,0.04,1273.27,31441.34,4.05,9.828,764.027,1487.705,3.708
1770899346445,2026-02-12T12:29:06.445787+00:00,2.41,1274.02,31441.34,4.05,9.828,764.027,1490.01,3.716
1770899347448,2026-02-12T12:29:07.448447+00:00,2.71,1273.61,31441.34,4.05,9.828,764.027,1492.314,3.722
1770899348450,2026-02-12T12:29:08.450382+00:00,2.56,1273.69,31441.34,4.05,9.828,764.027,1494.618,3.729
1770899349452,2026-02-12T12:29:09.452670+00:00,2.42,1273.53,31441.34,4.05,9.828,764.027,1496.923,3.737
1770899350455,2026-02-12T12:29:10.455221+00:00,2.61,1274.03,31441.34,4.05,9.828,764.027,1499.227,3.743
1770899351457,2026-02-12T12:29:11.457857+00:00,2.13,1273.62,31441.34,4.05,9.828,764.027,1501.533,3.751
1770899352460,2026-02-12T12:29:12.460015+00:00,2.58,1274.05,31441.34,4.05,9.828,764.027,1503.837,3.757
1770899353461,2026-02-12T12:29:13.461996+00:00,2.82,1273.7,31441.34,4.05,9.828,764.027,1506.141,3.764
1770899354464,2026-02-12T12:29:14.464286+00:00,2.15,1273.96,31441.34,4.05,9.828,764.027,1508.446,3.772
1770899355466,2026-02-12T12:29:15.466903+00:00,3.49,1273.55,31441.34,4.05,9.828,764.027,1513.055,3.785
1770899356468,2026-02-12T12:29:16.468915+00:00,2.31,1273.68,31441.34,4.05,9.828,764.027,1515.36,3.793
1770899357470,2026-02-12T12:29:17.470696+00:00,1.47,1273.65,31441.34,4.05,9.828,764.027,1515.36,3.793
1770899358473,2026-02-12T12:29:18.473424+00:00,2.17,1273.81,31441.34,4.05,9.828,764.027,1517.665,3.801
1770899359475,2026-02-12T12:29:19.475827+00:00,1.37,1273.34,31441.34,4.05,9.828,764.027,1517.665,3.801
1770899360478,2026-02-12T12:29:20.478864+00:00,2.92,1273.47,31441.34,4.05,9.828,764.027,1519.971,3.809
1770899361481,2026-02-12T12:29:21.481418+00:00,2.36,1273.79,31441.34,4.05,9.828,764.027,1522.275,3.816
1770899362482,2026-02-12T12:29:22.482962+00:00,1.29,1273.52,31441.34,4.05,9.828,764.027,1522.275,3.816
1770899363484,2026-02-12T12:29:23.484563+00:00,1.53,1273.35,31441.34,4.05,9.828,764.027,1522.275,3.816
1770899364487,2026-02-12T12:29:24.487355+00:00,2.11,1273.67,31441.34,4.05,9.828,764.027,1524.58,3.824
1770899365489,2026-02-12T12:29:25.489196+00:00,2.34,1273.35,31441.34,4.05,9.828,764.027,1526.884,3.831
1770899366491,2026-02-12T12:29:26.491245+00:00,2.8,1273.82,31441.34,4.05,9.828,764.027,1529.189,3.838
1770899367493,2026-02-12T12:29:27.493904+00:00,2.69,1273.77,31441.34,4.05,9.828,764.027,1531.495,3.845
1770899368496,2026-02-12T12:29:28.496157+00:00,2.3,1273.64,31441.34,4.05,9.828,764.027,1533.8,3.853
1770899369498,2026-02-12T12:29:29.498237+00:00,3.01,1273.65,31441.34,4.05,9.828,764.027,1538.409,3.868
1770899370499,2026-02-12T12:29:30.499960+00:00,1.87,1273.36,31441.34,4.05,9.828,764.027,1538.409,3.868
1770899371502,2026-02-12T12:29:31.502064+00:00,2.24,1273.34,31441.34,4.05,9.828,764.027,1540.714,3.876
1770899372504,2026-02-12T12:29:32.504292+00:00,3.89,1273.66,31441.34,4.05,9.828,764.027,1545.323,3.89
1770899373506,2026-02-12T12:29:33.506911+00:00,1.59,1273.52,31441.34,4.05,9.828,764.027,1545.323,3.89
1770899374508,2026-02-12T12:29:34.508892+00:00,2.96,1273.54,31441.34,4.05,9.828,764.027,1547.628,3.897
1770899375512,2026-02-12T12:29:35.512329+00:00,2.23,1273.68,31441.34,4.05,9.828,764.027,1549.934,3.904
