timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770899174120,2026-02-12T12:26:14.120891+00:00,0.04,1548.77,31441.34,4.93,9.828,463.488,1223.167,2.921
1770899175124,2026-02-12T12:26:15.124307+00:00,2.77,1549.09,31441.34,4.93,9.828,718.543,1225.472,2.928
1770899176126,2026-02-12T12:26:16.126597+00:00,2.47,1549.25,31441.34,4.93,9.828,718.543,1227.776,2.935
1770899177129,2026-02-12T12:26:17.129127+00:00,2.46,1548.73,31441.34,4.93,9.828,718.543,1230.081,2.943
1770899178131,2026-02-12T12:26:18.131892+00:00,2.08,1548.86,31441.34,4.93,9.828,718.543,1232.385,2.949
1770899179134,2026-02-12T12:26:19.134329+00:00,2.14,1548.88,31441.34,4.93,9.828,718.543,1234.69,2.957
1770899180136,2026-02-12T12:26:20.136637+00:00,2.75,1548.88,31441.34,4.93,9.828,718.543,1236.995,2.964
1770899181139,2026-02-12T12:26:21.139233+00:00,2.29,1548.49,31441.34,4.93,9.828,718.543,1239.299,2.97
1770899182141,2026-02-12T12:26:22.141767+00:00,3.02,1548.81,31441.34,4.93,9.828,718.543,1241.604,2.978
1770899183143,2026-02-12T12:26:23.143431+00:00,2.13,1548.67,31441.34,4.93,9.828,718.543,1243.908,2.985
1770899184145,2026-02-12T12:26:24.145801+00:00,2.96,1548.95,31441.34,4.93,9.828,718.543,1248.517,2.999
1770899185148,2026-02-12T12:26:25.148295+00:00,2.54,1548.89,31441.34,4.93,9.828,718.543,1250.822,3.006
1770899186150,2026-02-12T12:26:26.150537+00:00,1.31,1548.68,31441.34,4.93,9.828,718.543,1250.822,3.006
1770899187152,2026-02-12T12:26:27.152882+00:00,2.57,1548.55,31441.34,4.93,9.828,718.543,1253.126,3.014
1770899188154,2026-02-12T12:26:28.154486+00:00,1.44,1548.57,31441.34,4.93,9.828,718.543,1253.126,3.014
1770899189157,2026-02-12T12:26:29.157034+00:00,2.57,1548.93,31441.34,4.93,9.828,718.543,1255.431,3.022
1770899190159,2026-02-12T12:26:30.159703+00:00,2.92,1548.7,31441.34,4.93,9.828,718.543,1257.737,3.03
1770899191161,2026-02-12T12:26:31.161852+00:00,1.69,1548.78,31441.34,4.93,9.828,718.543,1257.737,3.03
1770899192164,2026-02-12T12:26:32.164762+00:00,1.31,1548.88,31441.34,4.93,9.828,718.543,1257.737,3.03
1770899193168,2026-02-12T12:26:33.168596+00:00,3.77,1549.22,31441.34,4.93,9.828,718.543,1262.346,3.043
1770899194170,2026-02-12T12:26:34.170331+00:00,1.3,1548.62,31441.34,4.93,9.828,718.543,1262.346,3.043
1770899195172,2026-02-12T12:26:35.172965+00:00,2.18,1548.91,31441.34,4.93,9.828,718.543,1264.651,3.051
1770899196174,2026-02-12T12:26:36.174773+00:00,2.75,1549.25,31441.34,4.93,9.828,718.543,1266.957,3.058
1770899197176,2026-02-12T12:26:37.176705+00:00,2.77,1549.16,31441.34,4.93,9.828,718.543,1269.261,3.065
1770899198179,2026-02-12T12:26:38.179227+00:00,4.14,1548.78,31441.34,4.93,9.828,718.543,1273.87,3.078
1770899199181,2026-02-12T12:26:39.181555+00:00,1.31,1548.88,31441.34,4.93,9.828,718.543,1273.87,3.078
1770899200183,2026-02-12T12:26:40.183124+00:00,2.79,1549.25,31441.34,4.93,9.828,718.543,1276.174,3.085
1770899201185,2026-02-12T12:26:41.185826+00:00,2.7,1549.24,31441.34,4.93,9.828,718.543,1278.479,3.093
1770899202187,2026-02-12T12:26:42.187792+00:00,2.18,1548.69,31441.34,4.93,9.828,718.543,1280.783,3.099
1770899203190,2026-02-12T12:26:43.190308+00:00,3.13,1549.12,31441.34,4.93,9.828,718.543,1283.088,3.106
1770899204193,2026-02-12T12:26:44.193005+00:00,2.7,1548.83,31441.34,4.93,9.828,718.543,1285.393,3.113
1770899205195,2026-02-12T12:26:45.195881+00:00,2.28,1549.46,31441.34,4.93,9.828,718.543,1287.698,3.121
1770899206197,2026-02-12T12:26:46.197387+00:00,1.81,1548.63,31441.34,4.93,9.828,718.543,1287.698,3.121
1770899207199,2026-02-12T12:26:47.199738+00:00,3.72,1549.24,31441.34,4.93,9.828,718.543,1292.688,3.137
1770899208201,2026-02-12T12:26:48.201832+00:00,2.77,1549.15,31441.34,4.93,9.828,718.543,1296.917,3.15
1770899209204,2026-02-12T12:26:49.204625+00:00,2.15,1549.1,31441.34,4.93,9.828,718.543,1299.221,3.157
1770899210207,2026-02-12T12:26:50.207282+00:00,1.28,1548.95,31441.34,4.93,9.828,718.543,1299.221,3.157
1770899211209,2026-02-12T12:26:51.209670+00:00,2.55,1549.08,31441.34,4.93,9.828,718.543,1301.527,3.165
1770899212211,2026-02-12T12:26:52.211819+00:00,1.39,1548.76,31441.34,4.93,9.828,718.543,1301.527,3.165
1770899213213,2026-02-12T12:26:53.213628+00:00,1.3,1548.68,31441.34,4.93,9.828,718.543,1301.527,3.165
1770899214215,2026-02-12T12:26:54.215325+00:00,2.85,1549.03,31441.34,4.93,9.828,718.543,1303.832,3.174
1770899215218,2026-02-12T12:26:55.218081+00:00,1.39,1548.65,31441.34,4.93,9.828,718.543,1303.833,3.174
1770899216220,2026-02-12T12:26:56.220515+00:00,1.77,1548.81,31441.34,4.93,9.828,718.543,1303.833,3.174
