timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771487575592,2026-02-19T07:52:55.592020+00:00,0.03,1522.96,31441.34,4.84,10.836,459.539,1223.072,3.183
1771487576594,2026-02-19T07:52:56.594480+00:00,2.12,1522.99,31441.34,4.84,10.836,459.539,1225.377,3.192
1771487577597,2026-02-19T07:52:57.597903+00:00,2.52,1522.59,31441.34,4.84,10.836,718.594,1227.68,3.199
1771487578599,2026-02-19T07:52:58.599775+00:00,2.46,1522.88,31441.34,4.84,10.836,718.594,1229.983,3.207
1771487579602,2026-02-19T07:52:59.602622+00:00,2.53,1523.01,31441.34,4.84,10.836,718.594,1232.286,3.214
1771487580604,2026-02-19T07:53:00.604642+00:00,2.43,1522.84,31441.34,4.84,10.836,718.594,1234.589,3.221
1771487581606,2026-02-19T07:53:01.606460+00:00,2.53,1522.84,31441.34,4.84,10.836,718.594,1236.892,3.229
1771487582608,2026-02-19T07:53:02.608789+00:00,2.24,1522.65,31441.34,4.84,10.836,718.594,1239.196,3.236
1771487583610,2026-02-19T07:53:03.610931+00:00,2.39,1522.79,31441.34,4.84,10.836,718.594,1241.499,3.244
1771487584612,2026-02-19T07:53:04.612842+00:00,2.28,1523.32,31441.34,4.84,10.836,718.594,1243.802,3.25
1771487585615,2026-02-19T07:53:05.615340+00:00,3.56,1523.18,31441.34,4.84,10.836,718.594,1248.409,3.264
1771487586617,2026-02-19T07:53:06.617056+00:00,2.73,1523.03,31441.34,4.84,10.836,718.594,1250.712,3.272
1771487587619,2026-02-19T07:53:07.619504+00:00,1.8,1522.82,31441.34,4.84,10.836,718.594,1250.712,3.272
1771487588621,2026-02-19T07:53:08.621235+00:00,2.56,1523.13,31441.34,4.84,10.836,718.594,1253.016,3.28
1771487589622,2026-02-19T07:53:09.622713+00:00,1.36,1522.75,31441.34,4.84,10.836,718.594,1253.016,3.28
1771487590624,2026-02-19T07:53:10.624866+00:00,2.58,1522.86,31441.34,4.84,10.836,718.594,1255.32,3.288
1771487591626,2026-02-19T07:53:11.626892+00:00,2.1,1523.08,31441.34,4.84,10.836,718.594,1257.623,3.295
1771487592629,2026-02-19T07:53:12.629087+00:00,1.49,1523.01,31441.34,4.84,10.836,718.594,1257.623,3.295
1771487593631,2026-02-19T07:53:13.631542+00:00,1.75,1522.97,31441.34,4.84,10.836,718.594,1257.623,3.295
1771487594633,2026-02-19T07:53:14.633679+00:00,2.86,1525.58,31441.34,4.85,10.836,718.594,1262.033,3.306
