timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770898380769,2026-02-12T12:13:00.769418+00:00,0.0,1054.91,31441.34,3.36,0.0,400.988,1613.8,10.206
1770898381771,2026-02-12T12:13:01.771595+00:00,117.16,1054.65,31441.34,3.35,0.0,400.988,1625.188,10.308
1770898382774,2026-02-12T12:13:02.774401+00:00,154.05,1054.82,31441.34,3.35,0.0,400.988,1639.318,10.437
1770898383776,2026-02-12T12:13:03.776101+00:00,146.16,1054.91,31441.34,3.36,0.0,400.988,1652.657,10.564
1770898384777,2026-02-12T12:13:04.777705+00:00,143.82,1055.02,31441.34,3.36,0.0,400.988,1666.576,10.692
1770898385780,2026-02-12T12:13:05.780034+00:00,145.85,1055.18,31441.34,3.36,0.0,400.988,1680.495,10.817
1770898386782,2026-02-12T12:13:06.782898+00:00,145.34,1055.32,31441.34,3.36,0.0,400.988,1693.834,10.945
1770898387785,2026-02-12T12:13:07.785675+00:00,141.6,1054.63,31441.34,3.35,0.0,400.988,1707.298,11.069
1770898388788,2026-02-12T12:13:08.788059+00:00,143.66,1055.1,31441.34,3.36,0.0,400.988,1721.67,11.198
1770898389790,2026-02-12T12:13:09.790471+00:00,141.48,1055.09,31441.34,3.36,0.0,400.988,1735.858,11.331
1770898390793,2026-02-12T12:13:10.793483+00:00,146.61,1055.07,31441.34,3.36,0.0,400.988,1749.724,11.46
1770898391795,2026-02-12T12:13:11.795900+00:00,141.63,1055.33,31441.34,3.36,0.0,400.988,1763.632,11.591
1770898392798,2026-02-12T12:13:12.798845+00:00,132.6,1054.93,31441.34,3.36,0.0,400.988,1776.948,11.717
1770898393801,2026-02-12T12:13:13.801147+00:00,141.38,1055.24,31441.34,3.36,0.0,400.988,1790.099,11.84
1770898394802,2026-02-12T12:13:14.802965+00:00,146.25,1055.24,31441.34,3.36,0.0,400.988,1804.596,11.969
1770898395805,2026-02-12T12:13:15.805274+00:00,153.07,1055.17,31441.34,3.36,0.0,400.988,1818.514,12.102
1770898396807,2026-02-12T12:13:16.807746+00:00,147.56,1055.12,31441.34,3.36,0.0,400.988,1833.026,12.237
1770898397808,2026-02-12T12:13:17.808954+00:00,153.9,1054.98,31441.34,3.36,0.0,400.988,1847.509,12.373
1770898398811,2026-02-12T12:13:18.811748+00:00,142.03,1054.95,31441.34,3.36,0.0,400.988,1860.848,12.499
1770898399814,2026-02-12T12:13:19.814203+00:00,144.43,1054.83,31441.34,3.35,0.0,400.988,1874.765,12.624
1770898400816,2026-02-12T12:13:20.816259+00:00,140.62,1055.4,31441.34,3.36,0.0,400.988,1888.241,12.752
1770898401818,2026-02-12T12:13:21.818801+00:00,142.58,1055.21,31441.34,3.36,0.0,400.988,1902.02,12.877
1770898402821,2026-02-12T12:13:22.821065+00:00,97.58,1054.77,31441.34,3.35,0.0,400.988,1910.72,12.964
1770898403822,2026-02-12T12:13:23.822974+00:00,1.83,1054.6,31441.34,3.35,0.0,400.988,1910.72,12.964
