timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770639912168,2026-02-09T12:25:12.168201+00:00,0.0,323.43,31441.34,1.03,79.008,0.016,0.006,0.005
1770639913171,2026-02-09T12:25:13.171151+00:00,801.26,370.84,31441.34,1.18,79.008,0.016,0.006,0.005
1770639914174,2026-02-09T12:25:14.174320+00:00,1004.13,370.76,31441.34,1.18,79.008,0.016,0.006,0.005
1770639915175,2026-02-09T12:25:15.175765+00:00,1004.71,366.95,31441.34,1.17,79.008,0.016,0.006,0.005
1770639916178,2026-02-09T12:25:16.178180+00:00,1003.26,371.91,31441.34,1.18,79.008,0.016,0.006,0.005
1770639917179,2026-02-09T12:25:17.179411+00:00,995.19,364.66,31441.34,1.16,79.027,0.016,0.006,0.005
1770639918181,2026-02-09T12:25:18.181257+00:00,1003.32,367.11,31441.34,1.17,79.027,0.016,0.006,0.005
1770639919183,2026-02-09T12:25:19.183128+00:00,1003.38,370.91,31441.34,1.18,79.027,0.016,0.006,0.005
1770639920185,2026-02-09T12:25:20.185844+00:00,1001.12,370.88,31441.34,1.18,79.031,0.016,0.006,0.005
1770639921187,2026-02-09T12:25:21.187339+00:00,1003.98,346.47,31441.34,1.1,79.031,0.016,0.006,0.005
1770639922190,2026-02-09T12:25:22.190209+00:00,1004.0,371.1,31441.34,1.18,79.031,0.016,0.006,0.005
1770639923192,2026-02-09T12:25:23.192747+00:00,1003.48,371.36,31441.34,1.18,79.031,0.016,0.006,0.005
1770639924194,2026-02-09T12:25:24.194437+00:00,1004.07,367.02,31441.34,1.17,79.031,0.016,0.006,0.005
1770639925197,2026-02-09T12:25:25.197223+00:00,1004.04,374.4,31441.34,1.19,79.031,0.016,0.006,0.005
1770639926198,2026-02-09T12:25:26.198725+00:00,1002.94,328.77,31441.34,1.05,79.031,0.016,0.006,0.005
1770639927201,2026-02-09T12:25:27.201344+00:00,1001.94,330.9,31441.34,1.05,79.031,0.016,0.006,0.005
1770639928204,2026-02-09T12:25:28.204701+00:00,997.06,330.77,31441.34,1.05,79.039,0.016,0.006,0.005
1770639929206,2026-02-09T12:25:29.206572+00:00,1003.46,331.04,31441.34,1.05,79.039,0.105,0.006,0.005
1770639930209,2026-02-09T12:25:30.209702+00:00,1003.12,332.28,31441.34,1.06,79.039,0.105,0.006,0.005
1770639931212,2026-02-09T12:25:31.212782+00:00,1003.09,371.01,31441.34,1.18,79.039,0.105,0.006,0.005
1770639932215,2026-02-09T12:25:32.215953+00:00,995.3,361.95,31441.34,1.15,79.043,0.105,0.006,0.005
1770639933217,2026-02-09T12:25:33.217898+00:00,1004.21,371.32,31441.34,1.18,79.043,0.105,0.006,0.005
1770639934220,2026-02-09T12:25:34.220331+00:00,1001.96,371.0,31441.34,1.18,79.047,0.105,0.006,0.005
1770639935224,2026-02-09T12:25:35.224671+00:00,1001.35,374.08,31441.34,1.19,79.051,0.105,0.006,0.005
1770639936227,2026-02-09T12:25:36.227318+00:00,1003.77,364.28,31441.34,1.16,79.051,0.105,0.006,0.005
1770639937228,2026-02-09T12:25:37.228898+00:00,1004.64,381.8,31441.34,1.21,79.051,0.105,0.006,0.005
1770639938231,2026-02-09T12:25:38.231535+00:00,1002.56,367.04,31441.34,1.17,79.051,0.105,0.006,0.005
1770639939234,2026-02-09T12:25:39.234369+00:00,1003.16,374.51,31441.34,1.19,79.051,0.105,0.006,0.005
1770639940236,2026-02-09T12:25:40.236960+00:00,1001.39,329.89,31441.34,1.05,79.055,0.113,0.006,0.005
1770639941240,2026-02-09T12:25:41.240619+00:00,1003.77,367.2,31441.34,1.17,79.055,0.113,0.006,0.005
1770639942241,2026-02-09T12:25:42.241834+00:00,1003.25,330.68,31441.34,1.05,79.055,0.113,0.006,0.005
1770639943243,2026-02-09T12:25:43.243157+00:00,995.52,366.28,31441.34,1.16,79.07,0.113,0.006,0.005
1770639944244,2026-02-09T12:25:44.244881+00:00,1003.72,373.42,31441.34,1.19,79.07,0.113,0.006,0.005
1770639945248,2026-02-09T12:25:45.248067+00:00,1003.74,369.23,31441.34,1.17,79.07,0.113,0.006,0.005
1770639946248,2026-02-09T12:25:46.248854+00:00,1004.0,371.5,31441.34,1.18,79.07,0.113,0.006,0.005
1770639947251,2026-02-09T12:25:47.251074+00:00,1003.35,371.23,31441.34,1.18,79.07,0.113,0.006,0.005
1770639948253,2026-02-09T12:25:48.253843+00:00,1002.31,331.09,31441.34,1.05,79.07,0.113,0.006,0.005
1770639949256,2026-02-09T12:25:49.256865+00:00,1004.24,373.71,31441.34,1.19,79.07,0.113,0.006,0.005
1770639950259,2026-02-09T12:25:50.259153+00:00,1001.53,330.75,31441.34,1.05,79.07,0.113,0.006,0.005
1770639951261,2026-02-09T12:25:51.261599+00:00,1004.41,330.73,31441.34,1.05,79.07,0.113,0.006,0.005
1770639952264,2026-02-09T12:25:52.264278+00:00,1001.99,366.21,31441.34,1.16,79.07,0.113,0.006,0.005
1770639953267,2026-02-09T12:25:53.267500+00:00,1001.11,379.7,31441.34,1.21,79.07,0.113,0.006,0.005
1770639954269,2026-02-09T12:25:54.269812+00:00,1005.83,365.96,31441.34,1.16,79.07,0.113,0.006,0.005
