timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770643079258,2026-02-09T13:17:59.258027+00:00,0.04,669.79,31441.34,2.13,34.086,16.668,0.006,0.005
1770643080259,2026-02-09T13:18:00.259376+00:00,1101.14,675.72,31441.34,2.15,34.086,16.668,0.006,0.005
1770643081262,2026-02-09T13:18:01.262195+00:00,1397.91,675.48,31441.34,2.15,34.086,16.668,0.006,0.005
1770643082264,2026-02-09T13:18:02.264829+00:00,1466.27,676.01,31441.34,2.15,34.086,16.668,0.006,0.005
1770643083265,2026-02-09T13:18:03.265161+00:00,1341.86,676.13,31441.34,2.15,34.086,16.668,0.006,0.005
1770643084267,2026-02-09T13:18:04.267688+00:00,1449.84,676.91,31441.34,2.15,34.086,16.668,0.006,0.005
1770643085269,2026-02-09T13:18:05.269771+00:00,1318.45,677.17,31441.34,2.15,34.086,16.668,0.006,0.005
1770643086272,2026-02-09T13:18:06.272849+00:00,1390.27,676.82,31441.34,2.15,34.086,16.668,0.006,0.005
1770643087275,2026-02-09T13:18:07.275022+00:00,1476.45,677.64,31441.34,2.16,34.086,16.668,0.006,0.005
1770643088276,2026-02-09T13:18:08.276662+00:00,1329.65,676.88,31441.34,2.15,34.086,16.668,0.006,0.005
1770643089278,2026-02-09T13:18:09.278919+00:00,1321.09,676.43,31441.34,2.15,34.086,16.668,0.006,0.005
1770643090281,2026-02-09T13:18:10.281115+00:00,1323.86,679.09,31441.34,2.16,34.086,16.668,0.006,0.005
1770643091283,2026-02-09T13:18:11.283030+00:00,1344.66,679.48,31441.34,2.16,34.086,16.668,0.006,0.005
1770643092286,2026-02-09T13:18:12.286458+00:00,1331.09,678.98,31441.34,2.16,34.086,16.668,0.006,0.005
1770643093288,2026-02-09T13:18:13.288938+00:00,1362.05,679.48,31441.34,2.16,34.086,16.668,0.006,0.005
1770643094290,2026-02-09T13:18:14.290594+00:00,1355.02,680.14,31441.34,2.16,34.086,16.668,0.006,0.005
1770643095292,2026-02-09T13:18:15.292391+00:00,1348.96,679.22,31441.34,2.16,34.086,16.668,0.006,0.005
1770643096295,2026-02-09T13:18:16.295126+00:00,1321.91,679.72,31441.34,2.16,34.086,16.668,0.006,0.005
1770643097297,2026-02-09T13:18:17.297066+00:00,1346.76,679.39,31441.34,2.16,34.086,16.758,0.006,0.005
1770643098299,2026-02-09T13:18:18.299823+00:00,1333.4,680.77,31441.34,2.17,34.086,16.758,0.006,0.005
1770643099300,2026-02-09T13:18:19.300896+00:00,1344.19,680.99,31441.34,2.17,34.086,16.758,0.006,0.005
1770643100302,2026-02-09T13:18:20.302717+00:00,1331.05,679.52,31441.34,2.16,34.086,16.758,0.006,0.005
1770643101304,2026-02-09T13:18:21.304390+00:00,1316.72,679.75,31441.34,2.16,34.086,16.758,0.006,0.005
1770643102307,2026-02-09T13:18:22.307056+00:00,1345.64,679.54,31441.34,2.16,34.086,16.758,0.006,0.005
1770643103310,2026-02-09T13:18:23.310825+00:00,1385.07,680.38,31441.34,2.16,34.086,16.758,0.006,0.005
1770643104312,2026-02-09T13:18:24.312845+00:00,1340.37,679.82,31441.34,2.16,34.086,16.758,0.006,0.005
1770643105314,2026-02-09T13:18:25.314179+00:00,1353.52,679.91,31441.34,2.16,34.086,16.758,0.006,0.005
1770643106316,2026-02-09T13:18:26.316903+00:00,869.42,679.71,31441.34,2.16,34.086,16.758,0.006,0.005
