timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771440392832,2026-02-18T18:46:32.832773+00:00,0.0,1462.09,31441.34,4.65,1013.141,182.059,0.079,0.111
1771440393835,2026-02-18T18:46:33.835911+00:00,790.87,1522.13,31441.34,4.84,1013.141,182.059,0.079,0.111
1771440394837,2026-02-18T18:46:34.837560+00:00,991.76,1472.21,31441.34,4.68,1013.141,182.059,0.079,0.111
1771440395839,2026-02-18T18:46:35.839531+00:00,996.4,1485.9,31441.34,4.73,1013.141,182.059,0.079,0.111
1771440396841,2026-02-18T18:46:36.841424+00:00,994.08,1551.4,31441.34,4.93,1013.141,182.059,0.079,0.111
1771440397843,2026-02-18T18:46:37.843235+00:00,987.81,1473.7,31441.34,4.69,1013.141,182.059,0.079,0.111
1771440398845,2026-02-18T18:46:38.845772+00:00,988.94,1450.54,31441.34,4.61,1013.141,182.059,0.079,0.111
1771440399847,2026-02-18T18:46:39.847515+00:00,991.91,1481.83,31441.34,4.71,1013.141,182.059,0.079,0.111
1771440400850,2026-02-18T18:46:40.850169+00:00,995.15,1465.2,31441.34,4.66,1013.141,182.059,0.079,0.111
1771440401851,2026-02-18T18:46:41.851906+00:00,989.92,1472.31,31441.34,4.68,1013.141,182.059,0.079,0.111
1771440402853,2026-02-18T18:46:42.853837+00:00,993.06,1492.95,31441.34,4.75,1013.141,182.059,0.079,0.111
1771440403856,2026-02-18T18:46:43.856233+00:00,989.04,1473.16,31441.34,4.69,1013.141,182.059,0.079,0.111
1771440404858,2026-02-18T18:46:44.858111+00:00,991.76,1473.15,31441.34,4.69,1013.141,182.059,0.079,0.111
1771440405860,2026-02-18T18:46:45.860370+00:00,995.44,1476.84,31441.34,4.7,1013.141,182.059,0.079,0.111
1771440406863,2026-02-18T18:46:46.863129+00:00,987.15,1465.17,31441.34,4.66,1013.141,182.059,0.079,0.111
1771440407865,2026-02-18T18:46:47.865018+00:00,994.6,1555.65,31441.34,4.95,1013.141,182.059,0.079,0.111
1771440408866,2026-02-18T18:46:48.866986+00:00,989.15,1466.25,31441.34,4.66,1013.141,182.059,0.079,0.111
1771440409871,2026-02-18T18:46:49.871088+00:00,991.83,1486.53,31441.34,4.73,1013.141,182.105,0.079,0.111
1771440410873,2026-02-18T18:46:50.873611+00:00,988.25,1476.12,31441.34,4.69,1013.141,182.105,0.079,0.111
1771440411876,2026-02-18T18:46:51.876361+00:00,990.7,1468.44,31441.34,4.67,1013.141,182.105,0.079,0.111
1771440412878,2026-02-18T18:46:52.878892+00:00,993.43,1477.55,31441.34,4.7,1013.141,182.105,0.079,0.111
1771440413880,2026-02-18T18:46:53.880962+00:00,985.84,1558.78,31441.34,4.96,1013.141,182.105,0.079,0.111
1771440414884,2026-02-18T18:46:54.884158+00:00,972.74,1560.93,31441.34,4.96,1013.141,182.105,0.079,0.111
1771440415887,2026-02-18T18:46:55.887263+00:00,977.5,1514.6,31441.34,4.82,1013.141,182.105,0.079,0.111
1771440416890,2026-02-18T18:46:56.890130+00:00,991.18,1447.81,31441.34,4.6,1013.141,182.105,0.079,0.111
1771440417891,2026-02-18T18:46:57.891827+00:00,985.29,1469.93,31441.34,4.68,1013.141,182.105,0.079,0.111
1771440418894,2026-02-18T18:46:58.894633+00:00,987.85,1472.18,31441.34,4.68,1013.141,182.105,0.079,0.111
1771440419899,2026-02-18T18:46:59.899162+00:00,993.41,1479.33,31441.34,4.71,1013.141,182.113,0.079,0.111
1771440420900,2026-02-18T18:47:00.900302+00:00,997.55,1545.21,31441.34,4.91,1013.141,182.113,0.079,0.111
1771440421901,2026-02-18T18:47:01.901986+00:00,988.71,1479.57,31441.34,4.71,1013.141,182.113,0.079,0.111
1771440422905,2026-02-18T18:47:02.905190+00:00,991.92,1465.91,31441.34,4.66,1013.141,182.113,0.079,0.111
1771440423908,2026-02-18T18:47:03.908096+00:00,984.72,1478.84,31441.34,4.7,1013.141,182.113,0.079,0.111
1771440424909,2026-02-18T18:47:04.909609+00:00,988.81,1476.7,31441.34,4.7,1013.141,182.113,0.079,0.111
1771440425910,2026-02-18T18:47:05.910952+00:00,990.72,1551.04,31441.34,4.93,1013.141,182.113,0.079,0.111
1771440426912,2026-02-18T18:47:06.912234+00:00,990.81,1542.79,31441.34,4.91,1013.141,182.113,0.079,0.111
1771440427915,2026-02-18T18:47:07.915126+00:00,993.15,1480.77,31441.34,4.71,1013.141,182.113,0.079,0.111
1771440428917,2026-02-18T18:47:08.917306+00:00,991.94,1481.72,31441.34,4.71,1013.141,182.113,0.079,0.111
1771440429918,2026-02-18T18:47:09.918996+00:00,993.49,1460.58,31441.34,4.65,1013.141,182.113,0.079,0.111
1771440430921,2026-02-18T18:47:10.921022+00:00,989.71,1463.34,31441.34,4.65,1013.141,182.113,0.079,0.111
1771440431922,2026-02-18T18:47:11.922490+00:00,988.75,1559.04,31441.34,4.96,1013.141,182.113,0.079,0.111
1771440432925,2026-02-18T18:47:12.925132+00:00,988.42,1478.52,31441.34,4.7,1013.141,182.113,0.079,0.111
1771440433926,2026-02-18T18:47:13.926672+00:00,985.23,1484.55,31441.34,4.72,1013.141,182.113,0.079,0.111
1771440434929,2026-02-18T18:47:14.929387+00:00,992.18,1564.16,31441.34,4.97,1013.141,182.113,0.079,0.111
1771440435931,2026-02-18T18:47:15.931903+00:00,107.85,1483.61,31441.34,4.72,1013.141,182.113,0.079,0.111
