timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771438329176,2026-02-18T18:12:09.176671+00:00,0.0,728.41,31441.34,2.32,4.5,0.188,0.014,0.016
1771438330178,2026-02-18T18:12:10.178843+00:00,671.33,722.61,31441.34,2.3,4.5,0.188,0.014,0.016
1771438331180,2026-02-18T18:12:11.180987+00:00,829.38,694.95,31441.34,2.21,4.5,0.188,0.014,0.016
1771438332183,2026-02-18T18:12:12.183000+00:00,850.79,721.18,31441.34,2.29,4.5,0.188,0.014,0.016
1771438333184,2026-02-18T18:12:13.184929+00:00,882.54,729.98,31441.34,2.32,4.5,0.188,0.014,0.016
1771438334187,2026-02-18T18:12:14.187907+00:00,863.78,729.84,31441.34,2.32,4.5,0.188,0.014,0.016
1771438335190,2026-02-18T18:12:15.190308+00:00,824.75,731.07,31441.34,2.33,4.5,0.199,0.014,0.016
1771438336193,2026-02-18T18:12:16.193169+00:00,833.8,720.9,31441.34,2.29,4.5,0.199,0.014,0.016
1771438337194,2026-02-18T18:12:17.194794+00:00,733.34,722.1,31441.34,2.3,4.5,0.199,0.014,0.016
1771438338196,2026-02-18T18:12:18.196160+00:00,791.63,722.79,31441.34,2.3,4.5,0.199,0.014,0.016
1771438339198,2026-02-18T18:12:19.198138+00:00,804.42,721.21,31441.34,2.29,4.5,0.199,0.014,0.016
1771438340199,2026-02-18T18:12:20.199924+00:00,834.31,722.4,31441.34,2.3,4.5,0.199,0.014,0.016
1771438341202,2026-02-18T18:12:21.202073+00:00,856.73,731.62,31441.34,2.33,4.5,0.199,0.014,0.016
1771438342204,2026-02-18T18:12:22.204029+00:00,821.09,721.94,31441.34,2.3,4.5,0.199,0.014,0.016
1771438343205,2026-02-18T18:12:23.205508+00:00,840.16,731.48,31441.34,2.33,4.5,0.199,0.014,0.016
1771438344207,2026-02-18T18:12:24.207374+00:00,954.93,730.29,31441.34,2.32,4.5,0.199,0.014,0.016
1771438345212,2026-02-18T18:12:25.212077+00:00,822.45,729.86,31441.34,2.32,4.5,0.207,0.014,0.016
1771438346214,2026-02-18T18:12:26.214608+00:00,777.43,694.25,31441.34,2.21,4.5,0.207,0.014,0.016
1771438347215,2026-02-18T18:12:27.215860+00:00,733.77,721.64,31441.34,2.3,4.5,0.207,0.014,0.016
1771438348218,2026-02-18T18:12:28.218293+00:00,811.62,721.86,31441.34,2.3,4.5,0.207,0.014,0.016
1771438349221,2026-02-18T18:12:29.221797+00:00,841.1,721.96,31441.34,2.3,4.5,0.207,0.014,0.016
1771438350222,2026-02-18T18:12:30.222892+00:00,827.62,732.12,31441.34,2.33,4.5,0.207,0.014,0.016
1771438351225,2026-02-18T18:12:31.225103+00:00,840.14,731.86,31441.34,2.33,4.5,0.207,0.014,0.016
1771438352226,2026-02-18T18:12:32.226143+00:00,821.84,722.92,31441.34,2.3,4.5,0.207,0.014,0.016
1771438353228,2026-02-18T18:12:33.228689+00:00,885.35,722.22,31441.34,2.3,4.5,0.207,0.014,0.016
1771438354230,2026-02-18T18:12:34.230707+00:00,888.25,731.83,31441.34,2.33,4.5,0.207,0.014,0.016
1771438355233,2026-02-18T18:12:35.233112+00:00,853.62,694.15,31441.34,2.21,4.5,0.207,0.014,0.016
1771438356234,2026-02-18T18:12:36.234980+00:00,801.96,729.59,31441.34,2.32,4.5,0.207,0.014,0.016
1771438357238,2026-02-18T18:12:37.238475+00:00,258.44,692.15,31441.34,2.2,4.5,0.207,0.014,0.016
