timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770232121809,2026-02-04T19:08:41.809941+00:00,0.03,3652.79,128676.03,2.84,0.145,0.0,0.018,0.021
1770232122811,2026-02-04T19:08:42.811821+00:00,660.77,3672.74,128676.03,2.85,0.145,0.0,0.018,0.021
1770232123813,2026-02-04T19:08:43.813468+00:00,1003.24,3672.62,128676.03,2.85,0.145,0.0,0.018,0.021
1770232124815,2026-02-04T19:08:44.815260+00:00,910.07,3671.8,128676.03,2.85,0.145,0.0,0.018,0.021
1770232125818,2026-02-04T19:08:45.818630+00:00,888.16,3686.48,128676.03,2.86,0.145,0.0,0.018,0.021
1770232126821,2026-02-04T19:08:46.821201+00:00,922.46,3670.7,128676.03,2.85,0.145,0.0,0.018,0.021
1770232127823,2026-02-04T19:08:47.823250+00:00,912.8,3657.31,128676.03,2.84,0.145,0.0,0.018,0.021
1770232128826,2026-02-04T19:08:48.826169+00:00,964.06,3670.9,128676.03,2.85,0.145,0.0,0.018,0.021
1770232129828,2026-02-04T19:08:49.828089+00:00,915.25,3673.68,128676.03,2.85,0.145,0.0,0.018,0.021
1770232130830,2026-02-04T19:08:50.830464+00:00,920.64,3678.01,128676.03,2.86,0.145,0.0,0.018,0.021
1770232131832,2026-02-04T19:08:51.832192+00:00,959.9,3676.84,128676.03,2.86,0.145,0.0,0.018,0.021
1770232132835,2026-02-04T19:08:52.835285+00:00,893.18,3672.71,128676.03,2.85,0.145,0.0,0.018,0.021
1770232133837,2026-02-04T19:08:53.837118+00:00,511.63,3682.69,128676.03,2.86,0.145,0.0,0.018,0.021
1770232134840,2026-02-04T19:08:54.840981+00:00,890.97,3654.69,128676.03,2.84,0.145,0.0,0.018,0.021
1770232135843,2026-02-04T19:08:55.843487+00:00,742.17,3654.65,128676.03,2.84,0.145,0.0,0.018,0.021
1770232136845,2026-02-04T19:08:56.845660+00:00,877.47,3675.54,128676.03,2.86,0.145,0.0,0.018,0.021
1770232137848,2026-02-04T19:08:57.848459+00:00,923.32,3685.95,128676.03,2.86,0.145,0.0,0.018,0.021
1770232138850,2026-02-04T19:08:58.850976+00:00,865.16,3661.41,128676.03,2.85,0.145,0.0,0.018,0.021
1770232139853,2026-02-04T19:08:59.853043+00:00,935.69,3671.98,128676.03,2.85,0.145,0.0,0.018,0.021
1770232140855,2026-02-04T19:09:00.855756+00:00,875.52,3683.34,128676.03,2.86,0.145,0.0,0.018,0.021
1770232141857,2026-02-04T19:09:01.857717+00:00,723.45,3656.84,128676.03,2.84,0.145,0.0,0.018,0.021
1770232142860,2026-02-04T19:09:02.860495+00:00,1018.12,3675.68,128676.03,2.86,0.145,0.0,0.018,0.021
1770232143862,2026-02-04T19:09:03.862314+00:00,1121.31,3709.5,128676.03,2.88,0.145,0.0,0.018,0.021
1770232144864,2026-02-04T19:09:04.864493+00:00,1078.35,3689.07,128676.03,2.87,0.145,0.0,0.018,0.021
1770232145866,2026-02-04T19:09:05.866372+00:00,868.0,3688.23,128676.03,2.87,0.145,0.0,0.018,0.021
1770232146869,2026-02-04T19:09:06.869045+00:00,793.49,3655.34,128676.03,2.84,0.145,0.0,0.018,0.021
1770232147871,2026-02-04T19:09:07.871354+00:00,707.89,3683.68,128676.03,2.86,0.145,0.0,0.018,0.021
1770232148873,2026-02-04T19:09:08.873112+00:00,881.9,3694.17,128676.03,2.87,0.145,0.0,0.018,0.021
1770232149875,2026-02-04T19:09:09.875935+00:00,838.09,3672.86,128676.03,2.85,0.145,0.0,0.018,0.021
1770232150877,2026-02-04T19:09:10.877556+00:00,906.39,3668.96,128676.03,2.85,0.145,0.0,0.018,0.021
1770232151880,2026-02-04T19:09:11.880187+00:00,893.46,3672.89,128676.03,2.85,0.145,0.0,0.018,0.021
1770232152881,2026-02-04T19:09:12.881957+00:00,920.1,3674.35,128676.03,2.86,0.145,0.0,0.018,0.021
1770232153883,2026-02-04T19:09:13.883877+00:00,1112.51,3686.59,128676.03,2.87,0.145,0.0,0.018,0.021
1770232154886,2026-02-04T19:09:14.886216+00:00,983.44,3654.57,128676.03,2.84,0.145,0.0,0.018,0.021
1770232155888,2026-02-04T19:09:15.888246+00:00,874.32,3683.54,128676.03,2.86,0.145,0.0,0.018,0.021
1770232156891,2026-02-04T19:09:16.891148+00:00,1051.88,3683.62,128676.03,2.86,0.145,0.0,0.018,0.021
1770232157893,2026-02-04T19:09:17.893327+00:00,954.09,3656.87,128676.03,2.84,0.145,0.0,0.018,0.021
1770232158895,2026-02-04T19:09:18.895879+00:00,1049.21,3673.31,128676.03,2.85,0.145,0.0,0.018,0.021
1770232159898,2026-02-04T19:09:19.898156+00:00,899.56,3654.7,128676.03,2.84,0.145,0.0,0.018,0.021
1770232160901,2026-02-04T19:09:20.901268+00:00,935.26,3676.17,128676.03,2.86,0.145,0.0,0.018,0.021
1770232161903,2026-02-04T19:09:21.903326+00:00,838.04,3664.08,128676.03,2.85,0.145,0.0,0.018,0.021
1770232162906,2026-02-04T19:09:22.906136+00:00,209.6,3663.37,128676.03,2.85,0.145,0.0,0.018,0.022
