timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770232950149,2026-02-04T19:22:30.149791+00:00,0.03,3661.88,128676.03,2.85,0.145,0.0,0.045,0.061
1770232951152,2026-02-04T19:22:31.152226+00:00,654.92,3683.0,128676.03,2.86,0.145,0.0,0.045,0.061
1770232952154,2026-02-04T19:22:32.154466+00:00,1016.27,3669.03,128676.03,2.85,0.145,0.0,0.045,0.061
1770232953157,2026-02-04T19:22:33.157579+00:00,889.77,3704.02,128676.03,2.88,0.145,0.0,0.045,0.061
1770232954159,2026-02-04T19:22:34.159809+00:00,907.41,3673.62,128676.03,2.85,0.145,0.0,0.045,0.061
1770232955162,2026-02-04T19:22:35.162742+00:00,913.95,3683.35,128676.03,2.86,0.145,0.0,0.045,0.061
1770232956164,2026-02-04T19:22:36.164688+00:00,858.53,3666.85,128676.03,2.85,0.145,0.0,0.045,0.061
1770232957166,2026-02-04T19:22:37.166856+00:00,992.77,3689.14,128676.03,2.87,0.145,0.0,0.045,0.061
1770232958168,2026-02-04T19:22:38.168555+00:00,869.32,3689.09,128676.03,2.87,0.145,0.0,0.045,0.061
1770232959171,2026-02-04T19:22:39.171674+00:00,960.84,3687.53,128676.03,2.87,0.145,0.0,0.045,0.061
1770232960173,2026-02-04T19:22:40.173888+00:00,892.71,3701.66,128676.03,2.88,0.145,0.0,0.045,0.061
1770232961176,2026-02-04T19:22:41.176258+00:00,935.38,3664.67,128676.03,2.85,0.145,0.0,0.045,0.061
1770232962178,2026-02-04T19:22:42.178138+00:00,564.38,3695.91,128676.03,2.87,0.145,0.0,0.045,0.061
1770232963180,2026-02-04T19:22:43.180636+00:00,838.94,3711.41,128676.03,2.88,0.145,0.0,0.045,0.061
1770232964182,2026-02-04T19:22:44.182902+00:00,717.99,3675.75,128676.03,2.86,0.145,0.0,0.045,0.061
1770232965185,2026-02-04T19:22:45.185253+00:00,853.51,3686.09,128676.03,2.86,0.145,0.0,0.045,0.061
1770232966187,2026-02-04T19:22:46.187911+00:00,909.86,3723.06,128676.03,2.89,0.145,0.0,0.045,0.061
1770232967191,2026-02-04T19:22:47.191056+00:00,869.76,3684.89,128676.03,2.86,0.145,0.0,0.045,0.061
1770232968193,2026-02-04T19:22:48.193819+00:00,918.41,3697.95,128676.03,2.87,0.145,0.0,0.045,0.061
1770232969196,2026-02-04T19:22:49.196743+00:00,1001.97,3712.61,128676.03,2.89,0.145,0.0,0.045,0.061
1770232970199,2026-02-04T19:22:50.199398+00:00,672.76,3681.39,128676.03,2.86,0.145,0.0,0.045,0.061
1770232971201,2026-02-04T19:22:51.201944+00:00,900.67,3685.35,128676.03,2.86,0.145,0.0,0.045,0.061
1770232972204,2026-02-04T19:22:52.204153+00:00,1124.47,3680.32,128676.03,2.86,0.145,0.0,0.045,0.061
1770232973206,2026-02-04T19:22:53.206136+00:00,1164.22,3684.71,128676.03,2.86,0.145,0.0,0.045,0.061
1770232974208,2026-02-04T19:22:54.208338+00:00,878.47,3685.76,128676.03,2.86,0.145,0.0,0.045,0.061
1770232975210,2026-02-04T19:22:55.210625+00:00,846.89,3667.27,128676.03,2.85,0.145,0.0,0.045,0.061
1770232976213,2026-02-04T19:22:56.213837+00:00,681.34,3688.51,128676.03,2.87,0.145,0.0,0.045,0.061
1770232977216,2026-02-04T19:22:57.216533+00:00,860.34,3710.3,128676.03,2.88,0.145,0.0,0.045,0.061
1770232978218,2026-02-04T19:22:58.218449+00:00,829.98,3665.35,128676.03,2.85,0.145,0.0,0.045,0.061
1770232979220,2026-02-04T19:22:59.220851+00:00,943.93,3670.62,128676.03,2.85,0.145,0.0,0.045,0.061
1770232980223,2026-02-04T19:23:00.223284+00:00,851.46,3687.87,128676.03,2.87,0.145,0.0,0.045,0.061
1770232981225,2026-02-04T19:23:01.225501+00:00,930.93,3688.0,128676.03,2.87,0.145,0.0,0.045,0.061
1770232982227,2026-02-04T19:23:02.227683+00:00,1045.85,3689.47,128676.03,2.87,0.145,0.0,0.045,0.061
1770232983229,2026-02-04T19:23:03.229240+00:00,1041.62,3677.41,128676.03,2.86,0.145,0.0,0.045,0.061
1770232984231,2026-02-04T19:23:04.231735+00:00,842.29,3681.0,128676.03,2.86,0.145,0.0,0.045,0.061
1770232985234,2026-02-04T19:23:05.234084+00:00,1067.66,3682.6,128676.03,2.86,0.145,0.0,0.045,0.061
1770232986236,2026-02-04T19:23:06.236252+00:00,1029.33,3710.67,128676.03,2.88,0.145,0.0,0.045,0.061
1770232987238,2026-02-04T19:23:07.238629+00:00,1008.01,3687.43,128676.03,2.87,0.145,0.0,0.045,0.061
1770232988240,2026-02-04T19:23:08.240196+00:00,897.14,3686.19,128676.03,2.86,0.145,0.0,0.045,0.061
1770232989243,2026-02-04T19:23:09.243002+00:00,919.64,3683.67,128676.03,2.86,0.145,0.0,0.045,0.061
1770232990245,2026-02-04T19:23:10.245627+00:00,885.54,3666.57,128676.03,2.85,0.145,0.0,0.045,0.061
1770232991247,2026-02-04T19:23:11.247584+00:00,312.94,3664.27,128676.03,2.85,0.145,0.0,0.045,0.061
