timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770650110229,2026-02-09T15:15:10.229402+00:00,0.0,551.79,128676.03,0.43,0.0,0.02,0.055,0.075
1770650111231,2026-02-09T15:15:11.231865+00:00,616.0,556.29,128676.03,0.43,0.0,0.02,0.055,0.075
1770650112234,2026-02-09T15:15:12.234256+00:00,1054.38,554.29,128676.03,0.43,0.0,0.02,0.055,0.075
1770650113236,2026-02-09T15:15:13.236517+00:00,810.1,554.01,128676.03,0.43,0.0,0.02,0.055,0.075
1770650114239,2026-02-09T15:15:14.239396+00:00,937.9,558.41,128676.03,0.43,0.0,0.02,0.055,0.075
1770650115242,2026-02-09T15:15:15.242800+00:00,813.3,540.14,128676.03,0.42,0.0,0.02,0.055,0.075
1770650116244,2026-02-09T15:15:16.244872+00:00,943.61,512.42,128676.03,0.4,0.0,0.02,0.055,0.075
1770650117247,2026-02-09T15:15:17.247317+00:00,935.97,565.19,128676.03,0.44,0.0,0.02,0.055,0.075
1770650118249,2026-02-09T15:15:18.249776+00:00,828.89,549.25,128676.03,0.43,0.0,0.02,0.055,0.075
1770650119252,2026-02-09T15:15:19.252012+00:00,970.0,558.64,128676.03,0.43,0.0,0.02,0.055,0.075
1770650120254,2026-02-09T15:15:20.254105+00:00,877.15,542.25,128676.03,0.42,0.0,0.02,0.055,0.075
1770650121257,2026-02-09T15:15:21.257074+00:00,925.97,539.1,128676.03,0.42,0.0,0.02,0.055,0.075
1770650122260,2026-02-09T15:15:22.260194+00:00,858.78,562.81,128676.03,0.44,0.0,0.02,0.055,0.075
1770650123262,2026-02-09T15:15:23.262218+00:00,941.06,561.57,128676.03,0.44,0.0,0.02,0.055,0.075
1770650124264,2026-02-09T15:15:24.264948+00:00,864.16,554.43,128676.03,0.43,0.0,0.02,0.055,0.075
1770650125267,2026-02-09T15:15:25.267991+00:00,473.97,553.62,128676.03,0.43,0.0,0.02,0.055,0.075
1770650126270,2026-02-09T15:15:26.270633+00:00,869.61,553.41,128676.03,0.43,0.0,0.02,0.055,0.075
1770650127272,2026-02-09T15:15:27.272913+00:00,817.82,554.04,128676.03,0.43,0.0,0.02,0.055,0.075
1770650128275,2026-02-09T15:15:28.275901+00:00,729.69,557.43,128676.03,0.43,0.0,0.02,0.055,0.075
1770650129278,2026-02-09T15:15:29.278226+00:00,871.76,568.11,128676.03,0.44,0.0,0.02,0.055,0.075
1770650130280,2026-02-09T15:15:30.280834+00:00,888.29,558.88,128676.03,0.43,0.0,0.02,0.055,0.075
1770650131284,2026-02-09T15:15:31.284811+00:00,828.01,558.97,128676.03,0.43,0.0,0.02,0.055,0.075
1770650132287,2026-02-09T15:15:32.287251+00:00,913.18,540.36,128676.03,0.42,0.0,0.02,0.055,0.075
1770650133289,2026-02-09T15:15:33.289978+00:00,940.83,554.05,128676.03,0.43,0.0,0.02,0.055,0.075
1770650134291,2026-02-09T15:15:34.291886+00:00,860.66,553.81,128676.03,0.43,0.0,0.02,0.055,0.075
1770650135294,2026-02-09T15:15:35.294492+00:00,696.85,553.16,128676.03,0.43,0.0,0.02,0.055,0.075
1770650136297,2026-02-09T15:15:36.297278+00:00,763.14,552.38,128676.03,0.43,0.0,0.02,0.055,0.075
1770650137299,2026-02-09T15:15:37.299344+00:00,1014.8,565.0,128676.03,0.44,0.0,0.02,0.055,0.075
1770650138301,2026-02-09T15:15:38.301567+00:00,1038.41,540.08,128676.03,0.42,0.0,0.02,0.055,0.075
1770650139304,2026-02-09T15:15:39.304616+00:00,1125.88,539.1,128676.03,0.42,0.0,0.02,0.055,0.075
1770650140306,2026-02-09T15:15:40.306979+00:00,870.53,553.25,128676.03,0.43,0.0,0.02,0.055,0.075
1770650141309,2026-02-09T15:15:41.309054+00:00,880.76,554.38,128676.03,0.43,0.0,0.02,0.055,0.075
1770650142311,2026-02-09T15:15:42.311837+00:00,752.47,612.4,128676.03,0.48,0.0,0.02,0.055,0.075
1770650143314,2026-02-09T15:15:43.314067+00:00,755.94,558.65,128676.03,0.43,0.0,0.02,0.055,0.075
1770650144316,2026-02-09T15:15:44.316463+00:00,849.37,558.31,128676.03,0.43,0.0,0.02,0.055,0.075
1770650145319,2026-02-09T15:15:45.319924+00:00,882.04,557.34,128676.03,0.43,0.0,0.02,0.055,0.075
1770650146321,2026-02-09T15:15:46.321863+00:00,800.7,558.32,128676.03,0.43,0.0,0.02,0.055,0.075
1770650147324,2026-02-09T15:15:47.324461+00:00,888.07,557.86,128676.03,0.43,0.0,0.02,0.055,0.075
1770650148327,2026-02-09T15:15:48.327233+00:00,847.23,540.4,128676.03,0.42,0.0,0.02,0.055,0.075
1770650149329,2026-02-09T15:15:49.329175+00:00,921.75,552.62,128676.03,0.43,0.0,0.02,0.055,0.075
1770650150332,2026-02-09T15:15:50.332269+00:00,932.53,553.57,128676.03,0.43,0.0,0.02,0.055,0.075
1770650151334,2026-02-09T15:15:51.334534+00:00,1114.1,554.05,128676.03,0.43,0.0,0.02,0.055,0.075
1770650152337,2026-02-09T15:15:52.337316+00:00,878.79,547.48,128676.03,0.43,0.0,0.02,0.055,0.075
1770650153340,2026-02-09T15:15:53.340082+00:00,825.75,548.5,128676.03,0.43,0.0,0.02,0.055,0.075
1770650154342,2026-02-09T15:15:54.342399+00:00,931.38,559.29,128676.03,0.43,0.0,0.02,0.055,0.075
