timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770649152702,2026-02-09T14:59:12.702639+00:00,0.0,570.83,128676.03,0.44,0.0,0.02,0.043,0.058
1770649153705,2026-02-09T14:59:13.705308+00:00,740.97,570.52,128676.03,0.44,0.0,0.02,0.043,0.058
1770649154708,2026-02-09T14:59:14.708331+00:00,926.97,570.39,128676.03,0.44,0.0,0.02,0.043,0.058
1770649155710,2026-02-09T14:59:15.710172+00:00,934.97,570.39,128676.03,0.44,0.0,0.02,0.043,0.058
1770649156713,2026-02-09T14:59:16.713340+00:00,933.15,570.27,128676.03,0.44,0.0,0.02,0.043,0.058
1770649157716,2026-02-09T14:59:17.716488+00:00,935.56,570.27,128676.03,0.44,0.0,0.02,0.043,0.058
1770649158719,2026-02-09T14:59:18.719541+00:00,936.86,570.27,128676.03,0.44,0.0,0.02,0.043,0.058
1770649159722,2026-02-09T14:59:19.722737+00:00,929.35,570.07,128676.03,0.44,0.0,0.02,0.043,0.058
1770649160725,2026-02-09T14:59:20.725616+00:00,927.77,570.01,128676.03,0.44,0.0,0.02,0.043,0.058
1770649161728,2026-02-09T14:59:21.728520+00:00,937.37,570.01,128676.03,0.44,0.0,0.02,0.043,0.058
1770649162730,2026-02-09T14:59:22.730951+00:00,942.86,570.01,128676.03,0.44,0.0,0.02,0.043,0.058
1770649163733,2026-02-09T14:59:23.733907+00:00,931.01,570.01,128676.03,0.44,0.0,0.02,0.043,0.058
1770649164736,2026-02-09T14:59:24.736249+00:00,935.05,570.01,128676.03,0.44,0.0,0.02,0.043,0.058
1770649165739,2026-02-09T14:59:25.739138+00:00,929.72,570.01,128676.03,0.44,0.0,0.02,0.043,0.058
1770649166742,2026-02-09T14:59:26.742644+00:00,927.71,570.01,128676.03,0.44,0.0,0.02,0.043,0.058
1770649167746,2026-02-09T14:59:27.746011+00:00,934.4,570.01,128676.03,0.44,0.0,0.02,0.043,0.058
1770649168747,2026-02-09T14:59:28.747994+00:00,938.97,570.01,128676.03,0.44,0.0,0.02,0.043,0.058
1770649169750,2026-02-09T14:59:29.750239+00:00,933.41,570.01,128676.03,0.44,0.0,0.02,0.043,0.058
1770649170753,2026-02-09T14:59:30.753279+00:00,938.58,570.26,128676.03,0.44,0.0,0.02,0.043,0.058
1770649171756,2026-02-09T14:59:31.756203+00:00,931.69,570.16,128676.03,0.44,0.0,0.02,0.043,0.058
1770649172759,2026-02-09T14:59:32.759233+00:00,930.42,570.29,128676.03,0.44,0.0,0.02,0.043,0.058
1770649173761,2026-02-09T14:59:33.761456+00:00,941.72,570.17,128676.03,0.44,0.0,0.02,0.043,0.058
1770649174764,2026-02-09T14:59:34.764176+00:00,925.83,570.17,128676.03,0.44,0.0,0.02,0.043,0.058
1770649175766,2026-02-09T14:59:35.766740+00:00,934.12,570.3,128676.03,0.44,0.0,0.02,0.043,0.058
1770649176768,2026-02-09T14:59:36.768837+00:00,928.69,570.42,128676.03,0.44,0.0,0.02,0.043,0.058
1770649177771,2026-02-09T14:59:37.771450+00:00,937.59,570.3,128676.03,0.44,0.0,0.02,0.043,0.058
1770649178774,2026-02-09T14:59:38.774957+00:00,932.51,570.3,128676.03,0.44,0.0,0.02,0.043,0.058
1770649179777,2026-02-09T14:59:39.777453+00:00,932.39,570.3,128676.03,0.44,0.0,0.02,0.043,0.058
1770649180780,2026-02-09T14:59:40.780644+00:00,939.66,570.3,128676.03,0.44,0.0,0.02,0.043,0.058
1770649181782,2026-02-09T14:59:41.782850+00:00,926.65,570.3,128676.03,0.44,0.0,0.02,0.043,0.058
1770649182786,2026-02-09T14:59:42.786024+00:00,930.02,570.3,128676.03,0.44,0.0,0.02,0.043,0.058
1770649183788,2026-02-09T14:59:43.788938+00:00,915.28,570.09,128676.03,0.44,0.0,0.02,0.043,0.058
1770649184792,2026-02-09T14:59:44.792488+00:00,933.87,569.98,128676.03,0.44,0.0,0.02,0.043,0.058
1770649185794,2026-02-09T14:59:45.794718+00:00,939.81,570.11,128676.03,0.44,0.0,0.02,0.043,0.058
1770649186796,2026-02-09T14:59:46.796832+00:00,938.76,570.11,128676.03,0.44,0.0,0.02,0.043,0.058
1770649187800,2026-02-09T14:59:47.800090+00:00,937.45,570.12,128676.03,0.44,0.0,0.02,0.043,0.058
1770649188802,2026-02-09T14:59:48.802638+00:00,928.71,570.12,128676.03,0.44,0.0,0.02,0.043,0.058
1770649189805,2026-02-09T14:59:49.805469+00:00,927.04,570.12,128676.03,0.44,0.0,0.02,0.043,0.058
1770649190807,2026-02-09T14:59:50.807750+00:00,932.62,570.12,128676.03,0.44,0.0,0.02,0.043,0.058
1770649191811,2026-02-09T14:59:51.811199+00:00,932.87,570.12,128676.03,0.44,0.0,0.02,0.043,0.058
1770649192813,2026-02-09T14:59:52.813751+00:00,935.41,570.25,128676.03,0.44,0.0,0.02,0.043,0.058
1770649193816,2026-02-09T14:59:53.816231+00:00,930.59,570.14,128676.03,0.44,0.0,0.02,0.043,0.058
1770649194818,2026-02-09T14:59:54.818600+00:00,933.44,570.15,128676.03,0.44,0.0,0.02,0.043,0.058
1770649195822,2026-02-09T14:59:55.822447+00:00,933.73,570.15,128676.03,0.44,0.0,0.02,0.043,0.058
1770649196824,2026-02-09T14:59:56.824858+00:00,934.97,570.16,128676.03,0.44,0.0,0.02,0.043,0.058
1770649197827,2026-02-09T14:59:57.827867+00:00,930.83,570.16,128676.03,0.44,0.0,0.02,0.043,0.058
1770649198830,2026-02-09T14:59:58.830626+00:00,941.19,570.16,128676.03,0.44,0.0,0.02,0.043,0.058
1770649199833,2026-02-09T14:59:59.833102+00:00,932.81,570.18,128676.03,0.44,0.0,0.02,0.043,0.058
1770649200836,2026-02-09T15:00:00.836507+00:00,936.92,570.18,128676.03,0.44,0.0,0.02,0.043,0.058
1770649201839,2026-02-09T15:00:01.839422+00:00,934.4,570.18,128676.03,0.44,0.0,0.02,0.043,0.058
1770649202841,2026-02-09T15:00:02.841973+00:00,924.67,570.3,128676.03,0.44,0.0,0.02,0.043,0.058
1770649203845,2026-02-09T15:00:03.845649+00:00,935.78,570.3,128676.03,0.44,0.0,0.02,0.043,0.058
1770649204848,2026-02-09T15:00:04.848413+00:00,929.89,570.19,128676.03,0.44,0.0,0.02,0.043,0.058
1770649205851,2026-02-09T15:00:05.851254+00:00,928.49,570.44,128676.03,0.44,0.0,0.02,0.043,0.058
1770649206853,2026-02-09T15:00:06.853824+00:00,938.55,570.33,128676.03,0.44,0.0,0.02,0.043,0.058
