timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770234402689,2026-02-04T19:46:42.689306+00:00,0.0,405.1,128676.03,0.31,0.0,0.008,0.012,0.013
1770234403692,2026-02-04T19:46:43.692467+00:00,739.34,404.96,128676.03,0.31,0.0,0.008,0.012,0.013
1770234404695,2026-02-04T19:46:44.695354+00:00,905.63,404.26,128676.03,0.31,0.0,0.008,0.012,0.013
1770234405697,2026-02-04T19:46:45.697386+00:00,901.14,404.26,128676.03,0.31,0.0,0.008,0.012,0.013
1770234406700,2026-02-04T19:46:46.700008+00:00,916.09,404.26,128676.03,0.31,0.0,0.008,0.012,0.013
1770234407702,2026-02-04T19:46:47.702882+00:00,896.68,404.38,128676.03,0.31,0.0,0.008,0.012,0.013
1770234408706,2026-02-04T19:46:48.706094+00:00,909.85,404.26,128676.03,0.31,0.0,0.008,0.012,0.013
1770234409709,2026-02-04T19:46:49.709297+00:00,919.64,404.39,128676.03,0.31,0.0,0.008,0.012,0.013
1770234410711,2026-02-04T19:46:50.711673+00:00,919.95,404.39,128676.03,0.31,0.0,0.008,0.012,0.013
1770234411715,2026-02-04T19:46:51.715559+00:00,918.95,404.39,128676.03,0.31,0.0,0.008,0.012,0.013
1770234412718,2026-02-04T19:46:52.718623+00:00,916.98,404.27,128676.03,0.31,0.0,0.008,0.012,0.013
1770234413721,2026-02-04T19:46:53.721769+00:00,923.52,404.27,128676.03,0.31,0.0,0.008,0.012,0.013
1770234414724,2026-02-04T19:46:54.724209+00:00,902.21,404.27,128676.03,0.31,0.0,0.008,0.012,0.013
1770234415726,2026-02-04T19:46:55.726803+00:00,894.55,404.27,128676.03,0.31,0.0,0.008,0.012,0.013
1770234416730,2026-02-04T19:46:56.730370+00:00,913.84,404.4,128676.03,0.31,0.0,0.008,0.012,0.013
1770234417733,2026-02-04T19:46:57.733171+00:00,910.63,404.4,128676.03,0.31,0.0,0.008,0.012,0.013
1770234418736,2026-02-04T19:46:58.736169+00:00,916.71,404.4,128676.03,0.31,0.0,0.008,0.012,0.013
1770234419739,2026-02-04T19:46:59.739309+00:00,907.57,404.4,128676.03,0.31,0.0,0.008,0.012,0.013
1770234420741,2026-02-04T19:47:00.741763+00:00,899.17,404.53,128676.03,0.31,0.0,0.008,0.012,0.013
1770234421744,2026-02-04T19:47:01.744218+00:00,916.71,404.53,128676.03,0.31,0.0,0.008,0.012,0.013
1770234422747,2026-02-04T19:47:02.747087+00:00,922.62,404.54,128676.03,0.31,0.0,0.008,0.012,0.013
1770234423749,2026-02-04T19:47:03.749669+00:00,913.4,404.31,128676.03,0.31,0.0,0.008,0.012,0.013
1770234424752,2026-02-04T19:47:04.752156+00:00,909.32,404.32,128676.03,0.31,0.0,0.008,0.012,0.013
1770234425754,2026-02-04T19:47:05.754791+00:00,909.42,404.33,128676.03,0.31,0.0,0.008,0.012,0.013
1770234426757,2026-02-04T19:47:06.757692+00:00,919.37,404.34,128676.03,0.31,0.0,0.008,0.012,0.013
1770234427760,2026-02-04T19:47:07.760276+00:00,916.19,404.34,128676.03,0.31,0.0,0.008,0.012,0.013
1770234428762,2026-02-04T19:47:08.762650+00:00,920.19,404.46,128676.03,0.31,0.0,0.008,0.012,0.013
1770234429765,2026-02-04T19:47:09.765729+00:00,915.38,404.46,128676.03,0.31,0.0,0.008,0.012,0.013
1770234430768,2026-02-04T19:47:10.768342+00:00,913.38,404.46,128676.03,0.31,0.0,0.008,0.012,0.013
1770234431770,2026-02-04T19:47:11.770510+00:00,921.37,404.59,128676.03,0.31,0.0,0.008,0.012,0.013
1770234432772,2026-02-04T19:47:12.772612+00:00,913.75,404.47,128676.03,0.31,0.0,0.008,0.012,0.013
1770234433775,2026-02-04T19:47:13.775137+00:00,915.36,404.59,128676.03,0.31,0.0,0.008,0.012,0.013
1770234434777,2026-02-04T19:47:14.777387+00:00,908.11,404.72,128676.03,0.31,0.0,0.008,0.012,0.013
1770234435780,2026-02-04T19:47:15.780512+00:00,926.91,404.61,128676.03,0.31,0.0,0.008,0.012,0.013
1770234436782,2026-02-04T19:47:16.782629+00:00,907.75,409.21,128676.03,0.32,0.0,0.008,0.012,0.013
1770234437785,2026-02-04T19:47:17.785777+00:00,910.69,409.13,128676.03,0.32,0.0,0.008,0.012,0.013
1770234438788,2026-02-04T19:47:18.788198+00:00,911.29,409.26,128676.03,0.32,0.0,0.008,0.012,0.013
1770234439791,2026-02-04T19:47:19.791171+00:00,913.7,409.27,128676.03,0.32,0.0,0.008,0.012,0.013
1770234440793,2026-02-04T19:47:20.793638+00:00,906.28,409.23,128676.03,0.32,0.0,0.008,0.012,0.013
1770234441796,2026-02-04T19:47:21.796415+00:00,912.35,409.15,128676.03,0.32,0.0,0.008,0.012,0.013
1770234442798,2026-02-04T19:47:22.798698+00:00,919.32,409.11,128676.03,0.32,0.0,0.008,0.012,0.013
1770234443802,2026-02-04T19:47:23.802481+00:00,907.77,409.23,128676.03,0.32,0.0,0.008,0.012,0.013
1770234444805,2026-02-04T19:47:24.805186+00:00,921.33,409.19,128676.03,0.32,0.0,0.008,0.012,0.013
1770234445806,2026-02-04T19:47:25.806739+00:00,911.99,409.08,128676.03,0.32,0.0,0.008,0.012,0.013
1770234446810,2026-02-04T19:47:26.810032+00:00,918.4,409.18,128676.03,0.32,0.0,0.008,0.012,0.013
1770234447812,2026-02-04T19:47:27.812610+00:00,916.67,409.27,128676.03,0.32,0.0,0.008,0.012,0.013
1770234448814,2026-02-04T19:47:28.814945+00:00,923.22,409.27,128676.03,0.32,0.0,0.008,0.012,0.013
1770234449817,2026-02-04T19:47:29.817961+00:00,899.21,409.28,128676.03,0.32,0.0,0.008,0.012,0.013
1770234450821,2026-02-04T19:47:30.821355+00:00,918.56,409.41,128676.03,0.32,0.0,0.008,0.012,0.013
1770234451823,2026-02-04T19:47:31.823254+00:00,902.61,409.53,128676.03,0.32,0.0,0.008,0.012,0.013
1770234452825,2026-02-04T19:47:32.825877+00:00,906.81,409.66,128676.03,0.32,0.0,0.008,0.012,0.013
1770234453828,2026-02-04T19:47:33.828790+00:00,911.08,409.41,128676.03,0.32,0.0,0.008,0.012,0.013
1770234454831,2026-02-04T19:47:34.831087+00:00,916.81,409.19,128676.03,0.32,0.0,0.008,0.012,0.013
1770234455834,2026-02-04T19:47:35.834423+00:00,909.95,409.19,128676.03,0.32,0.0,0.008,0.012,0.013
1770234456836,2026-02-04T19:47:36.836961+00:00,921.58,409.22,128676.03,0.32,0.0,0.008,0.012,0.013
1770234457838,2026-02-04T19:47:37.838841+00:00,914.66,409.47,128676.03,0.32,0.0,0.008,0.012,0.013
1770234458841,2026-02-04T19:47:38.841661+00:00,908.35,409.47,128676.03,0.32,0.0,0.008,0.012,0.013
1770234459843,2026-02-04T19:47:39.843905+00:00,916.43,409.35,128676.03,0.32,0.0,0.008,0.012,0.013
1770234460846,2026-02-04T19:47:40.846810+00:00,913.71,409.35,128676.03,0.32,0.0,0.008,0.012,0.013
1770234461849,2026-02-04T19:47:41.849413+00:00,920.52,409.36,128676.03,0.32,0.0,0.008,0.012,0.013
1770234462851,2026-02-04T19:47:42.851788+00:00,920.5,409.25,128676.03,0.32,0.0,0.008,0.012,0.013
1770234463854,2026-02-04T19:47:43.854563+00:00,912.84,409.37,128676.03,0.32,0.0,0.008,0.012,0.013
1770234464857,2026-02-04T19:47:44.857851+00:00,916.88,409.15,128676.03,0.32,0.0,0.008,0.012,0.013
1770234465860,2026-02-04T19:47:45.860119+00:00,911.37,409.15,128676.03,0.32,0.0,0.008,0.012,0.013
1770234466862,2026-02-04T19:47:46.862289+00:00,917.4,409.15,128676.03,0.32,0.0,0.008,0.012,0.013
1770234467865,2026-02-04T19:47:47.865329+00:00,909.17,409.15,128676.03,0.32,0.0,0.008,0.012,0.013
1770234468869,2026-02-04T19:47:48.869625+00:00,909.11,409.27,128676.03,0.32,0.0,0.008,0.012,0.013
1770234469871,2026-02-04T19:47:49.871835+00:00,914.39,409.17,128676.03,0.32,0.0,0.008,0.012,0.013
1770234470874,2026-02-04T19:47:50.874534+00:00,917.24,409.3,128676.03,0.32,0.0,0.008,0.012,0.013
1770234471876,2026-02-04T19:47:51.876468+00:00,906.36,409.18,128676.03,0.32,0.0,0.008,0.012,0.013
1770234472879,2026-02-04T19:47:52.879622+00:00,900.88,409.18,128676.03,0.32,0.0,0.008,0.012,0.013
1770234473882,2026-02-04T19:47:53.882644+00:00,909.88,409.18,128676.03,0.32,0.0,0.008,0.012,0.013
1770234474885,2026-02-04T19:47:54.885318+00:00,917.15,409.3,128676.03,0.32,0.0,0.008,0.012,0.013
1770234475887,2026-02-04T19:47:55.887581+00:00,916.82,409.33,128676.03,0.32,0.0,0.008,0.012,0.013
1770234476891,2026-02-04T19:47:56.891105+00:00,910.47,409.34,128676.03,0.32,0.0,0.008,0.012,0.013
1770234477894,2026-02-04T19:47:57.894748+00:00,916.18,409.22,128676.03,0.32,0.0,0.008,0.012,0.013
1770234478897,2026-02-04T19:47:58.897565+00:00,908.54,409.23,128676.03,0.32,0.0,0.008,0.012,0.013
