timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770663915347,2026-02-09T19:05:15.347221+00:00,1.22,1050.72,11690.2,8.99,780.336,0.605,9069.519,13730.033
1770663916352,2026-02-09T19:05:16.352125+00:00,10.08,1060.5,11690.2,9.07,780.336,0.605,9077.452,13738.672
1770663917354,2026-02-09T19:05:17.354389+00:00,26.41,1062.25,11690.2,9.09,780.336,0.605,9085.733,13747.536
1770663918355,2026-02-09T19:05:18.355493+00:00,16.81,1045.42,11690.2,8.94,780.336,0.605,9093.832,13755.946
1770663919358,2026-02-09T19:05:19.358097+00:00,17.28,1062.64,11690.2,9.09,780.336,0.605,9101.928,13765.158
1770663920360,2026-02-09T19:05:20.360139+00:00,16.78,1069.71,11690.2,9.15,780.336,0.605,9110.024,13773.445
1770663921362,2026-02-09T19:05:21.362542+00:00,15.44,1065.55,11690.2,9.11,780.336,0.605,9118.119,13782.641
1770663922366,2026-02-09T19:05:22.366711+00:00,16.98,1057.66,11690.2,9.05,780.336,0.605,9128.215,13799.113
1770663923369,2026-02-09T19:05:23.369927+00:00,23.72,1059.02,11690.2,9.06,780.336,0.605,9134.351,13807.747
1770663924372,2026-02-09T19:05:24.372873+00:00,16.7,1061.25,11690.2,9.08,780.336,0.605,9142.435,13808.621
1770663925374,2026-02-09T19:05:25.374337+00:00,16.91,1060.21,11690.2,9.07,780.336,0.605,9150.548,13818.366
1770663926376,2026-02-09T19:05:26.376400+00:00,17.25,1058.84,11690.2,9.06,780.336,0.605,9158.659,13827.065
1770663927379,2026-02-09T19:05:27.379313+00:00,17.12,1065.38,11690.2,9.11,780.336,0.605,9166.76,13835.389
1770663928381,2026-02-09T19:05:28.381345+00:00,16.07,1063.89,11690.2,9.1,780.336,0.605,9174.861,13844.896
1770663929384,2026-02-09T19:05:29.384500+00:00,16.83,1066.29,11690.2,9.12,780.336,0.605,9182.957,13853.22
1770663930387,2026-02-09T19:05:30.387345+00:00,16.78,1070.63,11690.2,9.16,780.336,0.605,9191.053,13861.731
1770663931391,2026-02-09T19:05:31.391117+00:00,18.78,1060.77,11690.2,9.07,780.336,0.605,9202.064,13876.836
1770663932394,2026-02-09T19:05:32.394418+00:00,14.59,1060.43,11690.2,9.07,780.336,0.605,9207.275,13885.468
1770663933397,2026-02-09T19:05:33.397031+00:00,15.57,1064.22,11690.2,9.1,780.336,0.605,9215.357,13889.201
1770663934400,2026-02-09T19:05:34.400859+00:00,15.33,1063.86,11690.2,9.1,780.336,0.605,9223.469,13897.895
1770663935405,2026-02-09T19:05:35.405307+00:00,17.83,1059.77,11690.2,9.07,780.336,0.605,9235.161,13911.383
1770663936407,2026-02-09T19:05:36.407089+00:00,14.07,1061.92,11690.2,9.08,780.336,0.605,9239.689,13915.551
