timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1783943273039,2026-07-13T11:47:53.039651+00:00,21.05,438.43,11684.23,3.75,0.0,1.137,0.0,0.0
1783943274042,2026-07-13T11:47:54.042570+00:00,71.26,414.59,11684.23,3.55,0.0,1.137,0.0,0.0
1783943275044,2026-07-13T11:47:55.044920+00:00,107.24,445.93,11684.23,3.82,0.0,1.137,0.0,0.0
1783943276047,2026-07-13T11:47:56.047704+00:00,84.19,467.27,11684.23,4.0,0.0,1.137,0.0,0.0
1783943277050,2026-07-13T11:47:57.050741+00:00,80.01,450.11,11684.23,3.85,0.0,1.137,0.0,0.0
1783943278054,2026-07-13T11:47:58.054414+00:00,105.41,438.27,11684.23,3.75,0.0,1.137,0.0,0.0
1783943279057,2026-07-13T11:47:59.057176+00:00,42.92,439.25,11684.23,3.76,0.0,1.137,0.0,0.0
1783943280060,2026-07-13T11:48:00.060492+00:00,96.07,456.8,11684.23,3.91,0.0,1.137,0.0,0.0
1783943281062,2026-07-13T11:48:01.062210+00:00,75.65,446.77,11684.23,3.82,0.0,1.137,0.0,0.0
1783943282067,2026-07-13T11:48:02.067308+00:00,75.02,449.87,11684.23,3.85,0.0,1.137,0.0,0.0
1783943283070,2026-07-13T11:48:03.070949+00:00,102.12,456.81,11684.23,3.91,0.0,1.137,0.0,0.0
1783943284073,2026-07-13T11:48:04.073306+00:00,87.99,446.12,11684.23,3.82,0.0,1.137,0.0,0.0
1783943285075,2026-07-13T11:48:05.075812+00:00,108.21,435.45,11684.23,3.73,0.0,1.137,0.0,0.0
1783943286078,2026-07-13T11:48:06.078841+00:00,78.57,467.15,11684.23,4.0,0.0,1.137,0.0,0.0
1783943287082,2026-07-13T11:48:07.082335+00:00,87.43,456.91,11684.23,3.91,0.0,1.137,0.0,0.0
1783943288084,2026-07-13T11:48:08.084625+00:00,96.32,467.39,11684.23,4.0,0.0,1.137,0.0,0.0
1783943289087,2026-07-13T11:48:09.087996+00:00,84.91,456.73,11684.23,3.91,0.0,1.137,0.0,0.0
1783943290092,2026-07-13T11:48:10.092068+00:00,85.2,457.02,11684.23,3.91,0.0,1.137,0.0,0.0
1783943291092,2026-07-13T11:48:11.092946+00:00,69.68,439.54,11684.23,3.76,0.0,1.137,0.0,0.0
1783943292096,2026-07-13T11:48:12.096198+00:00,89.62,435.65,11684.23,3.73,0.0,1.145,0.0,0.0
1783943293100,2026-07-13T11:48:13.100639+00:00,77.38,418.53,11684.23,3.58,0.0,1.145,0.0,0.0
1783943294102,2026-07-13T11:48:14.102990+00:00,84.85,414.68,11684.23,3.55,0.0,1.145,0.0,0.0
1783943295106,2026-07-13T11:48:15.106060+00:00,70.9,439.48,11684.23,3.76,0.0,1.145,0.0,0.0
1783943296109,2026-07-13T11:48:16.109579+00:00,83.46,450.14,11684.23,3.85,0.0,1.145,0.0,0.0
1783943297112,2026-07-13T11:48:17.112393+00:00,68.86,446.23,11684.23,3.82,0.0,1.145,0.0,0.0
1783943298115,2026-07-13T11:48:18.115367+00:00,78.13,435.72,11684.23,3.73,0.0,1.145,0.0,0.0
1783943299117,2026-07-13T11:48:19.117760+00:00,64.47,425.28,11684.23,3.64,0.0,1.145,0.0,0.0
1783943300120,2026-07-13T11:48:20.120721+00:00,76.57,435.65,11684.23,3.73,0.0,1.145,0.0,0.0
1783943301124,2026-07-13T11:48:21.124260+00:00,72.52,446.32,11684.23,3.82,0.0,1.145,0.0,0.0
1783943302128,2026-07-13T11:48:22.128329+00:00,70.96,456.64,11684.23,3.91,0.0,1.145,0.0,0.0
1783943303131,2026-07-13T11:48:23.131076+00:00,77.35,425.32,11684.23,3.64,0.0,1.145,0.0,0.0
1783943304133,2026-07-13T11:48:24.133271+00:00,78.09,435.52,11684.23,3.73,0.0,1.145,0.0,0.0
1783943305136,2026-07-13T11:48:25.136636+00:00,79.36,446.2,11684.23,3.82,0.0,1.145,0.0,0.0
1783943306139,2026-07-13T11:48:26.139941+00:00,72.31,435.81,11684.23,3.73,0.0,1.145,0.0,0.0
1783943307142,2026-07-13T11:48:27.142385+00:00,64.78,456.83,11684.23,3.91,0.0,1.145,0.0,0.0
1783943308144,2026-07-13T11:48:28.144931+00:00,58.24,456.67,11684.23,3.91,0.0,1.145,0.0,0.0
1783943309149,2026-07-13T11:48:29.149109+00:00,78.0,414.89,11684.23,3.55,0.0,1.145,0.0,0.0
1783943310150,2026-07-13T11:48:30.150933+00:00,88.2,439.54,11684.23,3.76,0.0,1.145,0.0,0.0
1783943311154,2026-07-13T11:48:31.154050+00:00,72.97,439.54,11684.23,3.76,0.0,1.145,0.0,0.0
1783943312158,2026-07-13T11:48:32.158445+00:00,82.27,414.56,11684.23,3.55,0.0,1.145,0.0,0.0
1783943313164,2026-07-13T11:48:33.164103+00:00,71.01,456.95,11684.23,3.91,0.0,1.145,0.0,0.0
1783943314166,2026-07-13T11:48:34.166141+00:00,65.47,435.99,11684.23,3.73,0.0,1.145,0.0,0.0
1783943315169,2026-07-13T11:48:35.169849+00:00,73.03,457.04,11684.23,3.91,0.0,1.145,0.0,0.0
1783943316173,2026-07-13T11:48:36.173031+00:00,71.72,425.32,11684.23,3.64,0.0,1.145,0.0,0.0
1783943317175,2026-07-13T11:48:37.175663+00:00,71.34,435.55,11684.23,3.73,0.0,1.145,0.0,0.0
1783943318177,2026-07-13T11:48:38.177932+00:00,58.58,460.5,11684.23,3.94,0.0,1.145,0.0,0.0
1783943319180,2026-07-13T11:48:39.180917+00:00,99.92,439.75,11684.23,3.76,0.0,1.145,0.0,0.0
1783943320184,2026-07-13T11:48:40.184293+00:00,83.9,428.98,11684.23,3.67,0.0,1.145,0.0,0.0
1783943321188,2026-07-13T11:48:41.188625+00:00,72.68,428.91,11684.23,3.67,0.0,1.145,0.0,0.0
1783943322191,2026-07-13T11:48:42.191456+00:00,29.27,429.2,11684.23,3.67,0.0,1.145,0.0,0.0
1783943323193,2026-07-13T11:48:43.193876+00:00,95.59,446.46,11684.23,3.82,0.0,1.145,0.0,0.0
1783943324196,2026-07-13T11:48:44.196953+00:00,54.37,446.89,11684.23,3.82,0.0,1.145,0.0,0.0
1783943325199,2026-07-13T11:48:45.199215+00:00,90.02,440.05,11684.23,3.77,0.0,1.145,0.0,0.0
1783943326202,2026-07-13T11:48:46.202958+00:00,79.67,429.21,11684.23,3.67,0.0,1.145,0.0,0.0
1783943327205,2026-07-13T11:48:47.205594+00:00,87.05,450.17,11684.23,3.85,0.0,1.145,0.0,0.0
1783943328208,2026-07-13T11:48:48.208157+00:00,84.84,450.2,11684.23,3.85,0.0,1.145,0.0,0.0
1783943329211,2026-07-13T11:48:49.211086+00:00,71.22,464.7,11684.23,3.98,0.0,1.145,0.0,0.0
1783943330212,2026-07-13T11:48:50.212698+00:00,81.74,433.04,11684.23,3.71,0.0,1.145,0.0,0.0
1783943331216,2026-07-13T11:48:51.216380+00:00,62.83,456.73,11684.23,3.91,0.0,1.145,0.0,0.0
1783943332219,2026-07-13T11:48:52.219011+00:00,70.73,467.54,11684.23,4.0,0.0,1.145,0.0,0.0
1783943333222,2026-07-13T11:48:53.222124+00:00,63.53,457.12,11684.23,3.91,0.0,1.145,0.0,0.0
1783943334225,2026-07-13T11:48:54.225407+00:00,42.22,414.61,11684.23,3.55,0.0,1.145,0.0,0.0
1783943335229,2026-07-13T11:48:55.229914+00:00,59.66,456.75,11684.23,3.91,0.0,1.145,0.0,0.0
1783943336234,2026-07-13T11:48:56.234543+00:00,78.04,446.49,11684.23,3.82,0.0,1.145,0.0,0.0
1783943337234,2026-07-13T11:48:57.234633+00:00,66.48,415.52,11684.23,3.56,0.0,1.145,0.0,0.0
1783943338236,2026-07-13T11:48:58.236927+00:00,67.5,426.97,11684.23,3.65,0.0,1.145,0.0,0.0
1783943339239,2026-07-13T11:48:59.239972+00:00,68.97,446.69,11684.23,3.82,0.0,1.145,0.0,0.0
1783943340244,2026-07-13T11:49:00.244865+00:00,90.64,446.25,11684.23,3.82,0.0,1.145,0.0,0.0
1783943341248,2026-07-13T11:49:01.248173+00:00,66.5,438.9,11684.23,3.76,0.0,1.145,0.0,0.0
1783943342251,2026-07-13T11:49:02.251515+00:00,70.93,446.27,11684.23,3.82,0.0,1.145,0.0,0.0
1783943343254,2026-07-13T11:49:03.254056+00:00,88.07,435.63,11684.23,3.73,0.0,1.145,0.0,0.0
1783943344257,2026-07-13T11:49:04.257510+00:00,97.23,446.21,11684.23,3.82,0.0,1.145,0.0,0.0
1783943345262,2026-07-13T11:49:05.262438+00:00,78.92,446.7,11684.23,3.82,0.0,1.145,0.0,0.0
1783943346264,2026-07-13T11:49:06.264811+00:00,81.0,456.99,11684.23,3.91,0.0,1.145,0.0,0.0
1783943347269,2026-07-13T11:49:07.269088+00:00,77.46,446.47,11684.23,3.82,0.0,1.145,0.0,0.0
