timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780225471240,2026-05-31T11:04:31.240362+00:00,18.47,530.09,11684.23,4.54,0.0,1.754,0.0,0.0
1780225472243,2026-05-31T11:04:32.243264+00:00,127.58,559.41,11684.23,4.79,0.0,1.754,0.0,0.0
1780225473246,2026-05-31T11:04:33.246262+00:00,130.98,535.6,11684.23,4.58,0.0,1.754,0.0,0.0
1780225474247,2026-05-31T11:04:34.247817+00:00,178.54,531.93,11684.23,4.55,0.0,1.754,0.0,0.0
1780225475250,2026-05-31T11:04:35.250863+00:00,135.08,548.72,11684.23,4.7,0.0,1.754,0.0,0.0
1780225476252,2026-05-31T11:04:36.252861+00:00,186.35,550.33,11684.23,4.71,0.0,1.754,0.0,0.0
1780225477254,2026-05-31T11:04:37.254517+00:00,130.81,548.64,11684.23,4.7,0.0,1.754,0.0,0.0
1780225478256,2026-05-31T11:04:38.256892+00:00,173.97,548.84,11684.23,4.7,0.0,1.754,0.0,0.0
1780225479258,2026-05-31T11:04:39.258809+00:00,151.22,548.67,11684.23,4.7,0.0,1.754,0.0,0.0
1780225480263,2026-05-31T11:04:40.263088+00:00,165.21,524.71,11684.23,4.49,0.0,1.754,0.0,0.0
1780225481265,2026-05-31T11:04:41.265666+00:00,96.88,540.77,11684.23,4.63,0.0,1.754,0.0,0.0
1780225482267,2026-05-31T11:04:42.267991+00:00,118.84,559.28,11684.23,4.79,0.0,1.754,0.0,0.0
1780225483272,2026-05-31T11:04:43.272522+00:00,148.62,551.64,11684.23,4.72,0.0,1.754,0.0,0.0
1780225484274,2026-05-31T11:04:44.274979+00:00,169.45,585.04,11684.23,5.01,0.0,1.754,0.0,0.0
1780225485279,2026-05-31T11:04:45.279293+00:00,153.05,550.27,11684.23,4.71,0.0,1.754,0.0,0.0
1780225486286,2026-05-31T11:04:46.286326+00:00,174.93,545.43,11684.23,4.67,0.0,1.754,0.0,0.0
1780225487289,2026-05-31T11:04:47.289497+00:00,155.47,544.06,11684.23,4.66,0.0,1.754,0.0,0.0
1780225488290,2026-05-31T11:04:48.290686+00:00,171.87,559.61,11684.23,4.79,0.0,1.754,0.0,0.0
1780225489298,2026-05-31T11:04:49.298145+00:00,140.21,557.73,11684.23,4.77,0.0,1.754,0.0,0.0
1780225490299,2026-05-31T11:04:50.299213+00:00,149.57,557.57,11684.23,4.77,0.0,1.754,0.0,0.0
1780225491301,2026-05-31T11:04:51.301605+00:00,165.24,557.29,11684.23,4.77,0.0,1.754,0.0,0.0
1780225492304,2026-05-31T11:04:52.304940+00:00,154.53,541.09,11684.23,4.63,0.0,1.754,0.0,0.0
1780225493308,2026-05-31T11:04:53.308836+00:00,167.4,559.32,11684.23,4.79,0.0,1.754,0.0,0.0
1780225494312,2026-05-31T11:04:54.312239+00:00,166.5,559.34,11684.23,4.79,0.0,1.754,0.0,0.0
1780225495313,2026-05-31T11:04:55.313584+00:00,159.26,560.19,11684.23,4.79,0.0,1.754,0.0,0.0
1780225496315,2026-05-31T11:04:56.315904+00:00,148.44,559.35,11684.23,4.79,0.0,1.754,0.0,0.0
1780225497319,2026-05-31T11:04:57.319652+00:00,161.03,559.57,11684.23,4.79,0.0,1.754,0.0,0.0
1780225498322,2026-05-31T11:04:58.322621+00:00,7.77,559.33,11684.23,4.79,0.0,1.754,0.0,0.0
1780225499325,2026-05-31T11:04:59.325882+00:00,7.31,559.33,11684.23,4.79,0.0,1.754,0.0,0.0
1780225500328,2026-05-31T11:05:00.328464+00:00,89.98,559.43,11684.23,4.79,0.0,1.754,0.0,0.0
1780225501332,2026-05-31T11:05:01.332539+00:00,198.15,552.59,11684.23,4.73,0.0,1.754,0.0,0.0
1780225502338,2026-05-31T11:05:02.338512+00:00,184.49,559.82,11684.23,4.79,0.0,1.754,0.0,0.0
1780225503341,2026-05-31T11:05:03.341635+00:00,148.02,564.92,11684.23,4.83,0.0,1.754,0.0,0.0
1780225504346,2026-05-31T11:05:04.346649+00:00,167.42,579.56,11684.23,4.96,0.0,1.754,0.0,0.0
1780225505350,2026-05-31T11:05:05.350116+00:00,140.9,576.84,11684.23,4.94,0.0,1.754,0.0,0.0
1780225506352,2026-05-31T11:05:06.352592+00:00,160.62,577.01,11684.23,4.94,0.0,1.754,0.0,0.0
1780225507355,2026-05-31T11:05:07.355652+00:00,149.47,577.21,11684.23,4.94,0.0,1.754,0.0,0.0
1780225508357,2026-05-31T11:05:08.357241+00:00,159.35,578.93,11684.23,4.95,0.0,1.754,0.0,0.0
1780225509359,2026-05-31T11:05:09.359797+00:00,145.47,576.88,11684.23,4.94,0.0,1.754,0.0,0.0
1780225510361,2026-05-31T11:05:10.361196+00:00,183.77,578.88,11684.23,4.95,0.0,1.754,0.0,0.0
1780225511364,2026-05-31T11:05:11.364171+00:00,147.2,577.13,11684.23,4.94,0.0,1.754,0.0,0.0
1780225512365,2026-05-31T11:05:12.365937+00:00,181.08,552.83,11684.23,4.73,0.0,1.754,0.0,0.0
1780225513369,2026-05-31T11:05:13.369006+00:00,146.36,556.32,11684.23,4.76,0.0,1.754,0.0,0.0
1780225514373,2026-05-31T11:05:14.373270+00:00,165.13,556.53,11684.23,4.76,0.0,1.754,0.0,0.0
1780225515376,2026-05-31T11:05:15.376372+00:00,151.9,561.4,11684.23,4.8,0.0,1.754,0.0,0.0
1780225516378,2026-05-31T11:05:16.378154+00:00,164.26,561.62,11684.23,4.81,0.0,1.754,0.0,0.0
1780225517382,2026-05-31T11:05:17.382177+00:00,150.6,561.66,11684.23,4.81,0.0,1.754,0.0,0.0
1780225518385,2026-05-31T11:05:18.385336+00:00,177.65,561.68,11684.23,4.81,0.0,1.754,0.0,0.0
1780225519390,2026-05-31T11:05:19.390987+00:00,137.46,561.53,11684.23,4.81,0.0,1.754,0.0,0.0
1780225520392,2026-05-31T11:05:20.392566+00:00,161.74,561.61,11684.23,4.81,0.0,1.754,0.0,0.0
1780225521395,2026-05-31T11:05:21.395748+00:00,151.5,561.43,11684.23,4.81,0.0,1.754,0.0,0.0
1780225522400,2026-05-31T11:05:22.400874+00:00,154.58,561.46,11684.23,4.81,0.0,1.754,0.0,0.0
1780225523404,2026-05-31T11:05:23.404243+00:00,175.36,561.78,11684.23,4.81,0.0,1.754,0.0,0.0
1780225524409,2026-05-31T11:05:24.409887+00:00,156.31,561.67,11684.23,4.81,0.0,1.754,0.0,0.0
1780225525413,2026-05-31T11:05:25.413116+00:00,139.73,561.73,11684.23,4.81,0.0,1.754,0.0,0.0
1780225526414,2026-05-31T11:05:26.414911+00:00,178.84,575.46,11684.23,4.93,0.0,1.754,0.0,0.0
1780225527417,2026-05-31T11:05:27.417297+00:00,156.51,575.22,11684.23,4.92,0.0,1.754,0.0,0.0
1780225528419,2026-05-31T11:05:28.419083+00:00,144.83,573.42,11684.23,4.91,0.0,1.754,0.0,0.0
1780225529422,2026-05-31T11:05:29.422086+00:00,169.21,574.07,11684.23,4.91,0.0,1.754,0.0,0.0
1780225530424,2026-05-31T11:05:30.424158+00:00,146.77,573.45,11684.23,4.91,0.0,1.754,0.0,0.0
1780225531426,2026-05-31T11:05:31.426493+00:00,171.35,573.89,11684.23,4.91,0.0,1.754,0.0,0.0
1780225532429,2026-05-31T11:05:32.429208+00:00,166.2,573.45,11684.23,4.91,0.0,1.754,0.0,0.0
1780225533431,2026-05-31T11:05:33.431057+00:00,142.6,573.81,11684.23,4.91,0.0,1.754,0.0,0.0
1780225534433,2026-05-31T11:05:34.433598+00:00,156.62,535.36,11684.23,4.58,0.0,1.754,0.0,0.0
1780225535435,2026-05-31T11:05:35.435357+00:00,154.04,568.54,11684.23,4.87,0.0,1.754,0.0,0.0
1780225536442,2026-05-31T11:05:36.442265+00:00,142.5,567.37,11684.23,4.86,0.0,1.754,0.0,0.0
1780225537444,2026-05-31T11:05:37.444468+00:00,166.81,569.09,11684.23,4.87,0.0,1.754,0.0,0.0
1780225538449,2026-05-31T11:05:38.449059+00:00,155.57,569.15,11684.23,4.87,0.0,1.754,0.0,0.0
1780225539453,2026-05-31T11:05:39.453998+00:00,157.7,560.82,11684.23,4.8,0.0,1.754,0.0,0.0
1780225540455,2026-05-31T11:05:40.455251+00:00,157.97,563.46,11684.23,4.82,0.0,1.754,0.0,0.0
1780225541458,2026-05-31T11:05:41.458312+00:00,179.06,571.38,11684.23,4.89,0.0,1.754,0.0,0.0
1780225542463,2026-05-31T11:05:42.463075+00:00,143.88,571.63,11684.23,4.89,0.0,1.754,0.0,0.0
1780225543464,2026-05-31T11:05:43.464963+00:00,168.95,571.55,11684.23,4.89,0.0,1.754,0.0,0.0
1780225544466,2026-05-31T11:05:44.466701+00:00,166.07,573.35,11684.23,4.91,0.0,1.754,0.0,0.0
1780225545468,2026-05-31T11:05:45.468588+00:00,146.46,573.15,11684.23,4.91,0.0,1.754,0.0,0.0
1780225546471,2026-05-31T11:05:46.471844+00:00,140.19,562.32,11684.23,4.81,0.0,1.754,0.0,0.0
1780225547474,2026-05-31T11:05:47.474948+00:00,168.06,566.14,11684.23,4.85,0.0,1.754,0.0,0.0
1780225548478,2026-05-31T11:05:48.478742+00:00,145.97,574.29,11684.23,4.92,0.0,1.754,0.0,0.0
1780225549480,2026-05-31T11:05:49.480330+00:00,180.36,576.12,11684.23,4.93,0.0,1.754,0.0,0.0
1780225550485,2026-05-31T11:05:50.485343+00:00,125.62,574.53,11684.23,4.92,0.0,1.754,0.0,0.0
1780225551488,2026-05-31T11:05:51.488914+00:00,162.1,574.17,11684.23,4.91,0.0,1.754,0.0,0.0
1780225552492,2026-05-31T11:05:52.492295+00:00,145.05,574.32,11684.23,4.92,0.0,1.754,0.0,0.0
1780225553494,2026-05-31T11:05:53.494155+00:00,171.36,574.35,11684.23,4.92,0.0,1.754,0.0,0.0
1780225554496,2026-05-31T11:05:54.496758+00:00,168.76,574.34,11684.23,4.92,0.0,1.754,0.0,0.0
1780225555498,2026-05-31T11:05:55.498227+00:00,162.67,576.05,11684.23,4.93,0.0,1.754,0.0,0.0
1780225556501,2026-05-31T11:05:56.501306+00:00,155.96,574.1,11684.23,4.91,0.0,1.754,0.0,0.0
1780225557503,2026-05-31T11:05:57.503301+00:00,166.94,575.17,11684.23,4.92,0.0,1.754,0.0,0.0
1780225558505,2026-05-31T11:05:58.505622+00:00,144.95,574.16,11684.23,4.91,0.0,1.754,0.0,0.0
1780225559508,2026-05-31T11:05:59.508605+00:00,170.0,574.12,11684.23,4.91,0.0,1.754,0.0,0.0
1780225560514,2026-05-31T11:06:00.514672+00:00,164.48,576.54,11684.23,4.93,0.0,1.754,0.0,0.0
1780225561518,2026-05-31T11:06:01.518995+00:00,150.45,574.58,11684.23,4.92,0.0,1.754,0.0,0.0
1780225562523,2026-05-31T11:06:02.523385+00:00,148.5,574.34,11684.23,4.92,0.0,1.754,0.0,0.0
1780225563524,2026-05-31T11:06:03.524725+00:00,176.55,575.05,11684.23,4.92,0.0,1.754,0.0,0.0
1780225564528,2026-05-31T11:06:04.528852+00:00,152.61,574.29,11684.23,4.92,0.0,1.754,0.0,0.0
1780225565530,2026-05-31T11:06:05.530566+00:00,180.19,575.39,11684.23,4.92,0.0,1.754,0.0,0.0
1780225566534,2026-05-31T11:06:06.534928+00:00,155.81,574.29,11684.23,4.92,0.0,1.754,0.0,0.0
1780225567537,2026-05-31T11:06:07.537982+00:00,140.14,574.15,11684.23,4.91,0.0,1.754,0.0,0.0
1780225568544,2026-05-31T11:06:08.544964+00:00,189.0,574.43,11684.23,4.92,0.0,1.754,0.0,0.0
1780225569548,2026-05-31T11:06:09.548919+00:00,148.86,574.15,11684.23,4.91,0.0,1.754,0.0,0.0
1780225570551,2026-05-31T11:06:10.551521+00:00,180.28,564.38,11684.23,4.83,0.0,1.754,0.0,0.0
1780225571555,2026-05-31T11:06:11.555479+00:00,141.72,564.42,11684.23,4.83,0.0,1.754,0.0,0.0
1780225572558,2026-05-31T11:06:12.558435+00:00,173.5,625.39,11684.23,5.35,0.0,1.754,0.0,0.0
1780225573564,2026-05-31T11:06:13.564954+00:00,153.96,572.21,11684.23,4.9,0.0,1.754,0.0,0.0
1780225574567,2026-05-31T11:06:14.567297+00:00,162.05,593.55,11684.23,5.08,0.0,1.754,0.0,0.0
1780225575570,2026-05-31T11:06:15.570173+00:00,156.03,622.98,11684.23,5.33,0.0,1.754,0.0,0.0
1780225576574,2026-05-31T11:06:16.574070+00:00,149.18,569.55,11684.23,4.87,0.0,1.754,0.0,0.0
1780225577576,2026-05-31T11:06:17.576079+00:00,159.18,569.61,11684.23,4.88,0.0,1.754,0.0,0.0
1780225578578,2026-05-31T11:06:18.578014+00:00,166.12,575.36,11684.23,4.92,0.0,1.754,0.0,0.0
1780225579582,2026-05-31T11:06:19.582136+00:00,135.07,543.38,11684.23,4.65,0.0,1.754,0.0,0.0
1780225580585,2026-05-31T11:06:20.585028+00:00,7.46,543.28,11684.23,4.65,0.0,1.754,0.0,0.0
1780225581587,2026-05-31T11:06:21.587703+00:00,7.41,543.28,11684.23,4.65,0.0,1.754,0.0,0.0
1780225582590,2026-05-31T11:06:22.590203+00:00,101.46,553.97,11684.23,4.74,0.0,1.754,0.0,0.0
1780225583593,2026-05-31T11:06:23.593248+00:00,203.94,606.69,11684.23,5.19,0.0,1.754,0.0,0.0
1780225584594,2026-05-31T11:06:24.594897+00:00,176.44,551.79,11684.23,4.72,0.0,1.754,0.0,0.0
1780225585597,2026-05-31T11:06:25.597975+00:00,158.21,601.35,11684.23,5.15,0.0,1.754,0.0,0.0
1780225586601,2026-05-31T11:06:26.601898+00:00,178.61,571.96,11684.23,4.9,0.0,1.754,0.0,0.0
1780225587606,2026-05-31T11:06:27.606624+00:00,140.96,569.96,11684.23,4.88,0.0,1.754,0.0,0.0
1780225588611,2026-05-31T11:06:28.611162+00:00,169.35,569.87,11684.23,4.88,0.0,1.754,0.0,0.0
1780225589613,2026-05-31T11:06:29.613289+00:00,164.47,548.21,11684.23,4.69,0.0,1.754,0.0,0.0
1780225590617,2026-05-31T11:06:30.617506+00:00,145.49,535.67,11684.23,4.58,0.0,1.754,0.0,0.0
1780225591620,2026-05-31T11:06:31.620191+00:00,152.86,551.14,11684.23,4.72,0.0,1.754,0.0,0.0
1780225592623,2026-05-31T11:06:32.623049+00:00,19.95,551.24,11684.23,4.72,0.0,1.754,0.0,0.0
