timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780349958082,2026-06-01T21:39:18.082275+00:00,13.12,2033.68,11684.23,17.41,1602.203,3.23,0.0,0.0
1780349959084,2026-06-01T21:39:19.084921+00:00,7.03,2033.68,11684.23,17.41,1602.203,3.23,0.0,0.0
1780349960087,2026-06-01T21:39:20.087008+00:00,5.96,2033.68,11684.23,17.41,1602.203,3.23,0.0,0.0
1780349961089,2026-06-01T21:39:21.089704+00:00,107.34,2044.57,11684.23,17.5,1602.203,3.23,0.0,0.0
1780349962091,2026-06-01T21:39:22.091712+00:00,187.51,2020.16,11684.23,17.29,1602.203,3.23,0.0,0.0
1780349963095,2026-06-01T21:39:23.095480+00:00,166.67,2044.85,11684.23,17.5,1602.203,3.23,0.0,0.0
1780349964099,2026-06-01T21:39:24.099488+00:00,153.45,2041.61,11684.23,17.47,1602.203,3.23,0.0,0.0
1780349965103,2026-06-01T21:39:25.103016+00:00,153.98,2037.8,11684.23,17.44,1602.203,3.23,0.0,0.0
1780349966108,2026-06-01T21:39:26.108245+00:00,158.94,2019.23,11684.23,17.28,1602.203,3.23,0.0,0.0
1780349967110,2026-06-01T21:39:27.110405+00:00,163.04,2015.79,11684.23,17.25,1602.203,3.23,0.0,0.0
1780349968114,2026-06-01T21:39:28.114431+00:00,148.8,2033.93,11684.23,17.41,1602.203,3.23,0.0,0.0
1780349969116,2026-06-01T21:39:29.116567+00:00,165.41,2041.54,11684.23,17.47,1602.203,3.23,0.0,0.0
1780349970118,2026-06-01T21:39:30.118658+00:00,151.58,2044.94,11684.23,17.5,1602.203,3.23,0.0,0.0
1780349971123,2026-06-01T21:39:31.123183+00:00,149.89,2034.68,11684.23,17.41,1602.203,3.23,0.0,0.0
1780349972127,2026-06-01T21:39:32.127891+00:00,162.8,2033.94,11684.23,17.41,1602.203,3.23,0.0,0.0
1780349973130,2026-06-01T21:39:33.130869+00:00,154.35,2034.26,11684.23,17.41,1602.203,3.23,0.0,0.0
1780349974133,2026-06-01T21:39:34.133736+00:00,169.22,2006.57,11684.23,17.17,1602.203,3.23,0.0,0.0
1780349975136,2026-06-01T21:39:35.136956+00:00,157.33,2049.01,11684.23,17.54,1602.203,3.23,0.0,0.0
1780349976141,2026-06-01T21:39:36.141069+00:00,150.92,2034.89,11684.23,17.42,1602.203,3.23,0.0,0.0
1780349977143,2026-06-01T21:39:37.143605+00:00,160.16,2027.27,11684.23,17.35,1602.203,3.23,0.0,0.0
1780349978149,2026-06-01T21:39:38.149100+00:00,160.43,2032.66,11684.23,17.4,1602.203,3.23,0.0,0.0
1780349979150,2026-06-01T21:39:39.150332+00:00,159.44,2023.81,11684.23,17.32,1602.203,3.23,0.0,0.0
1780349980153,2026-06-01T21:39:40.153247+00:00,152.99,2037.46,11684.23,17.44,1602.203,3.23,0.0,0.0
1780349981158,2026-06-01T21:39:41.158158+00:00,167.82,2013.84,11684.23,17.24,1602.203,3.23,0.0,0.0
1780349982162,2026-06-01T21:39:42.162420+00:00,154.09,2027.1,11684.23,17.35,1602.203,3.23,0.0,0.0
1780349983165,2026-06-01T21:39:43.165755+00:00,162.31,2048.05,11684.23,17.53,1602.203,3.238,0.0,0.0
1780349984169,2026-06-01T21:39:44.169929+00:00,162.88,2020.35,11684.23,17.29,1602.203,3.238,0.0,0.0
