timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1779112214745,2026-05-18T13:50:14.745257+00:00,16.79,3147.79,11684.23,26.94,2033.871,167.277,0.0,0.0
1779112215749,2026-05-18T13:50:15.749965+00:00,264.11,3215.78,11684.23,27.52,2033.871,167.277,0.0,0.0
1779112217752,2026-05-18T13:50:17.752064+00:00,192.39,3224.08,11684.23,27.59,2033.871,167.277,0.0,0.0
1779112218755,2026-05-18T13:50:18.755924+00:00,244.63,3229.48,11684.23,27.64,2033.871,167.277,0.0,0.0
1779112219757,2026-05-18T13:50:19.757198+00:00,378.81,3269.59,11684.23,27.98,2033.871,167.277,0.0,0.0
1779112220760,2026-05-18T13:50:20.760953+00:00,375.77,3231.87,11684.23,27.66,2033.871,167.277,0.0,0.0
1779112222763,2026-05-18T13:50:22.763973+00:00,362.06,3222.57,11684.23,27.58,2033.871,167.277,0.0,0.0
1779112224765,2026-05-18T13:50:24.765770+00:00,368.31,3222.35,11684.23,27.58,2033.871,167.277,0.0,0.0
1779112225767,2026-05-18T13:50:25.767515+00:00,377.59,3260.13,11684.23,27.9,2033.871,167.277,0.0,0.0
1779112226769,2026-05-18T13:50:26.769391+00:00,373.68,3222.55,11684.23,27.58,2033.871,167.277,0.0,0.0
1779112227771,2026-05-18T13:50:27.771516+00:00,361.06,3228.41,11684.23,27.63,2033.871,167.277,0.0,0.0
1779112228774,2026-05-18T13:50:28.774968+00:00,359.22,3228.29,11684.23,27.63,2033.871,167.277,0.0,0.0
1779112229776,2026-05-18T13:50:29.776936+00:00,359.84,3228.24,11684.23,27.63,2033.871,167.277,0.0,0.0
1779112230778,2026-05-18T13:50:30.778770+00:00,371.95,3228.2,11684.23,27.63,2033.871,167.277,0.0,0.0
1779112231781,2026-05-18T13:50:31.781294+00:00,376.41,3266.01,11684.23,27.95,2033.871,167.277,0.0,0.0
1779112232782,2026-05-18T13:50:32.782895+00:00,370.07,3228.17,11684.23,27.63,2033.871,167.277,0.0,0.0
1779112233784,2026-05-18T13:50:33.784268+00:00,362.43,3228.23,11684.23,27.63,2033.871,167.277,0.0,0.0
1779112234786,2026-05-18T13:50:34.786343+00:00,356.84,3236.05,11684.23,27.7,2033.871,167.277,0.0,0.0
1779112235790,2026-05-18T13:50:35.790263+00:00,361.42,3243.89,11684.23,27.76,2033.871,167.277,0.0,0.0
1779112236791,2026-05-18T13:50:36.791795+00:00,380.67,3242.57,11684.23,27.75,2033.871,167.277,0.0,0.0
1779112237796,2026-05-18T13:50:37.796988+00:00,372.51,3223.86,11684.23,27.59,2033.871,167.277,0.0,0.0
