timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1780211444564,2026-05-31T07:10:44.564282+00:00,0.0,470.64,11684.23,4.03,34.543,1.246,0.0,0.0
1780211445567,2026-05-31T07:10:45.567952+00:00,113.11,477.96,11684.23,4.09,34.543,1.246,0.0,0.0
1780211446568,2026-05-31T07:10:46.568078+00:00,395.13,494.64,11684.23,4.23,34.543,1.246,0.0,0.0
1780211447571,2026-05-31T07:10:47.571602+00:00,394.97,473.46,11684.23,4.05,34.543,1.246,0.0,0.0
1780211448575,2026-05-31T07:10:48.575662+00:00,394.98,473.73,11684.23,4.05,34.543,1.246,0.0,0.0
1780211449577,2026-05-31T07:10:49.577565+00:00,396.74,490.09,11684.23,4.19,34.543,1.246,0.0,0.0
1780211450581,2026-05-31T07:10:50.581475+00:00,393.3,477.72,11684.23,4.09,34.543,1.246,0.0,0.0
1780211451583,2026-05-31T07:10:51.583454+00:00,397.04,477.54,11684.23,4.09,34.543,1.246,0.0,0.0
1780211452586,2026-05-31T07:10:52.586963+00:00,394.95,477.55,11684.23,4.09,34.543,1.246,0.0,0.0
1780211453587,2026-05-31T07:10:53.587302+00:00,395.28,477.65,11684.23,4.09,34.543,1.246,0.0,0.0
1780211454590,2026-05-31T07:10:54.590130+00:00,396.02,477.75,11684.23,4.09,34.543,1.246,0.0,0.0
1780211455593,2026-05-31T07:10:55.593383+00:00,394.19,477.59,11684.23,4.09,34.543,1.246,0.0,0.0
1780211456596,2026-05-31T07:10:56.596277+00:00,395.44,477.83,11684.23,4.09,34.543,1.246,0.0,0.0
1780211457597,2026-05-31T07:10:57.597976+00:00,394.78,477.69,11684.23,4.09,34.543,1.246,0.0,0.0
1780211458600,2026-05-31T07:10:58.600966+00:00,394.91,488.5,11684.23,4.18,34.543,1.246,0.0,0.0
1780211459601,2026-05-31T07:10:59.601592+00:00,397.22,467.25,11684.23,4.0,34.543,1.246,0.0,0.0
1780211460604,2026-05-31T07:11:00.604748+00:00,394.28,467.27,11684.23,4.0,34.543,1.246,0.0,0.0
1780211461606,2026-05-31T07:11:01.606944+00:00,395.67,467.43,11684.23,4.0,34.543,1.246,0.0,0.0
1780211462609,2026-05-31T07:11:02.609189+00:00,395.64,467.45,11684.23,4.0,34.543,1.246,0.0,0.0
1780211463611,2026-05-31T07:11:03.611266+00:00,395.5,477.62,11684.23,4.09,34.543,1.246,0.0,0.0
1780211464612,2026-05-31T07:11:04.612971+00:00,394.9,477.72,11684.23,4.09,34.543,1.246,0.0,0.0
1780211465615,2026-05-31T07:11:05.615281+00:00,396.29,467.19,11684.23,4.0,34.543,1.246,0.0,0.0
1780211466617,2026-05-31T07:11:06.617960+00:00,396.1,488.38,11684.23,4.18,34.543,1.246,0.0,0.0
1780211467619,2026-05-31T07:11:07.619535+00:00,394.3,467.21,11684.23,4.0,34.543,1.246,0.0,0.0
1780211468623,2026-05-31T07:11:08.623534+00:00,393.7,467.21,11684.23,4.0,34.543,1.246,0.0,0.0
1780211469626,2026-05-31T07:11:09.626873+00:00,396.0,488.31,11684.23,4.18,34.543,1.246,0.0,0.0
1780211470628,2026-05-31T07:11:10.628332+00:00,394.76,488.53,11684.23,4.18,34.543,1.246,0.0,0.0
1780211471630,2026-05-31T07:11:11.630953+00:00,395.35,488.23,11684.23,4.18,34.543,1.246,0.0,0.0
1780211472633,2026-05-31T07:11:12.633005+00:00,394.63,488.49,11684.23,4.18,34.543,1.246,0.0,0.0
1780211473634,2026-05-31T07:11:13.634110+00:00,396.12,488.25,11684.23,4.18,34.543,1.246,0.0,0.0
1780211474636,2026-05-31T07:11:14.636556+00:00,395.15,488.57,11684.23,4.18,34.543,1.246,0.0,0.0
1780211475638,2026-05-31T07:11:15.638014+00:00,396.49,488.55,11684.23,4.18,34.543,1.246,0.0,0.0
1780211476639,2026-05-31T07:11:16.639955+00:00,394.88,488.52,11684.23,4.18,34.543,1.246,0.0,0.0
