timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770898380733,2026-02-12T12:13:00.733269+00:00,1.21,1830.35,11690.2,15.66,1586.004,0.426,27.39,4088.247
1770898381740,2026-02-12T12:13:01.740414+00:00,143.76,1830.61,11690.2,15.66,1586.004,0.426,27.494,4099.254
1770898382741,2026-02-12T12:13:02.741810+00:00,194.8,1830.75,11690.2,15.66,1586.004,0.426,27.626,4113.735
1770898383744,2026-02-12T12:13:03.744332+00:00,189.04,1831.01,11690.2,15.66,1586.004,0.426,27.757,4127.059
1770898384749,2026-02-12T12:13:04.749205+00:00,188.04,1831.29,11690.2,15.67,1586.004,0.426,27.888,4140.962
1770898385752,2026-02-12T12:13:05.752228+00:00,194.65,1833.1,11690.2,15.68,1586.004,0.426,28.015,4154.865
1770898386754,2026-02-12T12:13:06.754708+00:00,191.89,1832.84,11690.2,15.68,1586.004,0.426,28.142,4168.188
1770898387760,2026-02-12T12:13:07.760117+00:00,181.16,1832.89,11690.2,15.68,1586.004,0.426,28.273,4181.948
1770898388762,2026-02-12T12:13:08.762173+00:00,184.12,1832.67,11690.2,15.68,1586.004,0.426,28.405,4195.993
1770898389765,2026-02-12T12:13:09.765493+00:00,186.12,1833.34,11690.2,15.68,1586.004,0.426,28.541,4210.473
1770898390768,2026-02-12T12:13:10.768563+00:00,185.3,1833.38,11690.2,15.68,1586.004,0.426,28.674,4224.375
1770898391772,2026-02-12T12:13:11.772084+00:00,184.37,1834.36,11690.2,15.69,1586.004,0.426,28.807,4238.276
1770898392775,2026-02-12T12:13:12.775358+00:00,185.92,1834.47,11690.2,15.69,1586.004,0.426,28.936,4251.598
1770898393779,2026-02-12T12:13:13.779383+00:00,184.97,1833.57,11690.2,15.68,1586.004,0.426,29.063,4264.342
1770898394780,2026-02-12T12:13:14.780899+00:00,190.58,1833.69,11690.2,15.69,1586.004,0.426,29.195,4278.822
1770898395790,2026-02-12T12:13:15.790199+00:00,184.5,1833.75,11690.2,15.69,1586.004,0.426,29.331,4292.724
1770898396793,2026-02-12T12:13:16.793440+00:00,195.68,1833.65,11690.2,15.69,1586.004,0.426,29.47,4307.783
1770898397798,2026-02-12T12:13:17.798522+00:00,186.29,1833.89,11690.2,15.69,1586.004,0.426,29.608,4321.685
1770898398803,2026-02-12T12:13:18.803414+00:00,186.88,1833.72,11690.2,15.69,1586.004,0.426,29.738,4335.586
1770898399804,2026-02-12T12:13:19.804268+00:00,176.24,1833.93,11690.2,15.69,1586.004,0.426,29.869,4348.909
1770898400806,2026-02-12T12:13:20.806777+00:00,188.71,1833.74,11690.2,15.69,1586.004,0.426,29.997,4362.81
1770898401810,2026-02-12T12:13:21.810952+00:00,183.32,1833.78,11690.2,15.69,1586.004,0.426,30.128,4376.132
1770898402815,2026-02-12T12:13:22.815228+00:00,116.89,1833.75,11690.2,15.69,1586.004,0.426,30.213,4384.821
