timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1771455703322,2026-02-18T23:01:43.322694+00:00,0.0,5007.41,11690.2,42.83,5062.73,182.504,0.085,0.118
1771455704324,2026-02-18T23:01:44.324857+00:00,321.14,5087.24,11690.2,43.52,5062.73,182.504,0.085,0.118
1771455705327,2026-02-18T23:01:45.327421+00:00,389.57,5091.32,11690.2,43.55,5062.73,182.504,0.085,0.118
1771455706329,2026-02-18T23:01:46.329986+00:00,389.68,5091.44,11690.2,43.55,5062.73,182.504,0.085,0.118
1771455707336,2026-02-18T23:01:47.336124+00:00,391.2,5091.27,11690.2,43.55,5062.73,182.504,0.085,0.118
1771455708338,2026-02-18T23:01:48.338750+00:00,390.1,5091.31,11690.2,43.55,5062.73,182.504,0.085,0.118
1771455709348,2026-02-18T23:01:49.348307+00:00,387.71,5091.39,11690.2,43.55,5062.73,182.504,0.085,0.118
1771455710366,2026-02-18T23:01:50.366060+00:00,392.05,5087.43,11690.2,43.52,5062.73,182.504,0.085,0.118
1771455711367,2026-02-18T23:01:51.367116+00:00,388.87,5091.28,11690.2,43.55,5062.73,182.504,0.085,0.118
1771455712371,2026-02-18T23:01:52.371359+00:00,389.74,5087.26,11690.2,43.52,5062.73,182.504,0.085,0.118
1771455713371,2026-02-18T23:01:53.371824+00:00,388.9,5091.27,11690.2,43.55,5062.73,182.504,0.085,0.118
1771455714373,2026-02-18T23:01:54.373625+00:00,392.52,5084.44,11690.2,43.49,5062.73,182.504,0.085,0.118
1771455715375,2026-02-18T23:01:55.375903+00:00,389.04,5097.07,11690.2,43.6,5062.73,182.504,0.085,0.118
1771455716378,2026-02-18T23:01:56.378876+00:00,391.47,5097.06,11690.2,43.6,5062.73,182.504,0.085,0.118
1771455717381,2026-02-18T23:01:57.381231+00:00,389.82,5097.23,11690.2,43.6,5062.73,182.504,0.085,0.118
1771455718384,2026-02-18T23:01:58.384086+00:00,389.57,5104.14,11690.2,43.66,5062.73,182.504,0.085,0.118
