timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770653238547,2026-02-09T16:07:18.547325+00:00,0.0,1994.85,11690.2,17.06,1690.621,3.219,0.055,0.068
1770653239551,2026-02-09T16:07:19.551791+00:00,321.62,1995.12,11690.2,17.07,1690.621,3.219,0.055,0.068
1770653241553,2026-02-09T16:07:21.553893+00:00,398.43,1985.5,11690.2,16.98,1690.621,3.219,0.055,0.068
1770653242556,2026-02-09T16:07:22.556085+00:00,390.09,1990.92,11690.2,17.03,1690.621,3.219,0.055,0.068
1770653243558,2026-02-09T16:07:23.558287+00:00,396.29,1985.5,11690.2,16.98,1690.621,3.219,0.055,0.068
1770653244559,2026-02-09T16:07:24.559693+00:00,395.81,1991.38,11690.2,17.03,1690.621,3.219,0.055,0.068
1770653245563,2026-02-09T16:07:25.563140+00:00,390.84,1991.39,11690.2,17.03,1690.621,3.219,0.055,0.068
1770653246567,2026-02-09T16:07:26.567803+00:00,396.79,1991.4,11690.2,17.03,1690.621,3.219,0.055,0.068
1770653247571,2026-02-09T16:07:27.571711+00:00,393.49,1985.51,11690.2,16.98,1690.621,3.219,0.055,0.068
1770653248573,2026-02-09T16:07:28.573200+00:00,395.89,1991.39,11690.2,17.03,1690.621,3.219,0.055,0.068
1770653249575,2026-02-09T16:07:29.575393+00:00,395.95,1993.66,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653250577,2026-02-09T16:07:30.577761+00:00,391.73,1993.45,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653251579,2026-02-09T16:07:31.579411+00:00,390.72,1993.42,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653252583,2026-02-09T16:07:32.583187+00:00,395.66,1991.42,11690.2,17.03,1690.621,3.219,0.055,0.068
1770653253586,2026-02-09T16:07:33.586760+00:00,395.39,1993.42,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653254587,2026-02-09T16:07:34.587755+00:00,391.95,1993.43,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653255592,2026-02-09T16:07:35.592585+00:00,393.8,1987.53,11690.2,17.0,1690.621,3.219,0.055,0.068
1770653256594,2026-02-09T16:07:36.594547+00:00,398.37,1992.85,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653257596,2026-02-09T16:07:37.596132+00:00,395.0,1993.43,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653258597,2026-02-09T16:07:38.597673+00:00,395.68,1993.42,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653259599,2026-02-09T16:07:39.599181+00:00,395.31,1993.43,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653260604,2026-02-09T16:07:40.604469+00:00,394.57,1993.45,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653261607,2026-02-09T16:07:41.607643+00:00,392.97,1993.44,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653262612,2026-02-09T16:07:42.612479+00:00,395.45,1991.92,11690.2,17.04,1690.621,3.219,0.055,0.068
1770653263614,2026-02-09T16:07:43.614652+00:00,393.16,1985.78,11690.2,16.99,1690.621,3.219,0.055,0.068
1770653264616,2026-02-09T16:07:44.616764+00:00,393.18,1993.89,11690.2,17.06,1690.621,3.219,0.055,0.068
1770653265619,2026-02-09T16:07:45.619160+00:00,395.33,1994.06,11690.2,17.06,1690.621,3.219,0.055,0.068
1770653266621,2026-02-09T16:07:46.621185+00:00,394.14,1993.82,11690.2,17.06,1690.621,3.219,0.055,0.068
1770653267625,2026-02-09T16:07:47.625749+00:00,395.13,1993.11,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653268626,2026-02-09T16:07:48.626014+00:00,393.5,1985.55,11690.2,16.98,1690.621,3.219,0.055,0.068
1770653269628,2026-02-09T16:07:49.628605+00:00,394.94,1991.52,11690.2,17.04,1690.621,3.219,0.055,0.068
1770653270631,2026-02-09T16:07:50.631764+00:00,396.46,1990.07,11690.2,17.02,1690.621,3.219,0.055,0.068
1770653272634,2026-02-09T16:07:52.634776+00:00,397.11,1993.48,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653273635,2026-02-09T16:07:53.635357+00:00,393.94,1993.48,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653274637,2026-02-09T16:07:54.637114+00:00,394.78,1993.48,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653275638,2026-02-09T16:07:55.638576+00:00,396.55,1993.52,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653276642,2026-02-09T16:07:56.642145+00:00,395.07,1985.78,11690.2,16.99,1690.621,3.219,0.055,0.068
1770653277643,2026-02-09T16:07:57.643996+00:00,395.21,1985.59,11690.2,16.99,1690.621,3.219,0.055,0.068
1770653278646,2026-02-09T16:07:58.646044+00:00,393.6,1991.02,11690.2,17.03,1690.621,3.219,0.055,0.068
1770653279649,2026-02-09T16:07:59.649289+00:00,394.17,1993.74,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653280650,2026-02-09T16:08:00.650674+00:00,396.28,1993.54,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653281655,2026-02-09T16:08:01.655013+00:00,387.69,1993.5,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653282657,2026-02-09T16:08:02.657387+00:00,396.01,1993.52,11690.2,17.05,1690.621,3.219,0.055,0.068
1770653283659,2026-02-09T16:08:03.659274+00:00,396.69,1987.63,11690.2,17.0,1690.621,3.219,0.055,0.068
1770653284661,2026-02-09T16:08:04.661267+00:00,395.01,1993.52,11690.2,17.05,1690.621,3.219,0.055,0.068
