timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1770652824836,2026-02-09T16:00:24.836428+00:00,0.0,2320.93,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652825841,2026-02-09T16:00:25.841740+00:00,278.96,2320.94,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652827843,2026-02-09T16:00:27.843565+00:00,341.01,2320.98,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652828846,2026-02-09T16:00:28.846493+00:00,348.39,2320.94,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652829850,2026-02-09T16:00:29.850313+00:00,341.53,2320.94,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652830851,2026-02-09T16:00:30.851934+00:00,348.81,2320.94,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652831855,2026-02-09T16:00:31.855724+00:00,336.96,2320.95,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652832859,2026-02-09T16:00:32.859754+00:00,346.64,2320.94,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652833863,2026-02-09T16:00:33.863192+00:00,347.83,2320.94,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652834869,2026-02-09T16:00:34.869737+00:00,342.22,2320.97,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652836871,2026-02-09T16:00:36.871687+00:00,342.25,2320.99,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652837873,2026-02-09T16:00:37.873092+00:00,346.21,2320.95,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652838875,2026-02-09T16:00:38.875135+00:00,346.12,2320.98,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652839880,2026-02-09T16:00:39.880015+00:00,339.58,2320.96,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652840881,2026-02-09T16:00:40.881209+00:00,352.91,2320.95,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652841882,2026-02-09T16:00:41.882777+00:00,339.22,2320.95,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652842884,2026-02-09T16:00:42.884920+00:00,345.29,2320.95,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652843886,2026-02-09T16:00:43.886646+00:00,340.73,2320.95,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652844888,2026-02-09T16:00:44.888536+00:00,346.78,2320.99,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652845890,2026-02-09T16:00:45.890284+00:00,348.78,2320.96,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652846892,2026-02-09T16:00:46.892119+00:00,338.85,2320.96,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652847893,2026-02-09T16:00:47.893413+00:00,347.6,2321.0,11690.2,19.85,1690.621,3.16,0.053,0.065
1770652848894,2026-02-09T16:00:48.894758+00:00,339.91,2327.3,11690.2,19.91,1690.621,3.16,0.053,0.065
1770652849903,2026-02-09T16:00:49.903922+00:00,341.26,2327.1,11690.2,19.91,1690.621,3.16,0.053,0.065
1770652850905,2026-02-09T16:00:50.905864+00:00,345.81,2327.09,11690.2,19.91,1690.621,3.16,0.053,0.065
1770652851907,2026-02-09T16:00:51.907980+00:00,336.58,2327.14,11690.2,19.91,1690.621,3.16,0.053,0.065
1770652852909,2026-02-09T16:00:52.909618+00:00,347.19,2327.13,11690.2,19.91,1690.621,3.16,0.053,0.065
1770652853911,2026-02-09T16:00:53.911160+00:00,341.7,2327.09,11690.2,19.91,1690.621,3.16,0.053,0.065
1770652854914,2026-02-09T16:00:54.914834+00:00,342.93,2327.09,11690.2,19.91,1690.621,3.16,0.053,0.065
1770652855916,2026-02-09T16:00:55.916782+00:00,347.06,2327.09,11690.2,19.91,1690.621,3.16,0.053,0.065
1770652856918,2026-02-09T16:00:56.918910+00:00,339.82,2327.13,11690.2,19.91,1690.621,3.16,0.053,0.065
1770652857921,2026-02-09T16:00:57.921062+00:00,350.81,2327.09,11690.2,19.91,1690.621,3.16,0.053,0.065
1770652858925,2026-02-09T16:00:58.925861+00:00,341.57,2327.1,11690.2,19.91,1690.621,3.16,0.053,0.065
