timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1768902558318,2026-01-20T09:49:18.318276+00:00,0.0,832.93,31441.34,2.65,0.738,168.676,584.235,5.127
1768902559320,2026-01-20T09:49:19.320109+00:00,231.36,842.35,31441.34,2.68,0.738,168.676,588.308,5.174
1768902560322,2026-01-20T09:49:20.322474+00:00,268.6,846.77,31441.34,2.69,0.738,168.676,593.855,5.238
1768902561324,2026-01-20T09:49:21.324105+00:00,305.88,853.11,31441.34,2.71,0.738,168.676,599.358,5.305
1768902562326,2026-01-20T09:49:22.326582+00:00,287.89,859.91,31441.34,2.73,0.738,168.676,604.958,5.366
1768902563328,2026-01-20T09:49:23.328160+00:00,217.65,863.09,31441.34,2.75,0.738,168.676,608.666,5.414
1768902564329,2026-01-20T09:49:24.329259+00:00,291.0,862.67,31441.34,2.74,0.738,168.676,614.479,5.476
1768902565331,2026-01-20T09:49:25.331719+00:00,216.41,862.68,31441.34,2.74,0.738,168.676,618.55,5.529
1768902566333,2026-01-20T09:49:26.333894+00:00,306.72,862.85,31441.34,2.74,0.738,168.676,624.363,5.59
1768902567337,2026-01-20T09:49:27.337062+00:00,196.33,862.42,31441.34,2.74,0.738,168.676,628.432,5.636
1768902568339,2026-01-20T09:49:28.339329+00:00,270.77,863.46,31441.34,2.75,0.738,168.676,633.627,5.699
1768902569341,2026-01-20T09:49:29.341534+00:00,212.11,862.6,31441.34,2.74,0.738,168.676,637.161,5.745
1768902570343,2026-01-20T09:49:30.343964+00:00,276.16,862.7,31441.34,2.74,0.738,168.676,642.977,5.813
1768902571345,2026-01-20T09:49:31.345229+00:00,323.18,862.48,31441.34,2.74,0.738,168.676,648.214,5.878
1768902572347,2026-01-20T09:49:32.347232+00:00,296.87,862.62,31441.34,2.74,0.738,168.676,653.518,5.939
1768902573349,2026-01-20T09:49:33.349435+00:00,314.95,862.48,31441.34,2.74,0.738,168.676,659.261,6.004
1768902574351,2026-01-20T09:49:34.351370+00:00,313.67,862.83,31441.34,2.74,0.738,168.676,665.074,6.07
1768902575352,2026-01-20T09:49:35.352931+00:00,300.44,862.45,31441.34,2.74,0.738,168.676,670.886,6.136
1768902576355,2026-01-20T09:49:36.355864+00:00,278.91,862.87,31441.34,2.74,0.738,168.676,676.7,6.199
1768902577357,2026-01-20T09:49:37.357601+00:00,300.73,862.55,31441.34,2.74,0.738,168.676,682.511,6.265
1768902578360,2026-01-20T09:49:38.360006+00:00,307.01,862.64,31441.34,2.74,0.738,168.676,687.742,6.327
