timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1768900136366,2026-01-20T09:08:56.366601+00:00,0.04,869.17,31441.34,2.76,0.0,162.324,422.374,243.266
1768900137369,2026-01-20T09:08:57.369601+00:00,5.64,869.41,31441.34,2.77,0.0,162.324,431.254,251.346
1768900138372,2026-01-20T09:08:58.372013+00:00,9.31,892.39,31441.34,2.84,0.0,162.324,448.316,262.557
1768900139374,2026-01-20T09:08:59.374782+00:00,4.84,869.9,31441.34,2.77,0.0,162.324,463.627,275.605
1768900140376,2026-01-20T09:09:00.376616+00:00,7.92,869.28,31441.34,2.76,0.0,162.324,474.268,291.74
1768900141379,2026-01-20T09:09:01.379473+00:00,6.27,869.79,31441.34,2.77,0.0,162.324,488.887,299.835
1768900142382,2026-01-20T09:09:02.382051+00:00,8.72,869.47,31441.34,2.77,0.0,162.324,503.359,315.978
1768900143384,2026-01-20T09:09:03.384510+00:00,7.99,869.77,31441.34,2.77,0.0,179.816,518.556,332.123
1768900144386,2026-01-20T09:09:04.386512+00:00,8.85,869.37,31441.34,2.77,0.0,179.816,534.805,348.265
1768900145388,2026-01-20T09:09:05.388032+00:00,8.41,870.1,31441.34,2.77,0.0,179.816,552.094,364.41
1768900146389,2026-01-20T09:09:06.389413+00:00,7.1,871.73,31441.34,2.77,0.0,179.816,569.387,379.398
1768900147391,2026-01-20T09:09:07.391848+00:00,8.18,873.13,31441.34,2.78,0.0,179.816,586.676,392.039
1768900148394,2026-01-20T09:09:08.394276+00:00,8.66,872.98,31441.34,2.78,0.0,179.816,603.966,408.21
1768900149396,2026-01-20T09:09:09.396375+00:00,9.1,893.07,31441.34,2.84,0.0,179.816,621.257,422.711
1768900150398,2026-01-20T09:09:10.398898+00:00,9.12,893.74,31441.34,2.84,0.0,179.816,638.548,441.092
1768900151400,2026-01-20T09:09:11.400881+00:00,5.46,869.56,31441.34,2.77,0.0,179.816,652.409,453.222
1768900152403,2026-01-20T09:09:12.403374+00:00,8.1,870.09,31441.34,2.77,0.0,179.816,671.616,469.374
1768900153405,2026-01-20T09:09:13.405593+00:00,8.89,869.75,31441.34,2.77,0.0,179.816,689.289,485.52
1768900154407,2026-01-20T09:09:14.407397+00:00,8.38,869.34,31441.34,2.76,0.0,179.816,707.711,501.667
1768900155409,2026-01-20T09:09:15.409012+00:00,8.02,881.05,31441.34,2.8,0.0,179.816,724.997,517.811
1768900156412,2026-01-20T09:09:16.412017+00:00,7.89,881.45,31441.34,2.8,0.0,179.816,739.895,533.951
1768900157414,2026-01-20T09:09:17.414444+00:00,7.94,881.83,31441.34,2.8,0.0,179.816,758.4,550.1
1768900158416,2026-01-20T09:09:18.416619+00:00,8.74,882.02,31441.34,2.81,0.0,179.816,776.875,566.246
