timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1768487239143,2026-01-15T14:27:19.143265+00:00,1847.8,1069.45,31441.34,3.4,249.238,0.184,0.012,0.013
1768487240146,2026-01-15T14:27:20.146431+00:00,1856.09,1100.8,31441.34,3.5,249.238,0.184,0.012,0.013
1768487241147,2026-01-15T14:27:21.147497+00:00,1773.78,1084.81,31441.34,3.45,249.238,0.184,0.012,0.013
1768487242149,2026-01-15T14:27:22.149572+00:00,1731.44,1083.39,31441.34,3.45,249.238,0.184,0.012,0.013
1768487243152,2026-01-15T14:27:23.152879+00:00,1720.96,1089.26,31441.34,3.46,249.238,0.184,0.012,0.013
1768487244154,2026-01-15T14:27:24.154733+00:00,1788.03,1096.54,31441.34,3.49,249.238,0.184,0.012,0.013
1768487245157,2026-01-15T14:27:25.157899+00:00,1897.47,1102.02,31441.34,3.51,249.238,0.184,0.012,0.013
1768487246160,2026-01-15T14:27:26.160582+00:00,1743.3,1102.78,31441.34,3.51,249.238,0.184,0.012,0.013
1768487247162,2026-01-15T14:27:27.162496+00:00,1872.79,1097.07,31441.34,3.49,249.238,0.184,0.012,0.013
1768487248165,2026-01-15T14:27:28.165694+00:00,1869.67,1097.28,31441.34,3.49,249.238,0.184,0.012,0.013
1768487249167,2026-01-15T14:27:29.167836+00:00,1853.16,1074.64,31441.34,3.42,249.238,0.184,0.012,0.013
1768487250169,2026-01-15T14:27:30.169143+00:00,1750.38,1099.12,31441.34,3.5,249.238,0.184,0.012,0.013
1768487251171,2026-01-15T14:27:31.171759+00:00,1753.24,1098.85,31441.34,3.49,249.238,0.184,0.012,0.013
1768487252174,2026-01-15T14:27:32.174540+00:00,1633.79,1103.47,31441.34,3.51,249.238,0.184,0.012,0.013
1768487253177,2026-01-15T14:27:33.177138+00:00,1809.09,1097.9,31441.34,3.49,249.238,0.184,0.012,0.013
1768487254178,2026-01-15T14:27:34.178620+00:00,1500.37,1137.7,31441.34,3.62,249.238,0.184,0.012,0.013
1768487255184,2026-01-15T14:27:35.184956+00:00,1659.17,1094.24,31441.34,3.48,249.238,0.184,0.012,0.013
1768487256187,2026-01-15T14:27:36.187112+00:00,1710.8,1103.75,31441.34,3.51,249.238,0.184,0.012,0.013
1768487257189,2026-01-15T14:27:37.189166+00:00,1736.73,1103.75,31441.34,3.51,249.238,0.184,0.012,0.013
1768487258193,2026-01-15T14:27:38.193097+00:00,1920.28,1102.74,31441.34,3.51,249.238,0.184,0.012,0.013
1768487259195,2026-01-15T14:27:39.195003+00:00,1824.41,1103.47,31441.34,3.51,249.238,0.184,0.012,0.013
1768487260197,2026-01-15T14:27:40.197357+00:00,1805.95,1103.43,31441.34,3.51,249.238,0.184,0.012,0.013
1768487261198,2026-01-15T14:27:41.198082+00:00,1779.89,1113.34,31441.34,3.54,249.238,0.184,0.012,0.013
1768487262200,2026-01-15T14:27:42.200195+00:00,1698.99,1103.98,31441.34,3.51,249.238,0.184,0.012,0.013
1768487263203,2026-01-15T14:27:43.203713+00:00,1763.93,1104.19,31441.34,3.51,249.238,0.184,0.012,0.013
1768487264206,2026-01-15T14:27:44.206262+00:00,1863.16,1115.5,31441.34,3.55,249.238,0.184,0.012,0.013
1768487265208,2026-01-15T14:27:45.208921+00:00,1754.93,1113.82,31441.34,3.54,249.238,0.184,0.012,0.013
1768487266212,2026-01-15T14:27:46.212810+00:00,1833.8,1113.89,31441.34,3.54,249.238,0.184,0.012,0.013
1768487267213,2026-01-15T14:27:47.213726+00:00,1917.43,1114.57,31441.34,3.54,249.238,0.184,0.012,0.013
1768487268216,2026-01-15T14:27:48.216607+00:00,1843.84,1093.0,31441.34,3.48,249.238,0.184,0.012,0.013
1768487269219,2026-01-15T14:27:49.219112+00:00,1857.49,1078.68,31441.34,3.43,249.488,0.184,0.012,0.013
1768487270221,2026-01-15T14:27:50.221942+00:00,1771.25,1080.41,31441.34,3.44,250.652,0.184,0.012,0.013
1768487271224,2026-01-15T14:27:51.224376+00:00,2020.56,1091.51,31441.34,3.47,252.543,0.184,0.012,0.013
1768487272226,2026-01-15T14:27:52.226863+00:00,1575.95,1104.07,31441.34,3.51,253.07,0.184,0.012,0.013
1768487273228,2026-01-15T14:27:53.228758+00:00,1716.59,1126.42,31441.34,3.58,257.922,0.184,0.012,0.013
1768487274231,2026-01-15T14:27:54.231675+00:00,1651.76,1116.35,31441.34,3.55,261.812,0.184,0.012,0.013
1768487275233,2026-01-15T14:27:55.233848+00:00,1416.79,1114.05,31441.34,3.54,262.926,0.184,0.012,0.013
1768487276236,2026-01-15T14:27:56.236516+00:00,1842.92,1112.89,31441.34,3.54,263.32,0.184,0.012,0.013
1768487277238,2026-01-15T14:27:57.238249+00:00,2002.6,1090.22,31441.34,3.47,263.762,0.184,0.012,0.013
1768487278241,2026-01-15T14:27:58.241504+00:00,1583.68,1115.22,31441.34,3.55,267.648,0.184,0.012,0.013
1768487279244,2026-01-15T14:27:59.244307+00:00,1311.21,1095.78,31441.34,3.49,269.023,0.184,0.012,0.013
1768487280247,2026-01-15T14:28:00.247113+00:00,1959.09,1095.75,31441.34,3.49,269.023,0.184,0.012,0.013
1768487281249,2026-01-15T14:28:01.249725+00:00,2031.26,1097.74,31441.34,3.49,269.508,0.184,0.012,0.013
1768487282252,2026-01-15T14:28:02.252115+00:00,1920.22,1112.36,31441.34,3.54,270.5,0.184,0.012,0.013
1768487283254,2026-01-15T14:28:03.254815+00:00,1812.92,1105.05,31441.34,3.51,272.711,0.184,0.012,0.013
1768487284256,2026-01-15T14:28:04.256842+00:00,1894.79,1104.32,31441.34,3.51,273.316,0.184,0.012,0.013
1768487285257,2026-01-15T14:28:05.257772+00:00,1829.71,1122.7,31441.34,3.57,276.215,0.184,0.012,0.013
1768487286260,2026-01-15T14:28:06.260014+00:00,1547.85,1131.25,31441.34,3.6,277.648,0.184,0.012,0.013
1768487287261,2026-01-15T14:28:07.261063+00:00,1860.78,1133.86,31441.34,3.61,279.941,0.184,0.012,0.013
1768487288263,2026-01-15T14:28:08.263128+00:00,1790.63,1146.54,31441.34,3.65,281.383,0.184,0.012,0.013
1768487289266,2026-01-15T14:28:09.266677+00:00,1867.96,1138.07,31441.34,3.62,281.953,0.184,0.012,0.013
1768487290268,2026-01-15T14:28:10.268703+00:00,1858.3,1137.6,31441.34,3.62,282.336,0.184,0.012,0.013
1768487291271,2026-01-15T14:28:11.271429+00:00,1753.33,1110.94,31441.34,3.53,282.98,0.184,0.012,0.013
1768487292276,2026-01-15T14:28:12.276192+00:00,1824.97,1110.28,31441.34,3.53,283.824,0.184,0.012,0.013
1768487293278,2026-01-15T14:28:13.278021+00:00,1752.49,1136.45,31441.34,3.61,284.469,0.184,0.012,0.013
1768487294281,2026-01-15T14:28:14.281152+00:00,1688.12,1160.21,31441.34,3.69,286.094,0.184,0.012,0.013
1768487295282,2026-01-15T14:28:15.282896+00:00,1826.95,1119.51,31441.34,3.56,286.316,0.184,0.012,0.013
1768487296285,2026-01-15T14:28:16.285336+00:00,1915.59,1136.03,31441.34,3.61,289.016,0.184,0.012,0.013
1768487297288,2026-01-15T14:28:17.288126+00:00,1922.3,1141.84,31441.34,3.63,289.977,0.184,0.012,0.013
1768487298293,2026-01-15T14:28:18.293696+00:00,1742.7,1146.57,31441.34,3.65,294.066,0.184,0.012,0.013
1768487299295,2026-01-15T14:28:19.295591+00:00,1885.65,1149.95,31441.34,3.66,294.352,0.184,0.012,0.013
1768487300298,2026-01-15T14:28:20.298726+00:00,1954.71,1149.41,31441.34,3.66,294.77,0.184,0.012,0.013
1768487301300,2026-01-15T14:28:21.300897+00:00,1668.45,1171.11,31441.34,3.72,296.664,0.184,0.012,0.013
1768487302302,2026-01-15T14:28:22.302699+00:00,1807.43,1139.94,31441.34,3.63,297.152,0.184,0.012,0.013
1768487303305,2026-01-15T14:28:23.305157+00:00,1335.3,1138.75,31441.34,3.62,297.555,0.184,0.012,0.013
