timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1768847401510,2026-01-19T18:30:01.510477+00:00,0.04,779.75,31441.34,2.48,16.09,19.727,0.018,0.021
1768847402514,2026-01-19T18:30:02.514044+00:00,1824.74,780.87,31441.34,2.48,16.09,19.727,0.018,0.021
1768847403516,2026-01-19T18:30:03.516624+00:00,2205.69,781.41,31441.34,2.49,16.09,19.727,0.018,0.021
1768847404518,2026-01-19T18:30:04.518069+00:00,2119.4,780.72,31441.34,2.48,16.09,19.727,0.018,0.021
1768847405519,2026-01-19T18:30:05.519663+00:00,2046.0,780.59,31441.34,2.48,16.09,19.727,0.018,0.021
1768847406521,2026-01-19T18:30:06.521986+00:00,2151.6,780.57,31441.34,2.48,16.09,19.727,0.018,0.021
1768847407523,2026-01-19T18:30:07.523667+00:00,2070.63,780.36,31441.34,2.48,16.09,19.727,0.018,0.021
1768847408526,2026-01-19T18:30:08.526087+00:00,2201.92,780.0,31441.34,2.48,16.09,19.727,0.018,0.021
1768847409527,2026-01-19T18:30:09.527935+00:00,2175.82,780.21,31441.34,2.48,16.09,19.727,0.018,0.021
1768847410531,2026-01-19T18:30:10.531772+00:00,2102.3,780.14,31441.34,2.48,16.09,19.727,0.018,0.021
1768847411533,2026-01-19T18:30:11.533637+00:00,2079.88,780.68,31441.34,2.48,16.09,19.727,0.018,0.021
1768847412536,2026-01-19T18:30:12.536636+00:00,2063.71,780.54,31441.34,2.48,16.09,19.77,0.018,0.021
1768847413539,2026-01-19T18:30:13.539182+00:00,2197.56,779.89,31441.34,2.48,16.09,19.77,0.018,0.021
1768847414542,2026-01-19T18:30:14.542471+00:00,2165.82,780.48,31441.34,2.48,16.09,19.77,0.018,0.021
1768847415544,2026-01-19T18:30:15.544602+00:00,2196.54,780.68,31441.34,2.48,16.09,19.77,0.018,0.021
1768847416547,2026-01-19T18:30:16.547898+00:00,2120.29,780.94,31441.34,2.48,16.09,19.77,0.018,0.021
1768847417550,2026-01-19T18:30:17.550169+00:00,2172.86,780.45,31441.34,2.48,16.09,19.77,0.018,0.021
1768847418552,2026-01-19T18:30:18.552326+00:00,2166.39,780.79,31441.34,2.48,16.09,19.77,0.018,0.021
1768847419554,2026-01-19T18:30:19.554910+00:00,2160.69,780.78,31441.34,2.48,16.09,19.77,0.018,0.021
1768847420557,2026-01-19T18:30:20.557429+00:00,2161.71,780.34,31441.34,2.48,16.09,19.77,0.018,0.021
1768847421559,2026-01-19T18:30:21.559766+00:00,2143.97,781.13,31441.34,2.48,16.09,19.77,0.018,0.021
1768847422562,2026-01-19T18:30:22.562508+00:00,2188.14,780.42,31441.34,2.48,16.09,19.77,0.018,0.021
1768847423565,2026-01-19T18:30:23.565895+00:00,2184.89,781.59,31441.34,2.49,16.09,19.77,0.018,0.021
1768847424568,2026-01-19T18:30:24.568363+00:00,2181.9,781.0,31441.34,2.48,16.09,19.77,0.018,0.021
1768847425571,2026-01-19T18:30:25.571600+00:00,2083.95,780.47,31441.34,2.48,16.09,19.77,0.018,0.021
1768847426574,2026-01-19T18:30:26.574910+00:00,1898.27,780.78,31441.34,2.48,16.09,19.77,0.018,0.021
1768847427577,2026-01-19T18:30:27.577776+00:00,2165.35,780.88,31441.34,2.48,16.09,19.77,0.018,0.021
1768847428579,2026-01-19T18:30:28.579913+00:00,2211.31,780.32,31441.34,2.48,16.09,19.77,0.018,0.021
1768847429582,2026-01-19T18:30:29.582502+00:00,2197.95,780.59,31441.34,2.48,16.09,19.77,0.018,0.021
1768847430584,2026-01-19T18:30:30.584514+00:00,2245.32,780.74,31441.34,2.48,16.09,19.77,0.018,0.021
1768847431588,2026-01-19T18:30:31.588231+00:00,2259.04,780.68,31441.34,2.48,16.09,19.77,0.018,0.021
1768847432590,2026-01-19T18:30:32.590594+00:00,2146.92,780.79,31441.34,2.48,16.09,35.188,0.018,0.021
1768847433592,2026-01-19T18:30:33.592823+00:00,2148.28,780.6,31441.34,2.48,16.09,35.188,0.018,0.021
1768847434594,2026-01-19T18:30:34.594751+00:00,358.44,780.51,31441.34,2.48,16.09,35.188,0.018,0.022
