timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1768567139575,2026-01-16T12:38:59.575494+00:00,2188.83,833.39,31441.34,2.65,87.625,0.195,0.018,0.021
1768567140578,2026-01-16T12:39:00.578047+00:00,2163.28,834.18,31441.34,2.65,87.625,0.195,0.018,0.021
1768567141581,2026-01-16T12:39:01.581563+00:00,2094.62,833.19,31441.34,2.65,87.625,0.195,0.018,0.021
1768567142583,2026-01-16T12:39:02.583627+00:00,2061.75,834.77,31441.34,2.66,87.625,0.195,0.018,0.021
1768567143585,2026-01-16T12:39:03.585948+00:00,1938.89,836.86,31441.34,2.66,87.625,0.195,0.018,0.021
1768567144590,2026-01-16T12:39:04.590412+00:00,2037.44,836.93,31441.34,2.66,87.625,0.195,0.018,0.021
1768567145592,2026-01-16T12:39:05.592608+00:00,2116.58,834.3,31441.34,2.65,87.625,0.195,0.018,0.021
1768567146596,2026-01-16T12:39:06.596133+00:00,2093.86,833.54,31441.34,2.65,87.625,0.195,0.018,0.021
1768567147598,2026-01-16T12:39:07.598774+00:00,2168.65,835.47,31441.34,2.66,87.625,0.195,0.018,0.021
1768567148600,2026-01-16T12:39:08.600950+00:00,2133.47,835.26,31441.34,2.66,87.625,0.195,0.018,0.021
1768567149603,2026-01-16T12:39:09.603880+00:00,2168.49,834.6,31441.34,2.65,87.625,0.195,0.018,0.021
1768567150605,2026-01-16T12:39:10.605631+00:00,2083.68,835.35,31441.34,2.66,87.625,0.195,0.018,0.021
1768567151607,2026-01-16T12:39:11.607868+00:00,2036.63,833.83,31441.34,2.65,87.625,0.195,0.018,0.021
1768567152610,2026-01-16T12:39:12.610364+00:00,2015.7,834.4,31441.34,2.65,87.625,0.195,0.018,0.021
1768567153611,2026-01-16T12:39:13.611906+00:00,2170.71,834.76,31441.34,2.65,87.625,0.195,0.018,0.021
1768567154614,2026-01-16T12:39:14.614516+00:00,2140.6,833.18,31441.34,2.65,87.625,0.195,0.018,0.021
1768567155616,2026-01-16T12:39:15.616283+00:00,2158.47,834.73,31441.34,2.65,87.625,0.195,0.018,0.021
1768567156618,2026-01-16T12:39:16.618823+00:00,2015.84,835.06,31441.34,2.66,87.625,0.195,0.018,0.021
1768567157621,2026-01-16T12:39:17.621080+00:00,2145.19,833.8,31441.34,2.65,87.625,0.195,0.018,0.021
1768567158622,2026-01-16T12:39:18.622715+00:00,2263.18,835.37,31441.34,2.66,87.625,0.195,0.018,0.021
1768567159625,2026-01-16T12:39:19.625453+00:00,2138.25,835.14,31441.34,2.66,87.625,0.195,0.018,0.021
1768567160628,2026-01-16T12:39:20.628211+00:00,2097.6,835.54,31441.34,2.66,87.625,0.195,0.018,0.021
1768567161630,2026-01-16T12:39:21.630215+00:00,2047.14,836.12,31441.34,2.66,87.625,0.195,0.018,0.021
1768567162632,2026-01-16T12:39:22.632215+00:00,2218.49,833.5,31441.34,2.65,87.625,0.195,0.018,0.021
1768567163634,2026-01-16T12:39:23.634779+00:00,1991.42,834.08,31441.34,2.65,87.625,0.195,0.018,0.021
1768567164636,2026-01-16T12:39:24.636953+00:00,2250.08,834.77,31441.34,2.66,87.625,0.195,0.018,0.021
1768567165638,2026-01-16T12:39:25.638834+00:00,2208.78,835.08,31441.34,2.66,87.625,0.195,0.018,0.021
1768567166641,2026-01-16T12:39:26.641512+00:00,2071.58,834.72,31441.34,2.65,87.625,0.195,0.018,0.021
1768567167643,2026-01-16T12:39:27.643672+00:00,2177.69,834.3,31441.34,2.65,87.625,0.195,0.018,0.021
1768567168645,2026-01-16T12:39:28.645536+00:00,2102.47,834.82,31441.34,2.66,87.625,0.195,0.018,0.021
1768567169647,2026-01-16T12:39:29.647701+00:00,2113.84,834.5,31441.34,2.65,87.625,0.195,0.018,0.021
1768567170649,2026-01-16T12:39:30.649653+00:00,2216.18,834.92,31441.34,2.66,87.625,0.195,0.018,0.021
1768567171652,2026-01-16T12:39:31.652588+00:00,2040.35,834.56,31441.34,2.65,87.625,0.195,0.018,0.021
1768567172655,2026-01-16T12:39:32.655844+00:00,2074.04,833.67,31441.34,2.65,87.625,0.195,0.018,0.021
1768567173658,2026-01-16T12:39:33.658680+00:00,2151.82,834.14,31441.34,2.65,87.625,0.195,0.018,0.021
1768567174661,2026-01-16T12:39:34.661301+00:00,2179.17,834.4,31441.34,2.65,87.625,0.195,0.018,0.021
1768567175663,2026-01-16T12:39:35.663823+00:00,2140.47,832.78,31441.34,2.65,87.625,0.195,0.018,0.021
1768567176666,2026-01-16T12:39:36.666598+00:00,2082.65,835.16,31441.34,2.66,87.625,0.195,0.018,0.021
1768567177669,2026-01-16T12:39:37.669304+00:00,2009.47,834.88,31441.34,2.66,87.625,0.195,0.018,0.021
1768567178672,2026-01-16T12:39:38.672043+00:00,1751.98,834.01,31441.34,2.65,87.625,0.195,0.018,0.022
