timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1768487042493,2026-01-15T14:24:02.493517+00:00,2196.52,945.05,31441.34,3.01,152.004,0.055,0.008,0.007
1768487043495,2026-01-15T14:24:03.495377+00:00,2159.11,944.43,31441.34,3.0,152.004,0.055,0.008,0.007
1768487044497,2026-01-15T14:24:04.497532+00:00,2158.62,947.8,31441.34,3.01,152.004,0.055,0.008,0.007
1768487045500,2026-01-15T14:24:05.500098+00:00,2089.56,948.39,31441.34,3.02,152.004,0.055,0.008,0.007
1768487046503,2026-01-15T14:24:06.503243+00:00,2203.57,948.16,31441.34,3.02,152.004,0.055,0.008,0.007
1768487047506,2026-01-15T14:24:07.506029+00:00,2236.08,948.68,31441.34,3.02,152.004,0.055,0.008,0.007
1768487048508,2026-01-15T14:24:08.508604+00:00,2062.6,949.01,31441.34,3.02,152.004,0.055,0.008,0.007
1768487049510,2026-01-15T14:24:09.510286+00:00,2162.38,948.76,31441.34,3.02,152.004,0.055,0.008,0.007
1768487050514,2026-01-15T14:24:10.514059+00:00,2120.37,948.68,31441.34,3.02,152.004,0.055,0.008,0.007
1768487051516,2026-01-15T14:24:11.516218+00:00,2035.42,948.93,31441.34,3.02,152.004,0.055,0.008,0.007
1768487052518,2026-01-15T14:24:12.518543+00:00,2172.57,948.72,31441.34,3.02,152.004,0.055,0.008,0.007
1768487053521,2026-01-15T14:24:13.521103+00:00,2040.56,948.22,31441.34,3.02,152.004,0.055,0.008,0.007
1768487054526,2026-01-15T14:24:14.526068+00:00,2107.53,948.39,31441.34,3.02,152.004,0.098,0.008,0.007
1768487055528,2026-01-15T14:24:15.528071+00:00,2182.6,949.01,31441.34,3.02,152.004,0.098,0.008,0.007
1768487056530,2026-01-15T14:24:16.530361+00:00,2137.91,948.23,31441.34,3.02,152.004,0.098,0.008,0.007
1768487057531,2026-01-15T14:24:17.531913+00:00,2114.25,947.9,31441.34,3.01,152.004,0.098,0.008,0.007
1768487058533,2026-01-15T14:24:18.533899+00:00,2194.62,948.06,31441.34,3.02,152.004,0.098,0.008,0.007
1768487059536,2026-01-15T14:24:19.536409+00:00,2135.86,948.38,31441.34,3.02,152.004,0.098,0.008,0.007
1768487060539,2026-01-15T14:24:20.539091+00:00,2089.77,948.6,31441.34,3.02,152.004,0.098,0.008,0.007
1768487061542,2026-01-15T14:24:21.542599+00:00,2110.29,948.24,31441.34,3.02,152.004,0.098,0.008,0.007
1768487062546,2026-01-15T14:24:22.546869+00:00,2137.66,948.75,31441.34,3.02,152.004,0.098,0.008,0.007
1768487063548,2026-01-15T14:24:23.548469+00:00,2044.43,949.04,31441.34,3.02,152.004,0.098,0.008,0.007
1768487064551,2026-01-15T14:24:24.551278+00:00,2068.75,949.07,31441.34,3.02,152.004,0.098,0.008,0.007
1768487065554,2026-01-15T14:24:25.554097+00:00,2006.32,949.16,31441.34,3.02,152.004,0.098,0.008,0.007
1768487066555,2026-01-15T14:24:26.555921+00:00,2213.16,948.54,31441.34,3.02,152.004,0.098,0.008,0.007
1768487067557,2026-01-15T14:24:27.557991+00:00,2182.34,948.9,31441.34,3.02,152.004,0.098,0.008,0.007
1768487068560,2026-01-15T14:24:28.560192+00:00,2170.42,948.62,31441.34,3.02,152.004,0.098,0.008,0.007
1768487069562,2026-01-15T14:24:29.562916+00:00,2095.78,948.44,31441.34,3.02,152.004,0.098,0.008,0.007
1768487070565,2026-01-15T14:24:30.565898+00:00,2123.86,948.7,31441.34,3.02,152.004,0.098,0.008,0.007
1768487071567,2026-01-15T14:24:31.567864+00:00,2279.43,948.65,31441.34,3.02,152.004,0.098,0.008,0.007
1768487072569,2026-01-15T14:24:32.569800+00:00,2009.7,949.38,31441.34,3.02,152.004,0.098,0.008,0.007
1768487073571,2026-01-15T14:24:33.571080+00:00,1925.58,948.9,31441.34,3.02,152.004,0.098,0.008,0.007
1768487074573,2026-01-15T14:24:34.573209+00:00,2060.65,949.73,31441.34,3.02,152.004,0.098,0.008,0.007
1768487075575,2026-01-15T14:24:35.575526+00:00,1894.12,948.99,31441.34,3.02,152.004,0.098,0.008,0.008
