timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1769706705879,2026-01-29T17:11:45.879868+00:00,0.04,787.8,31441.34,2.51,67.922,6.422,0.01,0.01
1769706706882,2026-01-29T17:11:46.882319+00:00,1459.48,790.58,31441.34,2.51,67.922,6.422,0.01,0.01
1769706707884,2026-01-29T17:11:47.884237+00:00,1716.36,790.89,31441.34,2.52,67.922,6.422,0.01,0.01
1769706708886,2026-01-29T17:11:48.886323+00:00,1623.24,789.72,31441.34,2.51,67.922,6.422,0.01,0.01
1769706709888,2026-01-29T17:11:49.888034+00:00,1842.85,790.16,31441.34,2.51,67.922,6.422,0.01,0.01
1769706710890,2026-01-29T17:11:50.890554+00:00,1599.9,789.96,31441.34,2.51,67.922,6.422,0.01,0.01
1769706711893,2026-01-29T17:11:51.893275+00:00,1772.16,790.16,31441.34,2.51,67.922,6.422,0.01,0.01
1769706712895,2026-01-29T17:11:52.895051+00:00,1707.05,789.56,31441.34,2.51,67.922,6.422,0.01,0.01
1769706713898,2026-01-29T17:11:53.898859+00:00,1918.2,790.46,31441.34,2.51,67.922,6.422,0.01,0.01
1769706714900,2026-01-29T17:11:54.900231+00:00,1827.5,790.55,31441.34,2.51,67.922,6.422,0.01,0.01
1769706715902,2026-01-29T17:11:55.902898+00:00,1706.16,790.53,31441.34,2.51,67.922,6.422,0.01,0.01
1769706716904,2026-01-29T17:11:56.904624+00:00,1765.83,790.57,31441.34,2.51,67.922,6.422,0.01,0.01
1769706717907,2026-01-29T17:11:57.907073+00:00,1686.85,790.38,31441.34,2.51,67.922,6.422,0.01,0.01
1769706718908,2026-01-29T17:11:58.908563+00:00,1621.81,790.63,31441.34,2.51,67.922,6.422,0.01,0.01
1769706719910,2026-01-29T17:11:59.910672+00:00,1777.05,790.68,31441.34,2.51,67.922,6.422,0.01,0.01
1769706720912,2026-01-29T17:12:00.912441+00:00,1543.79,789.06,31441.34,2.51,67.922,6.422,0.01,0.01
1769706721914,2026-01-29T17:12:01.914350+00:00,1689.72,791.28,31441.34,2.52,67.922,6.422,0.01,0.01
1769706722916,2026-01-29T17:12:02.916621+00:00,1699.17,789.87,31441.34,2.51,67.922,6.422,0.01,0.01
1769706723919,2026-01-29T17:12:03.919321+00:00,1670.33,790.29,31441.34,2.51,67.922,6.422,0.01,0.01
1769706724921,2026-01-29T17:12:04.921444+00:00,1857.42,790.5,31441.34,2.51,67.922,6.422,0.01,0.01
1769706725923,2026-01-29T17:12:05.923963+00:00,1877.49,790.3,31441.34,2.51,67.922,6.422,0.01,0.01
1769706726927,2026-01-29T17:12:06.927428+00:00,1757.04,790.54,31441.34,2.51,67.922,6.422,0.01,0.01
1769706727929,2026-01-29T17:12:07.929713+00:00,1838.53,790.89,31441.34,2.52,67.922,6.422,0.01,0.01
1769706728932,2026-01-29T17:12:08.932289+00:00,1734.16,789.81,31441.34,2.51,67.922,6.422,0.01,0.01
1769706729934,2026-01-29T17:12:09.934846+00:00,1786.61,792.38,31441.34,2.52,67.922,6.422,0.01,0.01
1769706730938,2026-01-29T17:12:10.938391+00:00,1795.01,792.61,31441.34,2.52,67.922,6.422,0.01,0.01
1769706731940,2026-01-29T17:12:11.940557+00:00,1756.26,792.61,31441.34,2.52,67.922,6.422,0.01,0.01
1769706732943,2026-01-29T17:12:12.943728+00:00,1708.74,792.55,31441.34,2.52,67.922,6.422,0.01,0.01
1769706733945,2026-01-29T17:12:13.945427+00:00,1717.23,793.03,31441.34,2.52,67.922,6.422,0.01,0.01
1769706734947,2026-01-29T17:12:14.947538+00:00,1751.65,793.08,31441.34,2.52,67.922,6.422,0.01,0.01
1769706735950,2026-01-29T17:12:15.950980+00:00,1776.55,793.24,31441.34,2.52,67.922,6.422,0.01,0.01
1769706736953,2026-01-29T17:12:16.953802+00:00,1799.59,793.32,31441.34,2.52,67.922,6.422,0.01,0.01
1769706737956,2026-01-29T17:12:17.956569+00:00,1944.71,793.54,31441.34,2.52,67.922,6.422,0.01,0.01
1769706738958,2026-01-29T17:12:18.958781+00:00,1664.2,792.11,31441.34,2.52,67.922,6.422,0.01,0.01
1769706739961,2026-01-29T17:12:19.961083+00:00,1822.27,793.03,31441.34,2.52,67.922,6.422,0.01,0.01
1769706740963,2026-01-29T17:12:20.963274+00:00,1635.41,792.55,31441.34,2.52,67.922,6.422,0.01,0.01
1769706741965,2026-01-29T17:12:21.965112+00:00,1421.95,792.96,31441.34,2.52,67.922,6.422,0.01,0.01
1769706742969,2026-01-29T17:12:22.969069+00:00,1732.68,793.3,31441.34,2.52,67.922,6.422,0.01,0.01
1769706743971,2026-01-29T17:12:23.971505+00:00,1568.46,792.54,31441.34,2.52,67.922,6.422,0.01,0.01
1769706744973,2026-01-29T17:12:24.973347+00:00,1436.9,792.44,31441.34,2.52,67.922,6.422,0.01,0.01
1769706745975,2026-01-29T17:12:25.975943+00:00,1586.76,793.01,31441.34,2.52,67.922,6.422,0.01,0.01
1769706746977,2026-01-29T17:12:26.977769+00:00,1965.67,793.51,31441.34,2.52,67.922,6.422,0.01,0.01
1769706747980,2026-01-29T17:12:27.980635+00:00,1859.27,793.3,31441.34,2.52,67.922,6.422,0.01,0.01
1769706748982,2026-01-29T17:12:28.982901+00:00,1835.75,793.33,31441.34,2.52,67.922,6.422,0.01,0.01
1769706749985,2026-01-29T17:12:29.985433+00:00,1742.11,793.59,31441.34,2.52,67.922,6.422,0.01,0.01
1769706750989,2026-01-29T17:12:30.989960+00:00,1930.96,793.07,31441.34,2.52,67.922,6.422,0.01,0.01
1769706752992,2026-01-29T17:12:32.992043+00:00,1795.04,793.98,31441.34,2.53,67.922,6.422,0.01,0.01
1769706753996,2026-01-29T17:12:33.996656+00:00,1738.61,793.12,31441.34,2.52,67.922,6.422,0.01,0.01
1769706754999,2026-01-29T17:12:34.999562+00:00,1840.79,792.32,31441.34,2.52,67.922,6.422,0.01,0.01
1769706756007,2026-01-29T17:12:36.007153+00:00,1818.57,793.72,31441.34,2.52,67.922,6.422,0.01,0.01
1769706757009,2026-01-29T17:12:37.009690+00:00,1769.4,793.51,31441.34,2.52,67.922,6.422,0.01,0.01
1769706758010,2026-01-29T17:12:38.010920+00:00,1860.56,793.24,31441.34,2.52,67.922,6.422,0.01,0.01
1769706759014,2026-01-29T17:12:39.014195+00:00,1587.04,793.06,31441.34,2.52,67.922,6.422,0.01,0.01
1769706760018,2026-01-29T17:12:40.018246+00:00,1585.67,793.0,31441.34,2.52,67.922,6.422,0.01,0.01
1769706761020,2026-01-29T17:12:41.020738+00:00,1791.71,793.76,31441.34,2.52,67.922,6.422,0.01,0.01
1769706762023,2026-01-29T17:12:42.023887+00:00,1800.28,790.96,31441.34,2.52,67.922,6.422,0.01,0.01
1769706763026,2026-01-29T17:12:43.026454+00:00,1665.16,792.75,31441.34,2.52,67.922,6.422,0.01,0.01
1769706764028,2026-01-29T17:12:44.028771+00:00,1863.99,793.02,31441.34,2.52,67.922,6.422,0.01,0.01
1769706765031,2026-01-29T17:12:45.031946+00:00,1824.93,793.38,31441.34,2.52,67.922,6.422,0.01,0.01
1769706766033,2026-01-29T17:12:46.033821+00:00,1755.96,792.93,31441.34,2.52,67.922,6.422,0.01,0.01
1769706767036,2026-01-29T17:12:47.036455+00:00,1824.86,790.89,31441.34,2.52,67.922,6.422,0.01,0.01
1769706768039,2026-01-29T17:12:48.039365+00:00,991.84,790.96,31441.34,2.52,67.922,6.422,0.01,0.011
