timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1768645397471,2026-01-17T10:23:17.471654+00:00,0.0,258.16,31441.34,0.82,1.16,0.0,0.008,0.007
1768645398474,2026-01-17T10:23:18.474449+00:00,801.93,263.97,31441.34,0.84,1.16,0.0,0.008,0.007
1768645399477,2026-01-17T10:23:19.477151+00:00,1005.74,260.43,31441.34,0.83,1.16,0.0,0.008,0.007
1768645400480,2026-01-17T10:23:20.480099+00:00,1005.78,260.85,31441.34,0.83,1.16,0.0,0.008,0.007
1768645401481,2026-01-17T10:23:21.481555+00:00,1005.29,256.32,31441.34,0.82,1.16,0.0,0.008,0.007
1768645402484,2026-01-17T10:23:22.484284+00:00,1006.73,255.26,31441.34,0.81,1.16,0.0,0.008,0.007
1768645403485,2026-01-17T10:23:23.485529+00:00,1004.23,260.93,31441.34,0.83,1.16,0.0,0.008,0.007
1768645404488,2026-01-17T10:23:24.488202+00:00,1004.93,261.36,31441.34,0.83,1.16,0.0,0.008,0.007
1768645405489,2026-01-17T10:23:25.489684+00:00,1006.91,262.18,31441.34,0.83,1.16,0.0,0.008,0.007
1768645406491,2026-01-17T10:23:26.491239+00:00,1005.82,262.5,31441.34,0.83,1.16,0.0,0.008,0.007
1768645407494,2026-01-17T10:23:27.494306+00:00,1004.12,266.44,31441.34,0.85,1.16,0.0,0.008,0.007
1768645408496,2026-01-17T10:23:28.496894+00:00,1006.94,262.04,31441.34,0.83,1.16,0.0,0.008,0.007
1768645409500,2026-01-17T10:23:29.500019+00:00,1006.69,264.08,31441.34,0.84,1.16,0.0,0.008,0.007
1768645410500,2026-01-17T10:23:30.500760+00:00,1006.08,263.68,31441.34,0.84,1.16,0.0,0.008,0.007
1768645411502,2026-01-17T10:23:31.502506+00:00,1005.06,268.21,31441.34,0.85,1.16,0.0,0.008,0.007
1768645412504,2026-01-17T10:23:32.504839+00:00,1005.69,263.61,31441.34,0.84,1.16,0.0,0.008,0.007
1768645413508,2026-01-17T10:23:33.508044+00:00,1003.97,263.7,31441.34,0.84,1.16,0.0,0.008,0.007
1768645414510,2026-01-17T10:23:34.510637+00:00,1006.58,268.04,31441.34,0.85,1.16,0.0,0.008,0.007
1768645415512,2026-01-17T10:23:35.512802+00:00,1007.31,263.62,31441.34,0.84,1.16,0.0,0.008,0.007
1768645416515,2026-01-17T10:23:36.515292+00:00,1004.28,267.82,31441.34,0.85,1.16,0.0,0.008,0.007
1768645417517,2026-01-17T10:23:37.517261+00:00,1005.45,268.05,31441.34,0.85,1.16,0.0,0.008,0.007
1768645418519,2026-01-17T10:23:38.519870+00:00,877.58,263.51,31441.34,0.84,1.16,0.0,0.008,0.007
1768645419521,2026-01-17T10:23:39.521577+00:00,0.37,262.59,31441.34,0.84,1.16,0.0,0.008,0.008
