timestamp,timestamp_iso,cpu_percent,mem_mb,mem_limit_mb,mem_percent,blk_read_mb,blk_write_mb,net_rx_mb,net_tx_mb
1769539436278,2026-01-27T18:43:56.278595+00:00,0.0,1034.04,11690.2,8.85,751.449,0.742,0.022,0.027
1769539437280,2026-01-27T18:43:57.280736+00:00,322.23,1038.03,11690.2,8.88,751.449,0.742,0.022,0.027
1769539438282,2026-01-27T18:43:58.282955+00:00,394.82,1039.42,11690.2,8.89,751.449,0.742,0.022,0.027
1769539439285,2026-01-27T18:43:59.285191+00:00,395.94,1036.85,11690.2,8.87,751.449,0.742,0.022,0.027
1769539440287,2026-01-27T18:44:00.287598+00:00,390.72,1031.39,11690.2,8.82,751.449,0.742,0.022,0.027
1769539441289,2026-01-27T18:44:01.289484+00:00,396.63,1033.96,11690.2,8.84,751.449,0.742,0.022,0.027
1769539442291,2026-01-27T18:44:02.291608+00:00,394.55,1023.81,11690.2,8.76,751.449,0.742,0.022,0.027
1769539443293,2026-01-27T18:44:03.293489+00:00,391.87,1032.04,11690.2,8.83,751.449,0.742,0.022,0.027
1769539444294,2026-01-27T18:44:04.294953+00:00,396.13,1032.19,11690.2,8.83,751.449,0.742,0.022,0.027
1769539445297,2026-01-27T18:44:05.297837+00:00,393.18,1031.95,11690.2,8.83,751.449,0.742,0.022,0.027
1769539446299,2026-01-27T18:44:06.299340+00:00,394.97,1031.93,11690.2,8.83,751.449,0.742,0.022,0.027
1769539447301,2026-01-27T18:44:07.301414+00:00,395.65,1032.28,11690.2,8.83,751.449,0.742,0.022,0.027
1769539448305,2026-01-27T18:44:08.305377+00:00,392.5,1032.19,11690.2,8.83,751.449,0.742,0.022,0.027
1769539449308,2026-01-27T18:44:09.308094+00:00,393.06,1032.57,11690.2,8.83,751.449,0.742,0.022,0.027
1769539450313,2026-01-27T18:44:10.313697+00:00,395.23,1032.62,11690.2,8.83,751.449,0.742,0.022,0.027
1769539451316,2026-01-27T18:44:11.316202+00:00,395.02,1027.82,11690.2,8.79,751.449,0.742,0.022,0.027
1769539452317,2026-01-27T18:44:12.317216+00:00,392.0,1031.94,11690.2,8.83,751.449,0.742,0.022,0.027
1769539453318,2026-01-27T18:44:13.318705+00:00,394.02,1024.77,11690.2,8.77,751.449,0.742,0.022,0.027
1769539454321,2026-01-27T18:44:14.321002+00:00,396.9,1032.11,11690.2,8.83,751.449,0.742,0.022,0.027
1769539455324,2026-01-27T18:44:15.324200+00:00,395.3,1031.95,11690.2,8.83,751.449,0.742,0.022,0.027
1769539456324,2026-01-27T18:44:16.324850+00:00,393.94,1026.79,11690.2,8.78,751.449,0.742,0.022,0.027
1769539457326,2026-01-27T18:44:17.326492+00:00,394.8,1032.11,11690.2,8.83,751.449,0.742,0.022,0.027
1769539458328,2026-01-27T18:44:18.328257+00:00,397.5,1032.37,11690.2,8.83,751.449,0.742,0.022,0.027
1769539459329,2026-01-27T18:44:19.329880+00:00,393.47,1031.98,11690.2,8.83,751.449,0.742,0.022,0.027
1769539460332,2026-01-27T18:44:20.332745+00:00,394.56,1032.12,11690.2,8.83,751.449,0.742,0.022,0.027
1769539461336,2026-01-27T18:44:21.336229+00:00,393.97,1024.7,11690.2,8.77,751.449,0.742,0.022,0.027
1769539462340,2026-01-27T18:44:22.340103+00:00,392.96,1032.11,11690.2,8.83,751.449,0.742,0.022,0.027
1769539463342,2026-01-27T18:44:23.342261+00:00,395.09,1031.95,11690.2,8.83,751.449,0.742,0.022,0.027
1769539464343,2026-01-27T18:44:24.343765+00:00,394.43,1023.84,11690.2,8.76,751.449,0.742,0.022,0.027
1769539465345,2026-01-27T18:44:25.345093+00:00,394.09,1024.9,11690.2,8.77,751.449,0.742,0.022,0.027
1769539466347,2026-01-27T18:44:26.347219+00:00,394.99,1031.96,11690.2,8.83,751.449,0.742,0.022,0.027
1769539467349,2026-01-27T18:44:27.349641+00:00,395.82,1031.96,11690.2,8.83,751.449,0.742,0.022,0.027
