host,model,backend,device,net_rx_mbps_mean,net_rx_mbps_std,net_tx_mbps_mean,net_tx_mbps_std,duration_sec,num_samples
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,3.210820,0.691894,19.659837,4.195222,122.020,123
edge-asus,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,5.137407,1.292608,31.338582,7.842229,122.023,123
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,2.311391,0.640012,13.835662,3.594811,122.021,123
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,3.826663,0.861381,23.073354,5.120230,122.023,123
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,3.707411,0.828605,22.490221,4.977822,122.021,123
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,5.306361,1.369740,32.347536,8.325254,122.022,123
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,2.932715,0.732001,17.621688,4.440576,122.021,123
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,3.797380,1.006238,23.002446,6.092890,122.022,123
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,3.127385,0.686915,19.119029,4.181686,122.020,123
edge-asus,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,5.408251,1.146193,32.965059,7.020405,122.023,123
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,2.251225,0.618076,13.537115,3.712663,122.023,123
edge-asus,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,3.835202,0.792031,23.404223,4.799825,121.022,122
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,3.662902,0.804294,22.404437,4.986613,122.020,123
edge-asus,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,5.429778,1.234773,33.096738,7.341765,122.023,123
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,2.821440,0.708462,17.257554,4.360172,122.021,123
edge-asus,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,3.850975,0.995544,23.403675,6.155962,122.023,123
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-cpu,10.155164,2.312816,0.029636,0.006695,122.023,123
edge-asus,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,15.778941,4.032435,0.044722,0.010390,122.024,123
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-cpu,9.216045,1.798797,0.027867,0.005577,121.021,122
edge-asus,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,15.761231,3.341380,0.045717,0.009513,122.023,123
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-cpu,10.956028,2.518045,0.032700,0.007627,122.022,123
edge-asus,r3d_18,vaccel-remote-ptc,edge-asus-gpu,16.952725,3.408706,0.048558,0.010805,121.023,122
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-cpu,10.625700,2.369547,0.031994,0.007395,122.022,123
edge-asus,r3d_18,vaccel-remote-sol,edge-asus-gpu,16.054177,3.341647,0.047100,0.010124,122.022,123
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-cpu,8.139186,1.996509,0.071524,0.017440,121.023,122
edge-asus,resnet50,vaccel-remote-ptc,edge-asus-gpu,8.385698,1.832036,0.074677,0.016419,121.024,122
edge-asus,resnet50,vaccel-remote-sol,edge-asus-cpu,8.124711,1.841965,0.074593,0.016279,121.021,122
edge-asus,resnet50,vaccel-remote-sol,edge-asus-gpu,8.218505,2.091868,0.075675,0.019216,121.024,122
edge-asus,swin3d_b,vaccel-remote-ptc,edge-asus-cpu,8.230582,1.850736,0.023939,0.005537,121.024,122
edge-asus,swin3d_b,vaccel-remote-ptc,edge-asus-gpu,15.486088,4.005061,0.044136,0.011466,122.023,123
edge-asus,swin3d_b,vaccel-remote-sol,edge-asus-cpu,7.715216,2.165076,0.023386,0.005823,122.022,123
edge-asus,swin3d_b,vaccel-remote-sol,edge-asus-gpu,15.234190,3.865620,0.044811,0.011262,122.024,123
edge-asus,swin3d_s,vaccel-remote-ptc,edge-asus-cpu,10.194294,2.721471,0.029943,0.008108,122.022,123
edge-asus,swin3d_s,vaccel-remote-ptc,edge-asus-gpu,15.701279,3.948700,0.045251,0.011639,122.023,123
edge-asus,swin3d_s,vaccel-remote-sol,edge-asus-cpu,10.273638,2.653437,0.030743,0.007427,122.022,123
edge-asus,swin3d_s,vaccel-remote-sol,edge-asus-gpu,15.488536,3.949221,0.046638,0.011850,122.024,123
edge-asus,swin_s,vaccel-remote-ptc,edge-asus-cpu,7.508870,1.786912,0.066652,0.015689,121.021,122
edge-asus,swin_s,vaccel-remote-ptc,edge-asus-gpu,8.331242,2.315263,0.073451,0.020373,121.024,122
edge-asus,swin_s,vaccel-remote-sol,edge-asus-cpu,8.016230,1.875403,0.073698,0.016800,121.021,122
edge-asus,swin_s,vaccel-remote-sol,edge-asus-gpu,8.164199,2.003357,0.074785,0.018188,121.024,122
edge-asus,swin_t,vaccel-remote-ptc,edge-asus-cpu,8.257452,1.539335,0.073063,0.013824,121.022,122
edge-asus,swin_t,vaccel-remote-ptc,edge-asus-gpu,8.376484,2.500765,0.075352,0.022435,121.023,122
edge-asus,swin_t,vaccel-remote-sol,edge-asus-cpu,8.204271,1.656945,0.078307,0.015883,121.022,122
edge-asus,swin_t,vaccel-remote-sol,edge-asus-gpu,8.297426,2.281185,0.077593,0.021696,121.023,122
edge-asus,swin_v2_b,vaccel-remote-ptc,edge-asus-cpu,5.288512,1.306526,0.048588,0.011970,121.022,122
edge-asus,swin_v2_b,vaccel-remote-ptc,edge-asus-gpu,8.282171,2.282596,0.073713,0.020324,121.024,122
edge-asus,swin_v2_b,vaccel-remote-sol,edge-asus-cpu,6.055621,1.420556,0.056122,0.012726,121.020,122
edge-asus,swin_v2_b,vaccel-remote-sol,edge-asus-gpu,8.193944,2.051618,0.075241,0.018499,121.023,122
robot,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-cpu,19.664706,3.829340,3.236561,0.620504,121.028,122
robot,deeplabv3_resnet101,vaccel-remote-ptc,edge-asus-gpu,31.374188,7.253839,5.179126,1.213377,121.038,122
robot,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-cpu,14.168814,3.452995,2.330111,0.597569,121.024,122
robot,deeplabv3_resnet101,vaccel-remote-sol,edge-asus-gpu,23.454957,4.693444,3.857851,0.796832,121.044,122
robot,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-cpu,22.668807,4.458016,3.737270,0.751984,121.034,122
robot,deeplabv3_resnet50,vaccel-remote-ptc,edge-asus-gpu,32.398295,7.841025,5.349502,1.283886,121.045,122
robot,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-cpu,17.958046,3.992281,2.956518,0.689708,121.023,122
robot,deeplabv3_resnet50,vaccel-remote-sol,edge-asus-gpu,23.249794,5.703621,3.828362,0.951231,121.035,122
robot,fcn_resnet101,vaccel-remote-ptc,edge-asus-cpu,19.118333,3.674886,3.152012,0.603726,121.026,122
robot,fcn_resnet101,vaccel-remote-ptc,edge-asus-gpu,33.012870,6.128975,5.451892,1.048429,121.039,122
robot,fcn_resnet101,vaccel-remote-sol,edge-asus-cpu,13.793584,3.397693,2.269432,0.587180,121.034,122
robot,fcn_resnet101,vaccel-remote-sol,edge-asus-gpu,23.923756,4.394544,3.866683,0.711563,120.045,121
robot,fcn_resnet50,vaccel-remote-ptc,edge-asus-cpu,22.430007,4.378416,3.692287,0.762174,121.027,122
robot,fcn_resnet50,vaccel-remote-ptc,edge-asus-gpu,33.149407,6.626374,5.473629,1.138548,121.041,122
robot,fcn_resnet50,vaccel-remote-sol,edge-asus-cpu,17.275191,3.714417,2.844348,0.662096,121.029,122
robot,fcn_resnet50,vaccel-remote-sol,edge-asus-gpu,23.557008,5.680069,3.882289,0.942731,121.032,122
robot,r2plus1d_18,vaccel-remote-ptc,edge-asus-cpu,0.024500,0.004559,10.237798,2.154864,121.031,122
robot,r2plus1d_18,vaccel-remote-ptc,edge-asus-gpu,0.037469,0.008778,15.907711,3.826137,121.058,122
robot,r2plus1d_18,vaccel-remote-sol,edge-asus-cpu,0.022550,0.003823,9.271231,1.621565,120.038,121
robot,r2plus1d_18,vaccel-remote-sol,edge-asus-gpu,0.038463,0.007212,15.889878,3.045764,121.068,122
