host,model,backend,device,gpu_count,gpu_names,power_draw_w_mean,power_draw_w_std,util_gpu_percent_mean,util_gpu_percent_std,util_mem_percent_mean,util_mem_percent_std,mem_used_mb_mean,mem_used_mb_std,temp_c_mean,temp_c_std,duration_sec,num_samples,gpu_energy_j
edge-asus,deeplabv3_resnet101,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.633651,1.151688,2.539683,2.969824,0.396825,0.489239,1128.750000,0.000000,42.396825,0.767178,62.012,63,1341.546
edge-asus,deeplabv3_resnet101,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.092698,1.629781,5.587302,2.652551,0.809524,0.392677,1172.620000,0.000000,43.349206,0.893694,62.012,63,1494.036
edge-asus,deeplabv3_resnet50,vaccel-remote-ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.138889,1.629488,3.380952,6.365653,0.841270,1.615464,1284.620000,0.000000,41.492063,1.206767,62.010,63,1372.832
edge-asus,deeplabv3_resnet50,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.892857,0.768421,2.238095,2.300547,0.492063,0.499937,1028.750000,0.000000,40.047619,0.998866,62.011,63,1233.576
edge-asus,deeplabv3_resnet50,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.723810,1.044331,3.952381,1.914262,0.809524,0.392677,1098.620000,0.000000,40.888889,1.070693,62.012,63,1347.137
edge-asus,fcn_resnet101,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.081429,0.996212,2.714286,2.891853,0.460317,0.498423,1118.620000,0.000000,42.603175,0.724617,62.011,63,1307.280
edge-asus,fcn_resnet101,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.073175,1.762093,4.619048,2.228449,0.793651,0.404684,1172.620000,0.000000,44.476190,0.793968,62.012,63,1430.814
edge-asus,fcn_resnet50,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.340476,0.833399,1.730159,1.953478,0.428571,0.494872,1020.620000,0.000000,41.000000,0.816497,62.011,63,1199.322
edge-asus,fcn_resnet50,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.031270,0.916694,2.619048,1.684934,0.682540,0.465488,1098.620000,0.000000,43.857143,0.709508,62.010,63,1304.149
edge-asus,mc3_18,vaccel-remote-ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.134444,0.990592,3.015873,1.666591,0.761905,0.425918,1058.620000,0.000000,39.555556,0.684935,62.011,63,1310.568
edge-asus,mc3_18,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.582698,1.007918,3.142857,1.592215,0.793651,0.404684,1096.810000,0.000000,42.873016,0.745187,62.012,63,1338.386
edge-asus,mc3_18,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.941429,1.052786,2.857143,1.753519,0.714286,0.451754,1660.750000,0.000000,46.095238,0.461684,62.012,63,1360.632
edge-asus,r2plus1d_18,vaccel-remote-ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,23.553810,1.407783,4.412698,2.460061,1.888889,1.114281,1170.620000,0.000000,41.634921,0.696968,62.012,63,1460.619
edge-asus,r2plus1d_18,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.705397,1.065496,2.523810,1.917812,0.634921,0.481452,1104.810000,0.000000,42.714286,0.602339,62.012,63,1345.995
edge-asus,r2plus1d_18,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,24.451746,1.896151,4.920635,2.934749,2.111111,1.248632,2030.750000,0.000000,44.873016,0.487692,62.012,63,1516.302
edge-asus,r3d_18,vaccel-remote-ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.445556,1.029308,2.492063,1.917944,1.190476,0.973574,1132.620000,0.000000,40.492063,0.753258,62.012,63,1329.882
edge-asus,r3d_18,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.582381,1.024898,2.095238,1.933122,0.539683,0.498423,1100.810000,0.000000,42.650794,0.670435,62.011,63,1338.345
edge-asus,r3d_18,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,22.155238,1.772011,2.857143,1.841817,1.349206,0.911283,1834.750000,0.000000,45.031746,0.306970,62.013,63,1373.913
edge-asus,resnet50,vaccel-remote-ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,19.062222,0.663709,1.857143,1.124858,0.476190,0.499433,1050.750000,0.000000,39.015873,0.678281,62.012,63,1182.087
edge-asus,resnet50,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.214286,0.933518,3.603175,1.241347,0.365079,0.481452,926.770000,0.056569,43.174603,0.379627,62.010,63,1315.498
edge-asus,resnet50,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,20.058889,0.657166,2.301587,0.704519,0.460317,0.498423,1090.620000,0.000000,43.190476,0.392677,62.012,63,1243.892
edge-asus,swin3d_b,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.508254,0.982256,1.587302,1.865603,0.396825,0.489239,1092.810000,0.000000,42.539683,0.638087,62.012,63,1333.770
edge-asus,swin3d_b,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,31.830794,4.095311,8.666667,5.906682,3.539683,2.486953,1658.750000,0.000000,47.698413,1.352657,62.012,63,1973.891
edge-asus,swin3d_s,vaccel-remote-ptc,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,41.878413,5.380000,13.333333,10.236877,5.904762,4.410357,1438.714921,0.057704,44.174603,2.446505,62.012,63,2596.964
edge-asus,swin3d_s,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.472540,1.017362,2.682540,1.815501,0.682540,0.465488,1088.810000,0.000000,42.476190,0.559397,62.012,63,1331.555
edge-asus,swin3d_s,vaccel-remote-torch,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,29.831429,2.702486,7.396825,5.391174,2.523810,1.850415,1284.750000,0.000000,46.507937,1.125082,62.011,63,1849.877
edge-asus,swin3d_t,vaccel-remote-sol,gpu,1,NVIDIA GeForce RTX 5080 Laptop GPU,21.226825,1.435522,2.333333,1.918994,0.587302,0.492319,1084.810000,0.000000,41.936508,0.587516,62.013,63,1316.339
