timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1788970568062,2026-09-09T16:16:08.062153+00:00,0.0004,0.0003
1788970569062,2026-09-09T16:16:09.062302+00:00,4.8069,29.3125
1788970570062,2026-09-09T16:16:10.062490+00:00,6.1705,37.8206
1788970571062,2026-09-09T16:16:11.062705+00:00,6.2405,37.8203
1788970572062,2026-09-09T16:16:12.062935+00:00,6.1954,37.8203
1788970573063,2026-09-09T16:16:13.063011+00:00,6.7961,37.8216
1788970574063,2026-09-09T16:16:14.063167+00:00,6.2251,41.3311
1788970575063,2026-09-09T16:16:15.063351+00:00,6.5112,38.5107
1788970576063,2026-09-09T16:16:16.063559+00:00,5.9467,37.8198
1788970577063,2026-09-09T16:16:17.063714+00:00,6.8189,41.154
1788970578063,2026-09-09T16:16:18.063876+00:00,6.209,38.1485
1788970579064,2026-09-09T16:16:19.064071+00:00,6.2072,38.3595
1788970580064,2026-09-09T16:16:20.064218+00:00,6.2149,37.8211
1788970581064,2026-09-09T16:16:21.064360+00:00,6.1614,35.5572
1788970582064,2026-09-09T16:16:22.064600+00:00,6.2772,40.0848
1788970583064,2026-09-09T16:16:23.064750+00:00,6.1124,34.8165
1788970584064,2026-09-09T16:16:24.064927+00:00,6.1908,36.6233
1788970585065,2026-09-09T16:16:25.065134+00:00,6.2963,42.0227
1788970586065,2026-09-09T16:16:26.065280+00:00,6.8069,39.4334
1788970587065,2026-09-09T16:16:27.065445+00:00,6.2782,40.411
1788970588065,2026-09-09T16:16:28.065490+00:00,6.8026,37.8221
1788970589065,2026-09-09T16:16:29.065679+00:00,6.0996,37.8206
1788970590065,2026-09-09T16:16:30.065829+00:00,6.3045,39.3152
1788970591066,2026-09-09T16:16:31.066061+00:00,6.2781,40.53
1788970592066,2026-09-09T16:16:32.066228+00:00,6.8149,40.4996
1788970593066,2026-09-09T16:16:33.066487+00:00,6.2,39.3002
1788970594066,2026-09-09T16:16:34.066639+00:00,6.2351,37.8622
1788970595066,2026-09-09T16:16:35.066798+00:00,6.1587,37.7778
1788970596067,2026-09-09T16:16:36.067049+00:00,6.2485,37.8627
1788970597067,2026-09-09T16:16:37.067207+00:00,6.8041,40.7454
1788970598067,2026-09-09T16:16:38.067414+00:00,6.2774,39.0973
1788970599067,2026-09-09T16:16:39.067620+00:00,6.4075,37.8201
1788970600067,2026-09-09T16:16:40.067797+00:00,6.0396,37.8206
1788970601067,2026-09-09T16:16:41.067945+00:00,6.7594,39.6911
1788970602068,2026-09-09T16:16:42.068154+00:00,5.5997,35.95
1788970603068,2026-09-09T16:16:43.068285+00:00,6.8001,38.0746
1788970604068,2026-09-09T16:16:44.068431+00:00,6.2331,40.6519
1788970605068,2026-09-09T16:16:45.068625+00:00,6.1775,37.3669
1788970606068,2026-09-09T16:16:46.068838+00:00,6.2844,39.3955
1788970607069,2026-09-09T16:16:47.069044+00:00,6.2018,37.8216
1788970608069,2026-09-09T16:16:48.069216+00:00,6.8159,40.3266
1788970609069,2026-09-09T16:16:49.069378+00:00,6.8679,39.5171
1788970610069,2026-09-09T16:16:50.069558+00:00,6.0316,37.82
1788970611069,2026-09-09T16:16:51.069714+00:00,6.4511,42.0214
1788970612069,2026-09-09T16:16:52.069937+00:00,6.2072,37.8247
1788970613070,2026-09-09T16:16:53.070080+00:00,6.8182,39.7618
1788970614070,2026-09-09T16:16:54.070215+00:00,6.2115,38.6296
1788970615070,2026-09-09T16:16:55.070425+00:00,6.2733,39.2733
1788970616070,2026-09-09T16:16:56.070489+00:00,6.8071,37.8227
1788970617070,2026-09-09T16:16:57.070650+00:00,6.2188,40.5179
1788970618070,2026-09-09T16:16:58.070879+00:00,6.2613,39.3241
1788970619071,2026-09-09T16:16:59.071100+00:00,6.1994,37.8209
1788970620071,2026-09-09T16:17:00.071307+00:00,6.1921,37.8202
1788970621071,2026-09-09T16:17:01.071484+00:00,6.7997,38.1618
1788970622071,2026-09-09T16:17:02.071596+00:00,6.1977,37.4788
1788970623071,2026-09-09T16:17:03.071753+00:00,6.2142,40.1124
1788970624071,2026-09-09T16:17:04.071917+00:00,6.2371,39.7282
1788970625072,2026-09-09T16:17:05.072086+00:00,6.2286,37.8212
1788970626072,2026-09-09T16:17:06.072243+00:00,6.8025,37.8216
1788970627072,2026-09-09T16:17:07.072392+00:00,6.1987,37.8225
1788970628072,2026-09-09T16:17:08.072576+00:00,6.2454,42.0217
1788970629072,2026-09-09T16:17:09.072655+00:00,6.8478,37.8213
1788970630072,2026-09-09T16:17:10.072849+00:00,6.2159,41.4823
1788970631073,2026-09-09T16:17:11.073065+00:00,6.2688,38.3601
1788970632073,2026-09-09T16:17:12.073282+00:00,6.1983,37.8202
1788970633073,2026-09-09T16:17:13.073433+00:00,6.8202,41.9802
1788970634073,2026-09-09T16:17:14.073595+00:00,6.2022,36.6556
1788970635073,2026-09-09T16:17:15.073791+00:00,6.2504,39.0275
1788970636073,2026-09-09T16:17:16.073955+00:00,6.8105,40.3955
1788970637074,2026-09-09T16:17:17.074156+00:00,6.2745,39.4484
1788970638074,2026-09-09T16:17:18.074329+00:00,6.1911,37.8196
1788970639074,2026-09-09T16:17:19.074546+00:00,6.2144,37.8198
1788970640074,2026-09-09T16:17:20.074699+00:00,6.8153,40.3554
1788970641074,2026-09-09T16:17:21.074886+00:00,6.278,39.4874
1788970642075,2026-09-09T16:17:22.075032+00:00,6.8169,39.5735
1788970643075,2026-09-09T16:17:23.075236+00:00,5.5893,36.0669
1788970644075,2026-09-09T16:17:24.075437+00:00,6.1957,37.8196
1788970645075,2026-09-09T16:17:25.075635+00:00,6.2039,37.826
1788970646075,2026-09-09T16:17:26.075812+00:00,6.8115,39.0352
1788970647076,2026-09-09T16:17:27.076008+00:00,6.2437,40.8071
1788970648076,2026-09-09T16:17:28.076163+00:00,6.8349,38.4651
1788970649076,2026-09-09T16:17:29.076335+00:00,6.1929,37.1816
1788970650076,2026-09-09T16:17:30.076504+00:00,6.1901,37.8194
1788970651076,2026-09-09T16:17:31.076688+00:00,6.2186,40.7509
1788970652076,2026-09-09T16:17:32.076846+00:00,6.196,39.0472
1788970653077,2026-09-09T16:17:33.077082+00:00,6.2588,37.8632
1788970654077,2026-09-09T16:17:34.077358+00:00,6.1966,37.8196
1788970655077,2026-09-09T16:17:35.077527+00:00,6.2044,37.8199
1788970656077,2026-09-09T16:17:36.077734+00:00,6.1935,37.6437
1788970657077,2026-09-09T16:17:37.077954+00:00,5.5071,33.6193
1788970658078,2026-09-09T16:17:38.078161+00:00,4.1262,25.0436
1788970659078,2026-09-09T16:17:39.078382+00:00,4.0728,25.1779
1788970660078,2026-09-09T16:17:40.078638+00:00,4.187,25.1068
1788970661078,2026-09-09T16:17:41.078866+00:00,4.0821,24.3704
1788970662079,2026-09-09T16:17:42.079115+00:00,5.4782,34.1125
1788970663079,2026-09-09T16:17:43.079344+00:00,5.5739,33.5939
1788970664079,2026-09-09T16:17:44.079561+00:00,6.2026,37.6951
1788970665079,2026-09-09T16:17:45.079724+00:00,6.8003,38.6467
1788970666079,2026-09-09T16:17:46.079875+00:00,6.2002,40.6422
1788970667080,2026-09-09T16:17:47.080059+00:00,6.7903,37.9598
1788970668080,2026-09-09T16:17:48.080266+00:00,6.3388,41.8951
1788970669080,2026-09-09T16:17:49.080415+00:00,6.1696,35.9475
1788970670080,2026-09-09T16:17:50.080651+00:00,6.2721,39.5135
1788970671080,2026-09-09T16:17:51.080826+00:00,6.4999,37.7289
1788970672080,2026-09-09T16:17:52.080990+00:00,6.5178,40.4888
