timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1788962269845,2026-09-09T13:57:49.845490+00:00,4.94,0.0,52.0
1788962270845,2026-09-09T13:57:50.845668+00:00,29.72,12.2,52.0
1788962271845,2026-09-09T13:57:51.845746+00:00,35.3,14.8,62.0
1788962272845,2026-09-09T13:57:52.845996+00:00,38.67,17.0,64.0
1788962273846,2026-09-09T13:57:53.846064+00:00,35.71,15.2,63.0
1788962274846,2026-09-09T13:57:54.846142+00:00,39.3,17.2,63.0
1788962275846,2026-09-09T13:57:55.846231+00:00,38.68,16.5,60.0
1788962276846,2026-09-09T13:57:56.846312+00:00,40.64,16.9,60.0
1788962277846,2026-09-09T13:57:57.846397+00:00,34.42,15.3,68.0
1788962278846,2026-09-09T13:57:58.846482+00:00,39.14,17.4,60.0
1788962279846,2026-09-09T13:57:59.846557+00:00,32.67,14.8,60.0
1788962280846,2026-09-09T13:58:00.846717+00:00,32.9,14.5,66.0
1788962281846,2026-09-09T13:58:01.846862+00:00,38.32,17.4,66.0
1788962282847,2026-09-09T13:58:02.847060+00:00,34.29,14.1,57.0
1788962283847,2026-09-09T13:58:03.847270+00:00,37.14,16.6,66.0
1788962284847,2026-09-09T13:58:04.847475+00:00,40.65,17.4,66.0
1788962285847,2026-09-09T13:58:05.847606+00:00,35.26,14.5,63.0
1788962286847,2026-09-09T13:58:06.847688+00:00,36.25,15.2,63.0
1788962287847,2026-09-09T13:58:07.847896+00:00,37.48,15.9,57.0
1788962288848,2026-09-09T13:58:08.848078+00:00,40.09,16.2,57.0
1788962289848,2026-09-09T13:58:09.848252+00:00,34.47,14.3,68.0
1788962290848,2026-09-09T13:58:10.848437+00:00,38.8,16.7,68.0
1788962291848,2026-09-09T13:58:11.848600+00:00,35.25,15.4,66.0
1788962292848,2026-09-09T13:58:12.848783+00:00,38.01,16.6,66.0
1788962293848,2026-09-09T13:58:13.848932+00:00,34.06,15.0,60.0
1788962294849,2026-09-09T13:58:14.849190+00:00,34.02,15.3,58.0
1788962295849,2026-09-09T13:58:15.849260+00:00,33.37,15.6,58.0
1788962296849,2026-09-09T13:58:16.849405+00:00,38.7,16.9,58.0
1788962297849,2026-09-09T13:58:17.849480+00:00,35.23,16.9,58.0
1788962298849,2026-09-09T13:58:18.849557+00:00,33.96,15.9,77.0
1788962299849,2026-09-09T13:58:19.849660+00:00,35.77,16.0,58.0
1788962300849,2026-09-09T13:58:20.849802+00:00,37.79,17.8,63.0
1788962301850,2026-09-09T13:58:21.850027+00:00,33.83,15.0,63.0
1788962302850,2026-09-09T13:58:22.850174+00:00,35.15,16.6,76.0
1788962303850,2026-09-09T13:58:23.850312+00:00,35.83,16.7,76.0
1788962304850,2026-09-09T13:58:24.850438+00:00,33.39,15.5,70.0
1788962305850,2026-09-09T13:58:25.850660+00:00,37.85,17.6,70.0
1788962306850,2026-09-09T13:58:26.850873+00:00,34.13,15.4,58.0
1788962307850,2026-09-09T13:58:27.850958+00:00,33.42,15.3,58.0
1788962308851,2026-09-09T13:58:28.851191+00:00,38.11,18.0,63.0
1788962309851,2026-09-09T13:58:29.851364+00:00,39.07,17.6,64.0
1788962310851,2026-09-09T13:58:30.851566+00:00,40.1,17.0,64.0
1788962311851,2026-09-09T13:58:31.851753+00:00,33.84,15.0,59.0
1788962312851,2026-09-09T13:58:32.851880+00:00,39.84,17.3,59.0
1788962313852,2026-09-09T13:58:33.852088+00:00,35.85,15.1,73.0
1788962314852,2026-09-09T13:58:34.852277+00:00,39.3,16.7,62.0
1788962315852,2026-09-09T13:58:35.852421+00:00,38.25,16.3,62.0
1788962316852,2026-09-09T13:58:36.852558+00:00,36.54,15.2,59.0
1788962317852,2026-09-09T13:58:37.852750+00:00,37.72,16.2,59.0
1788962318852,2026-09-09T13:58:38.852934+00:00,36.52,15.6,60.0
1788962319853,2026-09-09T13:58:39.853106+00:00,36.67,16.2,75.0
1788962320853,2026-09-09T13:58:40.853317+00:00,38.14,15.9,75.0
1788962321853,2026-09-09T13:58:41.853497+00:00,36.86,15.8,70.0
1788962322853,2026-09-09T13:58:42.853645+00:00,37.61,16.1,70.0
1788962323853,2026-09-09T13:58:43.853725+00:00,34.9,14.9,60.0
1788962324853,2026-09-09T13:58:44.853810+00:00,39.54,17.2,64.0
1788962325853,2026-09-09T13:58:45.853970+00:00,37.97,16.5,64.0
1788962326854,2026-09-09T13:58:46.854046+00:00,35.43,16.6,79.0
1788962327854,2026-09-09T13:58:47.854197+00:00,37.34,17.3,79.0
1788962328854,2026-09-09T13:58:48.854372+00:00,36.99,17.4,73.0
1788962329854,2026-09-09T13:58:49.854500+00:00,34.6,16.2,73.0
1788962330854,2026-09-09T13:58:50.854645+00:00,37.52,17.9,73.0
1788962331854,2026-09-09T13:58:51.854698+00:00,34.2,15.4,60.0
1788962332854,2026-09-09T13:58:52.854778+00:00,39.35,17.8,60.0
1788962333855,2026-09-09T13:58:53.855003+00:00,34.94,15.8,74.0
1788962334855,2026-09-09T13:58:54.855151+00:00,36.96,16.0,78.0
1788962335855,2026-09-09T13:58:55.855323+00:00,42.13,17.2,78.0
1788962336855,2026-09-09T13:58:56.855501+00:00,36.71,14.9,60.0
1788962337855,2026-09-09T13:58:57.855624+00:00,39.75,16.6,60.0
1788962338855,2026-09-09T13:58:58.855843+00:00,35.55,15.0,60.0
1788962339855,2026-09-09T13:58:59.855997+00:00,37.56,16.7,66.0
1788962340856,2026-09-09T13:59:00.856250+00:00,36.09,15.7,61.0
1788962341856,2026-09-09T13:59:01.856427+00:00,39.82,17.2,61.0
1788962342856,2026-09-09T13:59:02.856642+00:00,40.12,16.5,62.0
1788962343856,2026-09-09T13:59:03.856722+00:00,37.87,17.0,62.0
1788962344856,2026-09-09T13:59:04.856944+00:00,35.95,15.2,61.0
1788962345857,2026-09-09T13:59:05.857164+00:00,39.82,16.8,61.0
1788962346857,2026-09-09T13:59:06.857381+00:00,34.27,14.6,60.0
1788962347857,2026-09-09T13:59:07.857542+00:00,39.65,16.1,60.0
1788962348857,2026-09-09T13:59:08.857814+00:00,34.91,14.9,60.0
1788962349858,2026-09-09T13:59:09.858004+00:00,39.26,16.4,60.0
1788962350858,2026-09-09T13:59:10.858213+00:00,35.11,15.0,62.0
1788962351858,2026-09-09T13:59:11.858500+00:00,39.29,16.8,62.0
1788962352858,2026-09-09T13:59:12.858723+00:00,35.11,14.7,79.0
1788962353858,2026-09-09T13:59:13.858878+00:00,39.24,15.6,79.0
1788962354859,2026-09-09T13:59:14.859072+00:00,35.95,14.5,77.0
1788962355859,2026-09-09T13:59:15.859214+00:00,39.93,15.4,64.0
1788962356859,2026-09-09T13:59:16.859455+00:00,39.37,15.2,64.0
1788962357859,2026-09-09T13:59:17.859603+00:00,37.97,13.8,64.0
1788962358859,2026-09-09T13:59:18.859685+00:00,37.34,13.4,64.0
1788962359859,2026-09-09T13:59:19.859840+00:00,42.01,15.2,66.0
1788962360860,2026-09-09T13:59:20.860094+00:00,42.3,15.1,63.0
1788962361860,2026-09-09T13:59:21.860238+00:00,41.89,15.7,63.0
1788962362860,2026-09-09T13:59:22.860492+00:00,36.42,13.8,62.0
1788962363860,2026-09-09T13:59:23.860682+00:00,41.92,16.7,62.0
1788962364860,2026-09-09T13:59:24.860761+00:00,38.49,15.4,79.0
1788962365860,2026-09-09T13:59:25.860932+00:00,38.88,15.4,62.0
1788962366861,2026-09-09T13:59:26.861092+00:00,39.95,15.4,62.0
1788962367861,2026-09-09T13:59:27.861267+00:00,37.48,14.5,73.0
1788962368861,2026-09-09T13:59:28.861424+00:00,41.01,16.1,73.0
1788962369861,2026-09-09T13:59:29.861496+00:00,35.73,14.3,70.0
1788962370861,2026-09-09T13:59:30.861706+00:00,38.6,16.0,75.0
1788962371861,2026-09-09T13:59:31.861890+00:00,37.85,15.2,62.0
1788962372862,2026-09-09T13:59:32.862077+00:00,40.46,16.5,62.0
1788962373862,2026-09-09T13:59:33.862203+00:00,36.14,14.3,66.0
1788962374862,2026-09-09T13:59:34.862349+00:00,35.51,14.3,63.0
1788962375862,2026-09-09T13:59:35.862520+00:00,36.34,15.0,79.0
1788962376862,2026-09-09T13:59:36.862665+00:00,39.47,15.9,65.0
1788962377862,2026-09-09T13:59:37.862829+00:00,38.19,16.2,65.0
1788962378863,2026-09-09T13:59:38.863033+00:00,37.41,15.3,69.0
1788962379863,2026-09-09T13:59:39.863215+00:00,40.54,16.8,69.0
1788962380863,2026-09-09T13:59:40.863360+00:00,35.45,14.4,66.0
1788962381863,2026-09-09T13:59:41.863441+00:00,40.23,17.4,68.0
1788962382863,2026-09-09T13:59:42.863644+00:00,35.21,14.9,62.0
1788962383863,2026-09-09T13:59:43.863807+00:00,39.88,17.5,62.0
1788962384864,2026-09-09T13:59:44.864035+00:00,38.71,17.0,80.0
1788962385864,2026-09-09T13:59:45.864216+00:00,38.46,17.4,80.0
1788962386864,2026-09-09T13:59:46.864385+00:00,41.31,18.1,73.0
1788962387864,2026-09-09T13:59:47.864599+00:00,37.37,16.0,62.0
1788962388864,2026-09-09T13:59:48.864679+00:00,39.95,17.6,62.0
1788962389864,2026-09-09T13:59:49.864756+00:00,34.87,15.0,65.0
1788962390864,2026-09-09T13:59:50.864908+00:00,39.24,17.1,65.0
1788962391865,2026-09-09T13:59:51.865120+00:00,35.77,15.6,65.0
1788962392865,2026-09-09T13:59:52.865290+00:00,39.86,17.2,65.0
1788962393865,2026-09-09T13:59:53.865449+00:00,38.17,16.4,79.0
1788962394865,2026-09-09T13:59:54.865598+00:00,39.58,16.7,63.0
1788962395865,2026-09-09T13:59:55.865693+00:00,40.24,17.4,63.0
1788962396865,2026-09-09T13:59:56.865866+00:00,37.54,16.7,83.0
1788962397866,2026-09-09T13:59:57.866079+00:00,37.8,17.0,62.0
1788962398866,2026-09-09T13:59:58.866313+00:00,39.87,18.3,63.0
1788962399866,2026-09-09T13:59:59.866489+00:00,40.11,17.3,63.0
1788962400866,2026-09-09T14:00:00.866708+00:00,37.17,16.7,79.0
1788962401866,2026-09-09T14:00:01.866864+00:00,37.18,16.1,63.0
1788962402866,2026-09-09T14:00:02.866940+00:00,37.34,16.9,63.0
1788962403867,2026-09-09T14:00:03.867028+00:00,37.67,16.5,74.0
1788962404867,2026-09-09T14:00:04.867247+00:00,39.89,18.0,63.0
1788962405867,2026-09-09T14:00:05.867397+00:00,39.89,17.6,63.0
1788962406867,2026-09-09T14:00:06.867552+00:00,36.39,16.1,82.0
1788962407867,2026-09-09T14:00:07.867708+00:00,38.74,16.1,82.0
1788962408867,2026-09-09T14:00:08.867789+00:00,37.58,16.1,84.0
1788962409867,2026-09-09T14:00:09.867923+00:00,37.09,15.8,67.0
1788962410868,2026-09-09T14:00:10.868154+00:00,35.34,14.6,63.0
1788962411868,2026-09-09T14:00:11.868245+00:00,40.1,17.5,63.0
1788962412868,2026-09-09T14:00:12.868325+00:00,35.23,14.8,68.0
1788962413868,2026-09-09T14:00:13.868537+00:00,40.31,17.0,68.0
1788962414868,2026-09-09T14:00:14.868726+00:00,39.61,16.9,67.0
1788962415868,2026-09-09T14:00:15.868810+00:00,39.76,16.8,71.0
1788962416868,2026-09-09T14:00:16.868961+00:00,35.71,14.6,71.0
1788962417869,2026-09-09T14:00:17.869188+00:00,41.54,16.2,63.0
1788962418869,2026-09-09T14:00:18.869408+00:00,41.67,16.6,63.0
1788962419869,2026-09-09T14:00:19.869594+00:00,36.8,14.4,75.0
1788962420869,2026-09-09T14:00:20.869724+00:00,41.99,15.8,64.0
1788962421869,2026-09-09T14:00:21.869932+00:00,42.96,16.0,69.0
