timestamp,timestamp_iso,gpu_index,gpu_name,power_draw_w,power_limit_w,util_gpu_percent,util_mem_percent,mem_used_mb,temp_c
1784027373293,2026-07-14T11:09:33.293083+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,16.34,80.0,0,0,1214.12,39
1784027374293,2026-07-14T11:09:34.293293+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,20.72,80.0,5,1,1214.12,39
1784027375293,2026-07-14T11:09:35.293516+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.48,80.0,3,1,1214.12,40
1784027376293,2026-07-14T11:09:36.293725+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.8,80.0,5,1,1214.12,40
1784027377293,2026-07-14T11:09:37.293896+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.11,80.0,4,1,1214.12,40
1784027378294,2026-07-14T11:09:38.294100+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.93,80.0,0,0,1214.12,40
1784027379294,2026-07-14T11:09:39.294357+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.3,80.0,3,1,1214.12,40
1784027380294,2026-07-14T11:09:40.294528+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.86,80.0,1,0,1214.12,40
1784027381294,2026-07-14T11:09:41.294744+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.25,80.0,1,0,1214.12,40
1784027382294,2026-07-14T11:09:42.294954+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.74,80.0,5,1,1214.12,40
1784027383295,2026-07-14T11:09:43.295162+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.74,80.0,1,1,1214.12,40
1784027384295,2026-07-14T11:09:44.295369+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,22.73,80.0,5,1,1214.12,40
1784027385295,2026-07-14T11:09:45.295573+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.0,80.0,5,1,1214.12,40
1784027386295,2026-07-14T11:09:46.295717+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.04,80.0,5,1,1214.12,41
1784027387295,2026-07-14T11:09:47.295877+00:00,0,NVIDIA GeForce RTX 5080 Laptop GPU,23.06,80.0,5,1,1214.12,40
