timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1780235408981,2026-05-31T13:50:08.981927+00:00,0.0001,0.0
1780235409982,2026-05-31T13:50:09.982173+00:00,12.01,0.0353
1780235410982,2026-05-31T13:50:10.982356+00:00,19.2151,0.0553
1780235411982,2026-05-31T13:50:11.982496+00:00,16.8133,0.0483
1780235412982,2026-05-31T13:50:12.982778+00:00,16.8132,0.0478
1780235413982,2026-05-31T13:50:13.982912+00:00,16.8133,0.0483
1780235414983,2026-05-31T13:50:14.983142+00:00,16.8134,0.0486
1780235415983,2026-05-31T13:50:15.983290+00:00,16.2394,0.046
1780235416983,2026-05-31T13:50:16.983453+00:00,17.0605,0.0479
1780235417983,2026-05-31T13:50:17.983602+00:00,15.2532,0.0444
1780235418983,2026-05-31T13:50:18.983806+00:00,18.7011,0.0538
1780235419984,2026-05-31T13:50:19.984009+00:00,16.8136,0.0482
1780235420984,2026-05-31T13:50:20.984221+00:00,16.814,0.0474
1780235421984,2026-05-31T13:50:21.984371+00:00,19.2154,0.0535
1780235422984,2026-05-31T13:50:22.984551+00:00,15.0288,0.0443
1780235423984,2026-05-31T13:50:23.984736+00:00,18.5985,0.0501
1780235424984,2026-05-31T13:50:24.984886+00:00,16.7571,0.0487
1780235425985,2026-05-31T13:50:25.985100+00:00,14.4683,0.0421
1780235426985,2026-05-31T13:50:26.985247+00:00,17.5129,0.0484
1780235427985,2026-05-31T13:50:27.985413+00:00,18.2589,0.0516
1780235428985,2026-05-31T13:50:28.985589+00:00,15.2063,0.044
1780235429985,2026-05-31T13:50:29.985796+00:00,16.2763,0.0466
1780235430985,2026-05-31T13:50:30.985960+00:00,18.142,0.0487
1780235431986,2026-05-31T13:50:31.986179+00:00,15.4849,0.0454
1780235432986,2026-05-31T13:50:32.986387+00:00,16.8133,0.0488
1780235433986,2026-05-31T13:50:33.986533+00:00,18.468,0.0509
1780235434986,2026-05-31T13:50:34.986696+00:00,16.139,0.0461
1780235435986,2026-05-31T13:50:35.986914+00:00,15.8333,0.045
1780235436987,2026-05-31T13:50:36.987116+00:00,16.8139,0.0486
1780235437987,2026-05-31T13:50:37.987300+00:00,16.8134,0.0468
1780235438987,2026-05-31T13:50:38.987490+00:00,16.8133,0.0466
1780235439987,2026-05-31T13:50:39.987670+00:00,16.8137,0.0467
1780235440987,2026-05-31T13:50:40.987894+00:00,16.8132,0.0461
1780235441988,2026-05-31T13:50:41.988097+00:00,16.8134,0.0472
1780235442988,2026-05-31T13:50:42.988294+00:00,4.804,0.0137
1780235443988,2026-05-31T13:50:43.988504+00:00,0.0008,0.0
1780235444988,2026-05-31T13:50:44.988704+00:00,2.402,0.0087
1780235445988,2026-05-31T13:50:45.988850+00:00,16.8135,0.0459
1780235446989,2026-05-31T13:50:46.989000+00:00,16.8137,0.0467
1780235447989,2026-05-31T13:50:47.989212+00:00,16.8133,0.0459
1780235448989,2026-05-31T13:50:48.989383+00:00,17.2681,0.0466
1780235449989,2026-05-31T13:50:49.989583+00:00,16.3583,0.0461
1780235450989,2026-05-31T13:50:50.989803+00:00,16.8135,0.0472
1780235451990,2026-05-31T13:50:51.990007+00:00,16.8136,0.0461
1780235452990,2026-05-31T13:50:52.990214+00:00,16.8132,0.0478
1780235453990,2026-05-31T13:50:53.990431+00:00,16.8135,0.0469
1780235454990,2026-05-31T13:50:54.990579+00:00,19.215,0.0514
1780235455990,2026-05-31T13:50:55.990784+00:00,16.8134,0.0487
1780235456990,2026-05-31T13:50:56.990974+00:00,16.8138,0.0468
1780235457991,2026-05-31T13:50:57.991166+00:00,17.248,0.0474
1780235458991,2026-05-31T13:50:58.991343+00:00,17.014,0.0467
1780235459991,2026-05-31T13:50:59.991515+00:00,17.3191,0.0475
1780235460991,2026-05-31T13:51:00.991686+00:00,18.0745,0.0521
1780235461991,2026-05-31T13:51:01.991762+00:00,16.8131,0.0452
1780235462991,2026-05-31T13:51:02.991930+00:00,16.8132,0.0462
1780235463992,2026-05-31T13:51:03.992125+00:00,16.8134,0.0508
1780235464992,2026-05-31T13:51:04.992333+00:00,16.8132,0.0448
1780235465992,2026-05-31T13:51:05.992561+00:00,16.8136,0.0464
1780235466992,2026-05-31T13:51:06.992808+00:00,16.8131,0.047
1780235467993,2026-05-31T13:51:07.993018+00:00,16.8137,0.0473
1780235468993,2026-05-31T13:51:08.993221+00:00,16.8136,0.047
1780235469993,2026-05-31T13:51:09.993387+00:00,16.8133,0.0479
1780235470993,2026-05-31T13:51:10.993591+00:00,19.2155,0.0525
1780235471993,2026-05-31T13:51:11.993751+00:00,15.9116,0.0427
1780235472993,2026-05-31T13:51:12.993926+00:00,16.6605,0.0454
1780235473994,2026-05-31T13:51:13.994138+00:00,15.466,0.0442
1780235474994,2026-05-31T13:51:14.994342+00:00,16.8132,0.0461
1780235475994,2026-05-31T13:51:15.994505+00:00,17.0544,0.0481
1780235476994,2026-05-31T13:51:16.994706+00:00,16.5724,0.0452
1780235477994,2026-05-31T13:51:17.994892+00:00,19.2154,0.0534
