timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1780350625581,2026-06-01T21:50:25.581524+00:00,0.0037,0.0017
1780350626581,2026-06-01T21:50:26.581616+00:00,9.6078,0.0271
1780350627581,2026-06-01T21:50:27.581716+00:00,9.6081,0.0294
1780350628581,2026-06-01T21:50:28.581914+00:00,12.0101,0.0343
1780350629582,2026-06-01T21:50:29.582074+00:00,12.0106,0.035
1780350630582,2026-06-01T21:50:30.582258+00:00,12.0097,0.0338
1780350631582,2026-06-01T21:50:31.582430+00:00,12.0101,0.0359
1780350632582,2026-06-01T21:50:32.582607+00:00,12.0103,0.0355
1780350633582,2026-06-01T21:50:33.582756+00:00,12.0102,0.0347
1780350634582,2026-06-01T21:50:34.582950+00:00,10.8008,0.031
1780350635583,2026-06-01T21:50:35.583187+00:00,11.899,0.0348
1780350636583,2026-06-01T21:50:36.583401+00:00,10.9288,0.0325
1780350637583,2026-06-01T21:50:37.583605+00:00,12.0101,0.0355
1780350638583,2026-06-01T21:50:38.583756+00:00,12.0104,0.035
1780350639583,2026-06-01T21:50:39.583916+00:00,12.0096,0.0341
1780350640584,2026-06-01T21:50:40.584109+00:00,9.6082,0.0304
1780350641584,2026-06-01T21:50:41.584256+00:00,12.01,0.0354
1780350642584,2026-06-01T21:50:42.584437+00:00,12.0099,0.0332
1780350643584,2026-06-01T21:50:43.584507+00:00,12.0098,0.0335
1780350644584,2026-06-01T21:50:44.584657+00:00,12.0097,0.0329
1780350645584,2026-06-01T21:50:45.584844+00:00,11.3657,0.032
1780350646585,2026-06-01T21:50:46.585053+00:00,10.2528,0.0303
1780350647585,2026-06-01T21:50:47.585238+00:00,12.01,0.0351
1780350648585,2026-06-01T21:50:48.585393+00:00,12.01,0.0315
1780350649585,2026-06-01T21:50:49.585588+00:00,11.9227,0.0342
1780350650585,2026-06-01T21:50:50.585765+00:00,11.9073,0.0345
1780350651585,2026-06-01T21:50:51.585935+00:00,12.1996,0.0345
1780350652586,2026-06-01T21:50:52.586139+00:00,9.6081,0.0287
1780350653586,2026-06-01T21:50:53.586347+00:00,12.0099,0.0348
1780350654586,2026-06-01T21:50:54.586576+00:00,12.0099,0.034
1780350655586,2026-06-01T21:50:55.586655+00:00,12.0098,0.0337
1780350656586,2026-06-01T21:50:56.586825+00:00,12.01,0.0356
1780350657587,2026-06-01T21:50:57.587055+00:00,9.6082,0.0308
1780350658587,2026-06-01T21:50:58.587227+00:00,12.0103,0.0317
1780350659587,2026-06-01T21:50:59.587426+00:00,12.01,0.035
1780350660587,2026-06-01T21:51:00.587621+00:00,12.0099,0.0341
1780350661587,2026-06-01T21:51:01.587820+00:00,11.8003,0.0337
1780350662588,2026-06-01T21:51:02.588065+00:00,11.7457,0.0335
1780350663588,2026-06-01T21:51:03.588300+00:00,10.0822,0.0304
1780350664588,2026-06-01T21:51:04.588533+00:00,12.0102,0.0355
1780350665588,2026-06-01T21:51:05.588731+00:00,12.0099,0.0336
