timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1784024275833,2026-07-14T10:17:55.833184+00:00,0.0003,0.0004
1784024276833,2026-07-14T10:17:56.833391+00:00,6.6076,0.0594
1784024277833,2026-07-14T10:17:57.833600+00:00,8.4109,0.0751
1784024278833,2026-07-14T10:17:58.833846+00:00,8.4098,0.0742
1784024279834,2026-07-14T10:17:59.834068+00:00,9.0108,0.0783
1784024280834,2026-07-14T10:18:00.834211+00:00,8.4099,0.0743
1784024281834,2026-07-14T10:18:01.834410+00:00,8.4099,0.0738
1784024282834,2026-07-14T10:18:02.834614+00:00,8.4102,0.0729
1784024283834,2026-07-14T10:18:03.834788+00:00,9.0104,0.0788
1784024284834,2026-07-14T10:18:04.834991+00:00,8.4106,0.0731
1784024285835,2026-07-14T10:18:05.835209+00:00,8.4094,0.0727
1784024286835,2026-07-14T10:18:06.835409+00:00,8.4095,0.074
1784024287835,2026-07-14T10:18:07.835612+00:00,9.0101,0.0785
1784024288835,2026-07-14T10:18:08.835810+00:00,8.4096,0.073
1784024289835,2026-07-14T10:18:09.835996+00:00,8.4098,0.0734
1784024290836,2026-07-14T10:18:10.836101+00:00,9.0104,0.0791
1784024291836,2026-07-14T10:18:11.836293+00:00,8.4101,0.0728
1784024292836,2026-07-14T10:18:12.836516+00:00,8.4096,0.0737
1784024293836,2026-07-14T10:18:13.836713+00:00,8.4095,0.0732
1784024294836,2026-07-14T10:18:14.836880+00:00,9.0103,0.0789
1784024295837,2026-07-14T10:18:15.837103+00:00,8.4094,0.0731
1784024296837,2026-07-14T10:18:16.837332+00:00,8.4104,0.0739
1784024297837,2026-07-14T10:18:17.837564+00:00,8.4099,0.0743
1784024298837,2026-07-14T10:18:18.837713+00:00,8.8074,0.0747
1784024299837,2026-07-14T10:18:19.837924+00:00,8.6147,0.081
1784024300838,2026-07-14T10:18:20.838126+00:00,8.4098,0.0743
1784024301838,2026-07-14T10:18:21.838334+00:00,8.4103,0.0743
1784024302838,2026-07-14T10:18:22.838559+00:00,8.4098,0.0729
1784024303838,2026-07-14T10:18:23.838767+00:00,9.0107,0.0793
1784024304838,2026-07-14T10:18:24.838974+00:00,8.4098,0.0724
1784024305839,2026-07-14T10:18:25.839173+00:00,8.41,0.0736
1784024306839,2026-07-14T10:18:26.839327+00:00,9.0101,0.0777
1784024307839,2026-07-14T10:18:27.839550+00:00,8.4098,0.0741
1784024308839,2026-07-14T10:18:28.839760+00:00,8.4097,0.0733
1784024309839,2026-07-14T10:18:29.839924+00:00,8.4631,0.0736
1784024310840,2026-07-14T10:18:30.840116+00:00,8.9569,0.0784
1784024311840,2026-07-14T10:18:31.840306+00:00,8.4098,0.0734
1784024312840,2026-07-14T10:18:32.840526+00:00,8.41,0.0731
1784024313840,2026-07-14T10:18:33.840708+00:00,8.9063,0.0731
1784024314840,2026-07-14T10:18:34.840908+00:00,8.5154,0.0777
1784024315841,2026-07-14T10:18:35.841104+00:00,8.4094,0.0724
1784024316841,2026-07-14T10:18:36.841306+00:00,8.4095,0.0738
1784024317841,2026-07-14T10:18:37.841533+00:00,9.01,0.0798
1784024318841,2026-07-14T10:18:38.841735+00:00,8.4093,0.074
1784024319841,2026-07-14T10:18:39.841964+00:00,8.4098,0.0739
1784024320842,2026-07-14T10:18:40.842138+00:00,8.7605,0.0732
1784024321842,2026-07-14T10:18:41.842351+00:00,8.6591,0.0778
1784024322842,2026-07-14T10:18:42.842575+00:00,8.4096,0.0746
1784024323842,2026-07-14T10:18:43.842800+00:00,8.4095,0.0728
1784024324842,2026-07-14T10:18:44.842992+00:00,8.9405,0.0759
1784024325843,2026-07-14T10:18:45.843198+00:00,6.0776,0.0558
1784024326843,2026-07-14T10:18:46.843395+00:00,0.0008,0.0003
1784024327843,2026-07-14T10:18:47.843588+00:00,0.0002,0.0004
1784024328843,2026-07-14T10:18:48.843749+00:00,12.0136,0.1057
1784024329843,2026-07-14T10:18:49.843905+00:00,21.6257,0.1918
1784024330844,2026-07-14T10:18:50.844089+00:00,9.3423,0.0802
1784024331844,2026-07-14T10:18:51.844297+00:00,8.678,0.0767
1784024332844,2026-07-14T10:18:52.844535+00:00,8.4102,0.0727
1784024333844,2026-07-14T10:18:53.844738+00:00,8.4097,0.075
1784024334844,2026-07-14T10:18:54.844946+00:00,9.0103,0.0786
1784024335845,2026-07-14T10:18:55.845176+00:00,8.4099,0.0735
1784024336845,2026-07-14T10:18:56.845379+00:00,8.4095,0.072
1784024337845,2026-07-14T10:18:57.845556+00:00,8.5658,0.0737
1784024338845,2026-07-14T10:18:58.845780+00:00,8.8542,0.077
1784024339845,2026-07-14T10:18:59.845988+00:00,8.4097,0.0755
1784024340846,2026-07-14T10:19:00.846179+00:00,8.4102,0.0725
1784024341846,2026-07-14T10:19:01.846403+00:00,9.0107,0.0781
1784024342846,2026-07-14T10:19:02.846609+00:00,8.4099,0.0755
1784024343846,2026-07-14T10:19:03.846810+00:00,8.41,0.0759
1784024344847,2026-07-14T10:19:04.847037+00:00,8.4103,0.074
1784024345847,2026-07-14T10:19:05.847255+00:00,9.0101,0.0786
1784024346847,2026-07-14T10:19:06.847453+00:00,8.41,0.0735
1784024347847,2026-07-14T10:19:07.847674+00:00,8.41,0.0716
1784024348847,2026-07-14T10:19:08.847845+00:00,9.0105,0.0793
1784024349848,2026-07-14T10:19:09.848047+00:00,8.4096,0.073
1784024350848,2026-07-14T10:19:10.848252+00:00,8.4109,0.0728
1784024351848,2026-07-14T10:19:11.848397+00:00,8.7517,0.0749
1784024352848,2026-07-14T10:19:12.848598+00:00,8.6684,0.0786
1784024353848,2026-07-14T10:19:13.848797+00:00,8.4096,0.073
1784024354848,2026-07-14T10:19:14.848998+00:00,8.4105,0.0746
1784024355849,2026-07-14T10:19:15.849190+00:00,9.0121,0.0789
1784024356849,2026-07-14T10:19:16.849407+00:00,8.4097,0.0727
1784024357849,2026-07-14T10:19:17.849608+00:00,8.4099,0.0732
