timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1780225133170,2026-05-31T10:58:53.170283+00:00,5.11,0.0,45.0
1780225134170,2026-05-31T10:58:54.170376+00:00,28.87,10.9,45.0
1780225135170,2026-05-31T10:58:55.170564+00:00,41.82,17.2,52.0
1780225136170,2026-05-31T10:58:56.170736+00:00,35.79,13.9,52.0
1780225137170,2026-05-31T10:58:57.170951+00:00,43.69,18.2,55.0
1780225138171,2026-05-31T10:58:58.171193+00:00,36.99,14.3,50.0
1780225139171,2026-05-31T10:58:59.171356+00:00,36.8,15.0,50.0
1780225140171,2026-05-31T10:59:00.171567+00:00,40.75,17.5,51.0
1780225141171,2026-05-31T10:59:01.171739+00:00,39.19,17.6,51.0
1780225142171,2026-05-31T10:59:02.171822+00:00,37.49,15.6,50.0
1780225143171,2026-05-31T10:59:03.171981+00:00,35.21,16.0,50.0
1780225144172,2026-05-31T10:59:04.172217+00:00,40.99,17.5,53.0
1780225145172,2026-05-31T10:59:05.172416+00:00,37.49,16.7,65.0
1780225146172,2026-05-31T10:59:06.172646+00:00,37.31,16.0,65.0
1780225147172,2026-05-31T10:59:07.172861+00:00,41.74,17.6,52.0
1780225148173,2026-05-31T10:59:08.173079+00:00,35.44,14.2,50.0
1780225149173,2026-05-31T10:59:09.173334+00:00,43.0,17.7,51.0
1780225150173,2026-05-31T10:59:10.173418+00:00,44.71,17.2,51.0
1780225151173,2026-05-31T10:59:11.173489+00:00,40.05,15.3,62.0
1780225152173,2026-05-31T10:59:12.173643+00:00,41.54,15.3,51.0
1780225153173,2026-05-31T10:59:13.173818+00:00,43.17,17.0,51.0
1780225154173,2026-05-31T10:59:14.173900+00:00,39.69,15.7,64.0
1780225155174,2026-05-31T10:59:15.174175+00:00,40.68,16.3,53.0
1780225156174,2026-05-31T10:59:16.174368+00:00,39.17,15.7,53.0
1780225157174,2026-05-31T10:59:17.174660+00:00,39.14,15.9,54.0
1780225158174,2026-05-31T10:59:18.174816+00:00,34.55,14.1,54.0
1780225159175,2026-05-31T10:59:19.175072+00:00,42.29,17.3,53.0
1780225160175,2026-05-31T10:59:20.175310+00:00,42.86,17.3,53.0
1780225161175,2026-05-31T10:59:21.175524+00:00,34.53,14.1,53.0
1780225162175,2026-05-31T10:59:22.175763+00:00,42.83,17.5,53.0
1780225163175,2026-05-31T10:59:23.175937+00:00,39.27,16.2,68.0
1780225164176,2026-05-31T10:59:24.176153+00:00,39.43,15.1,53.0
1780225165176,2026-05-31T10:59:25.176395+00:00,44.86,17.2,55.0
1780225166176,2026-05-31T10:59:26.176582+00:00,37.19,14.7,55.0
1780225167176,2026-05-31T10:59:27.176798+00:00,43.02,16.0,54.0
1780225168176,2026-05-31T10:59:28.176959+00:00,42.37,16.6,54.0
1780225169177,2026-05-31T10:59:29.177178+00:00,22.53,7.0,50.0
1780225170177,2026-05-31T10:59:30.177406+00:00,5.25,0.2,50.0
1780225171177,2026-05-31T10:59:31.177573+00:00,4.89,0.2,50.0
1780225172177,2026-05-31T10:59:32.177652+00:00,37.59,14.6,65.0
1780225173177,2026-05-31T10:59:33.177745+00:00,40.28,15.2,65.0
1780225174178,2026-05-31T10:59:34.178001+00:00,37.69,15.3,60.0
1780225175178,2026-05-31T10:59:35.178237+00:00,42.18,16.9,55.0
1780225176178,2026-05-31T10:59:36.178417+00:00,34.21,14.7,53.0
1780225177178,2026-05-31T10:59:37.178629+00:00,40.22,18.1,53.0
1780225178178,2026-05-31T10:59:38.178856+00:00,36.52,15.1,53.0
1780225179179,2026-05-31T10:59:39.179016+00:00,26.84,10.8,53.0
1780225180179,2026-05-31T10:59:40.179239+00:00,26.94,11.3,53.0
1780225181179,2026-05-31T10:59:41.179382+00:00,40.05,17.0,53.0
1780225182179,2026-05-31T10:59:42.179590+00:00,35.9,15.1,53.0
1780225183179,2026-05-31T10:59:43.179832+00:00,38.57,16.9,53.0
1780225184180,2026-05-31T10:59:44.180067+00:00,37.83,15.7,53.0
1780225185180,2026-05-31T10:59:45.180219+00:00,37.81,15.3,69.0
1780225186180,2026-05-31T10:59:46.180417+00:00,38.93,16.4,62.0
1780225187180,2026-05-31T10:59:47.180662+00:00,40.63,18.1,55.0
1780225188180,2026-05-31T10:59:48.180733+00:00,35.83,15.9,55.0
1780225189180,2026-05-31T10:59:49.180917+00:00,40.07,16.5,54.0
1780225190181,2026-05-31T10:59:50.181140+00:00,42.01,17.9,55.0
1780225191181,2026-05-31T10:59:51.181345+00:00,35.85,15.1,55.0
1780225192181,2026-05-31T10:59:52.181519+00:00,39.91,16.9,54.0
1780225193181,2026-05-31T10:59:53.181755+00:00,36.85,16.3,54.0
1780225194181,2026-05-31T10:59:54.181927+00:00,37.71,15.8,58.0
1780225195182,2026-05-31T10:59:55.182164+00:00,41.59,17.6,55.0
1780225196182,2026-05-31T10:59:56.182341+00:00,35.74,15.2,55.0
1780225197182,2026-05-31T10:59:57.182538+00:00,40.43,16.7,54.0
1780225198182,2026-05-31T10:59:58.182758+00:00,40.95,17.8,54.0
1780225199182,2026-05-31T10:59:59.182919+00:00,40.01,16.9,69.0
1780225200183,2026-05-31T11:00:00.183112+00:00,37.54,15.2,61.0
1780225201183,2026-05-31T11:00:01.183310+00:00,43.78,17.5,61.0
1780225202183,2026-05-31T11:00:02.183560+00:00,37.4,14.9,62.0
1780225203183,2026-05-31T11:00:03.183774+00:00,43.46,16.5,60.0
1780225204183,2026-05-31T11:00:04.183949+00:00,36.02,14.5,60.0
1780225205184,2026-05-31T11:00:05.184030+00:00,42.96,17.6,60.0
1780225206184,2026-05-31T11:00:06.184227+00:00,36.37,14.5,55.0
1780225207184,2026-05-31T11:00:07.184452+00:00,42.34,17.9,55.0
1780225208184,2026-05-31T11:00:08.184637+00:00,35.27,15.4,64.0
1780225209184,2026-05-31T11:00:09.184843+00:00,41.09,16.9,57.0
1780225210185,2026-05-31T11:00:10.185056+00:00,42.61,17.1,57.0
1780225211185,2026-05-31T11:00:11.185230+00:00,37.04,14.1,55.0
1780225212185,2026-05-31T11:00:12.185308+00:00,44.76,16.7,55.0
1780225213185,2026-05-31T11:00:13.185490+00:00,37.48,13.8,55.0
1780225214185,2026-05-31T11:00:14.185598+00:00,44.19,16.8,55.0
1780225215185,2026-05-31T11:00:15.185791+00:00,36.46,14.1,55.0
1780225216186,2026-05-31T11:00:16.186020+00:00,43.5,17.5,55.0
1780225217186,2026-05-31T11:00:17.186258+00:00,35.23,14.0,56.0
1780225218186,2026-05-31T11:00:18.186501+00:00,33.98,14.7,56.0
1780225219186,2026-05-31T11:00:19.186688+00:00,42.49,17.9,58.0
1780225220186,2026-05-31T11:00:20.186900+00:00,35.19,14.1,59.0
1780225221187,2026-05-31T11:00:21.187133+00:00,36.32,14.6,56.0
1780225222187,2026-05-31T11:00:22.187305+00:00,39.69,15.5,56.0
1780225223187,2026-05-31T11:00:23.187524+00:00,38.72,16.4,57.0
1780225224187,2026-05-31T11:00:24.187722+00:00,36.5,15.1,57.0
1780225225187,2026-05-31T11:00:25.187961+00:00,42.14,16.9,56.0
1780225226188,2026-05-31T11:00:26.188200+00:00,36.33,14.1,56.0
1780225227188,2026-05-31T11:00:27.188285+00:00,40.14,16.0,69.0
1780225228188,2026-05-31T11:00:28.188510+00:00,39.67,16.3,69.0
1780225229188,2026-05-31T11:00:29.188666+00:00,38.59,15.6,69.0
