timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1784028199252,2026-07-14T11:23:19.252607+00:00,0.0001,0.0003
1784028200252,2026-07-14T11:23:20.252808+00:00,6.6087,0.0592
1784028201252,2026-07-14T11:23:21.252997+00:00,8.6358,0.0739
1784028202253,2026-07-14T11:23:22.253203+00:00,8.7858,0.0779
1784028203253,2026-07-14T11:23:23.253411+00:00,8.4107,0.0735
1784028204253,2026-07-14T11:23:24.253633+00:00,8.4106,0.0754
1784028205253,2026-07-14T11:23:25.253840+00:00,9.011,0.0808
1784028206254,2026-07-14T11:23:26.254071+00:00,8.4108,0.0735
1784028207254,2026-07-14T11:23:27.254272+00:00,8.4104,0.0731
1784028208254,2026-07-14T11:23:28.254442+00:00,8.591,0.074
1784028209254,2026-07-14T11:23:29.254640+00:00,8.8313,0.0785
1784028210254,2026-07-14T11:23:30.254848+00:00,8.4106,0.0733
1784028211255,2026-07-14T11:23:31.255048+00:00,8.4104,0.0733
1784028212255,2026-07-14T11:23:32.255252+00:00,9.011,0.0777
1784028213255,2026-07-14T11:23:33.255460+00:00,8.4102,0.0734
1784028214255,2026-07-14T11:23:34.255690+00:00,8.4104,0.0725
1784028215255,2026-07-14T11:23:35.255858+00:00,8.7727,0.0748
1784028216256,2026-07-14T11:23:36.256085+00:00,8.6482,0.0778
1784028217256,2026-07-14T11:23:37.256303+00:00,8.4107,0.0736
1784028218256,2026-07-14T11:23:38.256504+00:00,8.4104,0.0731
1784028219256,2026-07-14T11:23:39.256701+00:00,9.011,0.075
1784028220256,2026-07-14T11:23:40.256931+00:00,8.4117,0.0791
1784028221257,2026-07-14T11:23:41.257155+00:00,8.4104,0.0739
1784028222257,2026-07-14T11:23:42.257381+00:00,8.4165,0.0852
1784028223257,2026-07-14T11:23:43.257527+00:00,8.745,0.0767
1784028224257,2026-07-14T11:23:44.257673+00:00,8.7367,0.0791
1784028225257,2026-07-14T11:23:45.257917+00:00,8.4105,0.0735
1784028226258,2026-07-14T11:23:46.258110+00:00,8.4102,0.0724
1784028227258,2026-07-14T11:23:47.258297+00:00,8.6315,0.0726
1784028228258,2026-07-14T11:23:48.258495+00:00,8.7902,0.0785
1784028229258,2026-07-14T11:23:49.258731+00:00,8.4102,0.0737
1784028230258,2026-07-14T11:23:50.258937+00:00,8.4103,0.0719
1784028231259,2026-07-14T11:23:51.259169+00:00,9.0107,0.0779
1784028232259,2026-07-14T11:23:52.259403+00:00,8.4107,0.0735
1784028233259,2026-07-14T11:23:53.259612+00:00,8.4103,0.0735
1784028234259,2026-07-14T11:23:54.259810+00:00,8.41,0.0736
1784028235260,2026-07-14T11:23:55.260005+00:00,9.0113,0.0779
1784028236260,2026-07-14T11:23:56.260218+00:00,8.4102,0.0737
1784028237260,2026-07-14T11:23:57.260447+00:00,8.4103,0.073
1784028238260,2026-07-14T11:23:58.260643+00:00,8.9432,0.0747
1784028239260,2026-07-14T11:23:59.260793+00:00,8.4788,0.0768
1784028240260,2026-07-14T11:24:00.260997+00:00,8.4108,0.0734
1784028241261,2026-07-14T11:24:01.261231+00:00,8.4101,0.0724
1784028242261,2026-07-14T11:24:02.261436+00:00,8.4103,0.0723
1784028243261,2026-07-14T11:24:03.261608+00:00,9.0111,0.0788
1784028244261,2026-07-14T11:24:04.261827+00:00,8.4102,0.0743
1784028245262,2026-07-14T11:24:05.262026+00:00,8.4104,0.0731
1784028246262,2026-07-14T11:24:06.262183+00:00,8.4103,0.0731
1784028247262,2026-07-14T11:24:07.262350+00:00,9.0111,0.0793
1784028248262,2026-07-14T11:24:08.262558+00:00,8.4102,0.0738
1784028249262,2026-07-14T11:24:09.262760+00:00,8.4103,0.0733
1784028250263,2026-07-14T11:24:10.263011+00:00,8.4115,0.0734
1784028251263,2026-07-14T11:24:11.263227+00:00,9.0116,0.078
1784028252263,2026-07-14T11:24:12.263457+00:00,8.4104,0.0736
1784028253263,2026-07-14T11:24:13.263665+00:00,8.4109,0.0744
1784028254263,2026-07-14T11:24:14.263871+00:00,9.0114,0.0785
1784028255264,2026-07-14T11:24:15.264082+00:00,8.411,0.0733
1784028256264,2026-07-14T11:24:16.264288+00:00,8.4106,0.0754
1784028257264,2026-07-14T11:24:17.264524+00:00,8.4112,0.0734
1784028258264,2026-07-14T11:24:18.264677+00:00,8.4485,0.0735
1784028259264,2026-07-14T11:24:19.264882+00:00,8.9737,0.0783
1784028260265,2026-07-14T11:24:20.265126+00:00,8.4108,0.0734
1784028261265,2026-07-14T11:24:21.265376+00:00,8.4106,0.0724
1784028262265,2026-07-14T11:24:22.265580+00:00,9.0114,0.0786
1784028263265,2026-07-14T11:24:23.265805+00:00,8.4108,0.0732
1784028264266,2026-07-14T11:24:24.266010+00:00,8.4102,0.0722
1784028265266,2026-07-14T11:24:25.266159+00:00,8.8843,0.0742
1784028266266,2026-07-14T11:24:26.266375+00:00,8.5384,0.0792
1784028267266,2026-07-14T11:24:27.266581+00:00,8.4103,0.0747
1784028268266,2026-07-14T11:24:28.266761+00:00,9.0116,0.0795
1784028269266,2026-07-14T11:24:29.266838+00:00,8.4107,0.0731
1784028270267,2026-07-14T11:24:30.267046+00:00,8.4106,0.0725
1784028271267,2026-07-14T11:24:31.267261+00:00,0.601,0.0055
1784028272267,2026-07-14T11:24:32.267477+00:00,0.0001,0.0004
1784028273267,2026-07-14T11:24:33.267610+00:00,4.2057,0.038
1784028274267,2026-07-14T11:24:34.267770+00:00,19.2235,0.1698
1784028275267,2026-07-14T11:24:35.267955+00:00,13.2163,0.1144
1784028276268,2026-07-14T11:24:36.268165+00:00,8.4106,0.0725
1784028277268,2026-07-14T11:24:37.268386+00:00,8.4105,0.0734
1784028278268,2026-07-14T11:24:38.268600+00:00,9.0068,0.0737
1784028279268,2026-07-14T11:24:39.268825+00:00,8.4146,0.077
1784028280269,2026-07-14T11:24:40.269029+00:00,8.4107,0.073
1784028281269,2026-07-14T11:24:41.269272+00:00,8.4102,0.0727
1784028282269,2026-07-14T11:24:42.269474+00:00,9.0113,0.0787
1784028283269,2026-07-14T11:24:43.269668+00:00,8.4103,0.0725
1784028284269,2026-07-14T11:24:44.269873+00:00,8.4108,0.0726
1784028285270,2026-07-14T11:24:45.270103+00:00,9.0111,0.0787
1784028286270,2026-07-14T11:24:46.270333+00:00,8.4107,0.0739
1784028287270,2026-07-14T11:24:47.270542+00:00,8.4103,0.0736
1784028288270,2026-07-14T11:24:48.270729+00:00,8.6257,0.0739
1784028289270,2026-07-14T11:24:49.270807+00:00,8.7958,0.0778
1784028290271,2026-07-14T11:24:50.271017+00:00,8.411,0.0729
1784028291271,2026-07-14T11:24:51.271265+00:00,8.4106,0.0735
1784028292271,2026-07-14T11:24:52.271437+00:00,8.9797,0.0746
1784028293271,2026-07-14T11:24:53.271649+00:00,8.4426,0.079
1784028294271,2026-07-14T11:24:54.271852+00:00,8.4106,0.0736
1784028295271,2026-07-14T11:24:55.271923+00:00,9.0109,0.0755
1784028296272,2026-07-14T11:24:56.272124+00:00,8.4103,0.0777
1784028297272,2026-07-14T11:24:57.272326+00:00,8.4106,0.073
1784028298272,2026-07-14T11:24:58.272487+00:00,8.4108,0.0731
1784028299272,2026-07-14T11:24:59.272647+00:00,9.011,0.0749
1784028300272,2026-07-14T11:25:00.272867+00:00,8.4108,0.0771
1784028301273,2026-07-14T11:25:01.273069+00:00,8.4103,0.0748
1784028302273,2026-07-14T11:25:02.273305+00:00,8.4101,0.0742
1784028303273,2026-07-14T11:25:03.273511+00:00,9.011,0.0785
1784028304273,2026-07-14T11:25:04.273667+00:00,8.4105,0.0739
1784028305273,2026-07-14T11:25:05.273865+00:00,8.4105,0.0733
1784028306274,2026-07-14T11:25:06.274067+00:00,8.411,0.0732
1784028307274,2026-07-14T11:25:07.274271+00:00,9.0109,0.074
1784028308274,2026-07-14T11:25:08.274494+00:00,8.4108,0.0781
1784028309274,2026-07-14T11:25:09.274693+00:00,8.4102,0.0736
1784028310274,2026-07-14T11:25:10.274928+00:00,8.4105,0.0726
1784028311275,2026-07-14T11:25:11.275143+00:00,9.0114,0.0797
1784028312275,2026-07-14T11:25:12.275369+00:00,8.4101,0.0732
1784028313275,2026-07-14T11:25:13.275592+00:00,8.4102,0.0735
