timestamp,timestamp_iso,net_rx_mb,net_tx_mb
1784018909071,2026-07-14T08:48:29.071044+00:00,0.0003,0.0003
1784018910071,2026-07-14T08:48:30.071209+00:00,5.4075,0.0505
1784018911071,2026-07-14T08:48:31.071452+00:00,6.6091,0.0604
1784018912071,2026-07-14T08:48:32.071599+00:00,7.2097,0.061
1784018913071,2026-07-14T08:48:33.071666+00:00,6.6094,0.0637
1784018914071,2026-07-14T08:48:34.071827+00:00,6.6091,0.0594
1784018915072,2026-07-14T08:48:35.072089+00:00,7.0987,0.0601
1784018916072,2026-07-14T08:48:36.072324+00:00,6.7202,0.0605
1784018917072,2026-07-14T08:48:37.072563+00:00,6.609,0.0601
1784018918072,2026-07-14T08:48:38.072777+00:00,6.6109,0.0614
1784018919072,2026-07-14T08:48:39.072856+00:00,6.6134,0.0626
1784018920073,2026-07-14T08:48:40.073024+00:00,7.2137,0.0682
1784018921073,2026-07-14T08:48:41.073218+00:00,6.0108,0.0554
1784018922073,2026-07-14T08:48:42.073448+00:00,7.2089,0.063
1784018923073,2026-07-14T08:48:43.073605+00:00,6.6083,0.0575
1784018924073,2026-07-14T08:48:44.073822+00:00,7.2092,0.0628
1784018925073,2026-07-14T08:48:45.073897+00:00,6.6085,0.0582
1784018926074,2026-07-14T08:48:46.074075+00:00,6.6082,0.0585
1784018927074,2026-07-14T08:48:47.074268+00:00,6.8355,0.0633
1784018928074,2026-07-14T08:48:48.074450+00:00,6.9166,0.06
1784018929074,2026-07-14T08:48:49.074627+00:00,6.6758,0.0584
1784018930074,2026-07-14T08:48:50.074808+00:00,6.6082,0.062
1784018931075,2026-07-14T08:48:51.075005+00:00,7.2088,0.0593
1784018932075,2026-07-14T08:48:52.075197+00:00,7.0226,0.0633
1784018933075,2026-07-14T08:48:53.075441+00:00,6.7945,0.06
1784018934075,2026-07-14T08:48:54.075691+00:00,7.0241,0.0626
1784018935075,2026-07-14T08:48:55.075880+00:00,6.793,0.059
1784018936076,2026-07-14T08:48:56.076097+00:00,7.2092,0.0633
1784018937076,2026-07-14T08:48:57.076315+00:00,6.6084,0.0629
1784018938076,2026-07-14T08:48:58.076480+00:00,7.2106,0.0616
1784018939076,2026-07-14T08:48:59.076723+00:00,7.2089,0.0639
1784018940076,2026-07-14T08:49:00.076943+00:00,6.6085,0.062
1784018941077,2026-07-14T08:49:01.077174+00:00,7.2088,0.0601
1784018942077,2026-07-14T08:49:02.077369+00:00,6.6085,0.0627
1784018943077,2026-07-14T08:49:03.077524+00:00,7.2088,0.064
1784018944077,2026-07-14T08:49:04.077683+00:00,7.2089,0.0639
1784018945077,2026-07-14T08:49:05.077760+00:00,7.2088,0.0597
1784018946077,2026-07-14T08:49:06.077912+00:00,6.6082,0.0637
1784018947078,2026-07-14T08:49:07.078163+00:00,7.209,0.061
1784018948078,2026-07-14T08:49:08.078229+00:00,6.6084,0.0591
1784018949078,2026-07-14T08:49:09.078389+00:00,7.2102,0.0642
1784018950078,2026-07-14T08:49:10.078486+00:00,7.209,0.065
1784018951078,2026-07-14T08:49:11.078565+00:00,6.6088,0.06
1784018952078,2026-07-14T08:49:12.078726+00:00,6.6084,0.0624
1784018953078,2026-07-14T08:49:13.078799+00:00,7.209,0.0591
1784018954078,2026-07-14T08:49:14.078878+00:00,6.6307,0.0634
1784018955078,2026-07-14T08:49:15.078960+00:00,7.187,0.0605
1784018956079,2026-07-14T08:49:16.079135+00:00,7.2089,0.0646
1784018957079,2026-07-14T08:49:17.079334+00:00,6.6085,0.059
1784018958079,2026-07-14T08:49:18.079508+00:00,6.6087,0.0629
1784018959079,2026-07-14T08:49:19.079677+00:00,7.209,0.06
1784018960079,2026-07-14T08:49:20.079947+00:00,6.6087,0.0621
1784018961080,2026-07-14T08:49:21.080032+00:00,7.2092,0.0597
1784018962080,2026-07-14T08:49:22.080248+00:00,6.6081,0.0592
1784018963080,2026-07-14T08:49:23.080485+00:00,6.9434,0.0634
1784018964080,2026-07-14T08:49:24.080713+00:00,6.8738,0.0597
1784018965080,2026-07-14T08:49:25.080932+00:00,6.6083,0.0623
1784018966081,2026-07-14T08:49:26.081162+00:00,7.2087,0.0607
1784018967081,2026-07-14T08:49:27.081320+00:00,6.6095,0.0591
1784018968081,2026-07-14T08:49:28.081488+00:00,6.6089,0.0628
1784018969081,2026-07-14T08:49:29.081609+00:00,7.2088,0.0596
1784018970081,2026-07-14T08:49:30.081800+00:00,6.6083,0.063
1784018971081,2026-07-14T08:49:31.081877+00:00,6.6081,0.058
