timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772045697977,2026-02-25T18:54:57.977070+00:00,5.73,0.2,57.0
1772045698977,2026-02-25T18:54:58.977149+00:00,88.6,40.0,86.0
1772045699977,2026-02-25T18:54:59.977776+00:00,111.4,50.6,87.0
1772045700977,2026-02-25T18:55:00.977952+00:00,111.18,50.3,87.0
1772045701978,2026-02-25T18:55:01.978455+00:00,110.87,50.6,90.0
1772045702978,2026-02-25T18:55:02.978699+00:00,110.79,50.3,90.0
1772045703979,2026-02-25T18:55:03.979252+00:00,110.87,50.6,90.0
1772045704979,2026-02-25T18:55:04.979890+00:00,111.12,50.3,90.0
1772045705980,2026-02-25T18:55:05.980099+00:00,110.83,50.4,90.0
1772045706980,2026-02-25T18:55:06.980576+00:00,111.7,50.4,90.0
1772045707981,2026-02-25T18:55:07.981169+00:00,111.48,50.3,92.0
1772045708981,2026-02-25T18:55:08.981404+00:00,111.36,50.6,92.0
1772045709981,2026-02-25T18:55:09.981483+00:00,111.13,50.3,92.0
1772045710981,2026-02-25T18:55:10.981909+00:00,111.65,50.6,92.0
1772045711982,2026-02-25T18:55:11.982342+00:00,111.43,50.3,90.0
1772045712982,2026-02-25T18:55:12.982801+00:00,111.43,50.6,90.0
1772045713983,2026-02-25T18:55:13.983242+00:00,111.75,50.3,89.0
1772045714983,2026-02-25T18:55:14.983655+00:00,111.53,50.5,95.0
1772045715983,2026-02-25T18:55:15.983886+00:00,111.39,50.3,91.0
1772045716984,2026-02-25T18:55:16.984086+00:00,111.32,50.6,91.0
1772045717984,2026-02-25T18:55:17.984513+00:00,111.4,50.3,95.0
1772045718985,2026-02-25T18:55:18.985159+00:00,111.99,50.5,90.0
1772045719985,2026-02-25T18:55:19.985402+00:00,111.76,50.4,90.0
1772045720985,2026-02-25T18:55:20.985845+00:00,111.54,50.6,96.0
1772045721986,2026-02-25T18:55:21.986079+00:00,111.63,50.3,90.0
1772045722986,2026-02-25T18:55:22.986546+00:00,111.01,50.5,90.0
1772045723986,2026-02-25T18:55:23.986770+00:00,111.97,50.3,91.0
1772045724986,2026-02-25T18:55:24.986963+00:00,112.36,50.5,94.0
1772045725987,2026-02-25T18:55:25.987597+00:00,112.14,50.3,94.0
1772045726987,2026-02-25T18:55:26.987842+00:00,111.97,50.6,91.0
1772045727988,2026-02-25T18:55:27.988378+00:00,112.09,50.3,96.0
1772045728988,2026-02-25T18:55:28.988647+00:00,112.5,50.5,96.0
1772045729989,2026-02-25T18:55:29.989287+00:00,111.64,50.3,95.0
1772045730989,2026-02-25T18:55:30.989700+00:00,112.67,50.6,95.0
1772045731989,2026-02-25T18:55:31.989917+00:00,112.31,50.3,95.0
1772045732989,2026-02-25T18:55:32.989994+00:00,111.56,50.4,95.0
1772045733990,2026-02-25T18:55:33.990645+00:00,112.51,50.6,95.0
1772045734991,2026-02-25T18:55:34.991046+00:00,111.57,50.3,95.0
1772045735991,2026-02-25T18:55:35.991228+00:00,112.27,50.5,98.0
1772045736991,2026-02-25T18:55:36.991433+00:00,112.25,50.3,95.0
1772045737992,2026-02-25T18:55:37.992020+00:00,112.13,50.5,95.0
1772045738992,2026-02-25T18:55:38.992549+00:00,112.22,50.4,92.0
1772045739992,2026-02-25T18:55:39.992946+00:00,111.37,50.5,97.0
1772045740993,2026-02-25T18:55:40.993139+00:00,112.02,50.3,97.0
1772045741993,2026-02-25T18:55:41.993382+00:00,111.79,51.5,97.0
1772045742993,2026-02-25T18:55:42.993999+00:00,112.11,50.3,97.0
1772045743994,2026-02-25T18:55:43.994225+00:00,10.36,2.5,64.0
