timestamp,timestamp_iso,cpu_watts,cpu_util_percent,cpu_temp_c
1772045778428,2026-02-25T18:56:18.428892+00:00,5.74,0.2,57.0
1772045779429,2026-02-25T18:56:19.429106+00:00,87.12,39.6,57.0
1772045780429,2026-02-25T18:56:20.429307+00:00,108.31,50.0,80.0
1772045781429,2026-02-25T18:56:21.429492+00:00,108.6,49.6,81.0
1772045782429,2026-02-25T18:56:22.429878+00:00,109.47,49.9,87.0
1772045783430,2026-02-25T18:56:23.430059+00:00,109.45,49.6,87.0
1772045784430,2026-02-25T18:56:24.430135+00:00,109.33,49.6,83.0
1772045785430,2026-02-25T18:56:25.430326+00:00,109.04,49.9,84.0
1772045786430,2026-02-25T18:56:26.430507+00:00,109.24,49.6,85.0
1772045787430,2026-02-25T18:56:27.430712+00:00,109.46,49.9,85.0
1772045788431,2026-02-25T18:56:28.431348+00:00,109.32,49.6,85.0
1772045789431,2026-02-25T18:56:29.431570+00:00,109.37,49.9,85.0
1772045790432,2026-02-25T18:56:30.432111+00:00,109.42,49.7,92.0
1772045791432,2026-02-25T18:56:31.432348+00:00,109.31,49.9,90.0
1772045792432,2026-02-25T18:56:32.432544+00:00,109.37,49.7,90.0
1772045793432,2026-02-25T18:56:33.432751+00:00,110.18,49.9,97.0
1772045794432,2026-02-25T18:56:34.432961+00:00,109.59,49.5,92.0
1772045795433,2026-02-25T18:56:35.433581+00:00,109.18,49.8,92.0
1772045796433,2026-02-25T18:56:36.433769+00:00,110.29,49.7,92.0
1772045797433,2026-02-25T18:56:37.433945+00:00,110.11,49.9,92.0
1772045798434,2026-02-25T18:56:38.434139+00:00,110.24,49.5,93.0
1772045799434,2026-02-25T18:56:39.434310+00:00,109.51,49.8,93.0
1772045800434,2026-02-25T18:56:40.434574+00:00,108.95,49.6,94.0
1772045801434,2026-02-25T18:56:41.434785+00:00,109.42,49.8,95.0
1772045802435,2026-02-25T18:56:42.435183+00:00,110.47,49.5,95.0
1772045803435,2026-02-25T18:56:43.435254+00:00,109.37,49.9,95.0
1772045804435,2026-02-25T18:56:44.435883+00:00,110.13,49.6,91.0
1772045805436,2026-02-25T18:56:45.436055+00:00,109.2,50.0,91.0
1772045806436,2026-02-25T18:56:46.436507+00:00,109.18,49.6,97.0
1772045807436,2026-02-25T18:56:47.436593+00:00,109.13,49.7,92.0
1772045808437,2026-02-25T18:56:48.437075+00:00,110.12,49.5,96.0
1772045809437,2026-02-25T18:56:49.437169+00:00,109.28,49.8,96.0
1772045810437,2026-02-25T18:56:50.437558+00:00,109.86,49.5,99.0
1772045811438,2026-02-25T18:56:51.438097+00:00,109.96,49.7,97.0
1772045812438,2026-02-25T18:56:52.438312+00:00,108.77,49.8,97.0
1772045813438,2026-02-25T18:56:53.438780+00:00,109.22,49.5,95.0
1772045814439,2026-02-25T18:56:54.439205+00:00,109.98,49.8,95.0
1772045815439,2026-02-25T18:56:55.439421+00:00,110.08,49.6,95.0
1772045816439,2026-02-25T18:56:56.439635+00:00,109.43,49.8,95.0
1772045817439,2026-02-25T18:56:57.439712+00:00,109.3,49.5,95.0
1772045818439,2026-02-25T18:56:58.439793+00:00,109.86,49.8,95.0
1772045819440,2026-02-25T18:56:59.440218+00:00,110.09,49.6,95.0
1772045820440,2026-02-25T18:57:00.440730+00:00,110.39,49.9,89.0
1772045821440,2026-02-25T18:57:01.440999+00:00,109.21,49.5,90.0
1772045822441,2026-02-25T18:57:02.441200+00:00,109.72,49.8,94.0
1772045823441,2026-02-25T18:57:03.441555+00:00,109.82,49.7,94.0
1772045824441,2026-02-25T18:57:04.441982+00:00,109.6,49.8,92.0
1772045825442,2026-02-25T18:57:05.442489+00:00,109.71,49.7,93.0
1772045826442,2026-02-25T18:57:06.442704+00:00,109.86,49.9,93.0
1772045827443,2026-02-25T18:57:07.443171+00:00,109.93,49.5,95.0
1772045828443,2026-02-25T18:57:08.443694+00:00,108.98,49.8,95.0
1772045829443,2026-02-25T18:57:09.443939+00:00,110.26,49.7,96.0
1772045830444,2026-02-25T18:57:10.444096+00:00,77.81,34.7,96.0
